{'短评内容': '环境不错 早餐很棒', '短评打分': 5}
{'短评内容': '早餐很棒哦', '短评打分': 5}
{'短评内容': '几乎每次来成都出差都是住在这家了，出门就是地铁了，交通真的是特别的方便，想在附近购物吃饭也都比较好找', '短评打分': 5}
{'短评内容': '挺好的，虽然是连锁酒店，比某些连锁酒店高档', '短评打分': 5}
{'短评内容': '房间卫生还可以，就是设备一般，第一间房空调坏了，噪声很大。叫总台换了一间房，第二间房还可以，房间不隔音，隔壁几个人不知道干什么，半夜三更还在哈哈哈哈哈哈哈哈哈哈', '短评打分': 4}
{'短评内容': '酒店很干净，还不错', '短评打分': 5}
{'短评内容': '方便，其他一般', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '昨天给朋友订了个没有窗的，今天换一间。房间的卫生还是可以的，有个大窗子，下面有图，都是真实拍摄啊，个人感觉还不错的', '短评打分': 5}
{'短评内容': '帮朋友订的，酒店的位置不错，地铁口，很好找', '短评打分': 5}
{'短评内容': '总体来说还不错', '短评打分': 5}
{'短评内容': '首先，酒店位于一品天下地铁A口（没记错的话）附近，交通便利是肯定的，可惜的是100米内没有普通饭馆。其次，我住的是高级大床房，设施是一如既往的完善而且人性化，各种设施齐全。再次，服务上面有所欠缺，主要是安全保障方面让我有点失望，这家酒店和隔壁的炎金酒店貌似共用了一个电梯系统，如果有什么突发状况，更容易出现拥挤吧，这或许是我杞人忧天，但是，我进房间的时候发现门缝里夹了三张“援交妹”的名片，我第二天起', '短评打分': 4}
{'短评内容': '非常不错，交通便利，就在地铁口旁边', '短评打分': 5}
{'短评内容': '初次入住，地铁站旁，交通便利，用餐放便，仍会入住！', '短评打分': 4}
{'短评内容': '房间很干净 很整洁 毛巾这些很新 整体感觉棒棒哒', '短评打分': 5}
{'短评内容': '交通很方便，就在地铁口。条件也很好！', '短评打分': 5}
{'短评内容': '酒店各项设施条件不错，热水好，房间空间很大，比较舒适，就是隔音太差，几个房间外的声音都能听到，而且服务员大声谈话，洗东西的声音也很大。', '短评打分': 5}
{'短评内容': '还不错。就是电视机不太好。。看着看着就有杂音了。。', '短评打分': 5}
{'短评内容': '不错的房间，就是太小', '短评打分': 3}
{'短评内容': '交通方便 附近餐厅多  性价比高\n\n算是达到汉庭的一般水平！', '短评打分': 5}
{'短评内容': '房间太潮，过道和和电梯与其他酒店通用，只有早餐，而且品种少', '短评打分': 1}
{'短评内容': '酒店还不错，就是毛巾什么的都是脏的，空调也没加富，晚上热死了，点效果都没的', '短评打分': 1}
{'短评内容': '房间很干净！也很大！相当满意…下次还会来的', '短评打分': 3}
{'短评内容': '周围吃东西的小店少，早餐较难解决，一品天下街的餐馆主要是让人解决午晚餐的。距离市中心也比较远。楼层过道有烟味，真希望能做到全栋建筑全面禁烟。房间还好，该有的都有。', '短评打分': 5}
{'短评内容': '定的是100元的特价活动房。该酒店地理位置稍偏，但是酒店很新，很干净，房价也大，布置非常温馨。', '短评打分': 5}
{'短评内容': '室内很好~~房间够大够亮~~很不错\n因为是新装修的有点甲醛味\n除了走廊地毯不平，走起来容易摔', '短评打分': 5}
