{'短评内容': ' 酒店环境不错哦，就是附近没什么能一个人吃饭的地方。', '短评打分': 5}
{'短评内容': '酒店不错，房间很大，床也很大，很舒适，性价比很高，离深圳北站很方近很方便~~', '短评打分': 5}
{'短评内容': '，彩悦离深圳北站真的相当近日，很方便，房间也很大，觉得还不错。', '短评打分': 3}
{'短评内容': '非常满意，但渗水。', '短评打分': 3}
{'短评内容': '，酒店不错，离高铁站较近，但离市区较远，服务不怎样，想要创可贴不会送入房间，要自己到前台拿。买了个甜瓜整个酒店都找不到一把水果刀！而且服务员态度极不耐烦！房间隔音效果极差！亿龙网要能提供更祥细的出行信息就好！比如：具体位置的电子地图、天气、交通等', '短评打分': 3}
{'短评内容': '离高铁站近，价格也适中，比较干净卫生，下次还会去', '短评打分': 5}
{'短评内容': '我住的是双人特价房，空间比较大，也挺干净但价格确实比较便宜，值得推荐~~唯一的不足就是酒店周围购物不是很方便', '短评打分': 5}
{'短评内容': '房间够大，环境不错，就是前天服务员服务态度不是很好。', '短评打分': 5}
{'短评内容': '每次到深圳都会选择彩悦，价格经济，房间宽敞，很干净，服务态度好!', '短评打分': 5}
{'短评内容': '位置还可以，房间卫生设施还行，性价比还是比较高的。', '短评打分': 5}
{'短评内容': '我向朋友推荐这家酒店，酒店很干净，房间宽敞，明亮。', '短评打分': 5}
{'短评内容': '酒店的服务很到位，房间设计的也挺现代化的，卫生也很达标，住的很舒适。', '短评打分': 5}
{'短评内容': '这家酒店很干净，服务很周到，设施一般点，但是整体感觉还不错。', '短评打分': 5}
{'短评内容': '酒店服务上很好，很热情，办事很主动，让人感觉很亲切。', '短评打分': 5}
{'短评内容': '房间很大，卫生不够好', '短评打分': 5}
{'短评内容': '我觉得还不错，空间挺大的，卫生也到位，住的蛮舒适的。', '短评打分': 5}
{'短评内容': '不错.环境、服务都很好。交通还算便利。', '短评打分': 3}
{'短评内容': '性价比不错了。。服务挺好的。房间设施还挺不错的。。', '短评打分': 5}
{'短评内容': '客房的的整体感觉还不错，淋浴的花洒挺好用的，水流也很充足，不错！', '短评打分': 5}
{'短评内容': '酒店的位置还算方便，公交车、出租车都挺好找的，感觉还算可以吧。', '短评打分': 5}
