{'短评内容': '环境差，，，，，，，，', '短评打分': 1}
{'短评内容': '很吵 隔音很吵 睡不好觉', '短评打分': 1}
{'短评内容': '订了两晚 第二晚就叫我续费中午挂的请即打扫 晚上回来进门后一点没打扫 打电话去前台 跟我说客房部下班了？excuse me？第二次住荣威 但是可能是最后一次了', '短评打分': 4}
{'短评内容': '谈不上服务，卫生一般般', '短评打分': 4}
{'短评内容': '早餐没有那么理想，主要是能停车比较方便', '短评打分': 5}
{'短评内容': '非常不错的，价格也合理', '短评打分': 5}
{'短评内容': '房间大，还是蛮合适一家人住', '短评打分': 5}
{'短评内容': '房间大，还是蛮合适一家人住', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '房间太旧隔太差', '短评打分': 3}
{'短评内容': '帮别人定的', '短评打分': 5}
{'短评内容': '不行不喜欢', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '空间够，设施较老', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境挺好，早餐一般。', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '先付款不合理', '短评打分': 1}
{'短评内容': '酒店前台素质一般，办事效率较慢，而且12点就把门锁了，正常酒店不是两点之前退房吗？', '短评打分': 3}
{'短评内容': '酒店晚上不够安静，楼下夜总会的生意太大了', '短评打分': 1}
{'短评内容': '性价比超值，房间赠送报纸和瓶装饮用水，有免费早餐，但品种少质量一般。如想品尝广式早茶，酒店二楼就有，不过是自费。', '短评打分': 5}
{'短评内容': '地理位置在花都主干道，因我是开车过来的， 出入方便。房间面积比较大，有免费洗漱用品，还送2瓶矿泉水，包早餐，服务也不错，2楼餐厅消费不贵。附近也有食肆，方便用餐。', '短评打分': 5}
{'短评内容': '挺不错，是来花都旅行住宿的好地方，距车站不远，搭的到附近景区挺方便，服务蛮周到的，饭菜比想象中的好，一个字：好', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '预订时看到网上注明房间有电脑，入住时才知道早已撤掉所以电脑，郁闷。。。', '短评打分': 5}
{'短评内容': '地点还可以。环境也不错。就是房间旧啦一点点。、', '短评打分': 5}
{'短评内容': '其他地方都可以！就是这么冷的天气没有暖气！不知道夏天有没有空调！一个三星级的酒店这么可以没有这些设施！忘改善！', '短评打分': 5}
{'短评内容': '酒店比较陈旧，房间里面的话设施很陈旧，而且住在顶楼的话流水的声音和电压器的声音也很大吵得都没有办法休息，服务态度还好，酒店很一般。', '短评打分': 1}
{'短评内容': '房间干净。地理位置挺好。在房间可以点餐。免费送达。商务人士可选。', '短评打分': 5}
{'短评内容': '还可以，外观和内饰都还不错，价格也算比较合理。', '短评打分': 5}
{'短评内容': '房间还是比较宽敞，舒适度还不错。', '短评打分': 5}
{'短评内容': '地段位置还是很不错的，出行交通比较方便。', '短评打分': 5}
{'短评内容': '房间装修的比较华丽也很舒适，和酒店的价格也很合适。', '短评打分': 5}
{'短评内容': '荣威的服务挺好的，员工精神都比较饱满，热情且周到。', '短评打分': 5}
{'短评内容': '房间灯光还是挺不错的，显得房间很舒适。', '短评打分': 5}
