{'短评内容': '垃圾', '短评打分': 1}
{'短评内容': '挺好的 回来一直选择这家', '短评打分': 5}
{'短评内容': '大圆床给力', '短评打分': 5}
{'短评内容': '在市区内，交通方便，卫生很干净，值得推荐', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '也就那样八', '短评打分': 1}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '房间卫生还可以，就是设施有点老旧了！还有就是周边吃饭的地方很少，房间的格局与正常的宾馆不太一样！总的来说还行吧！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '马马虎虎', '短评打分': 4}
{'短评内容': '还可以，环境挺好的', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '很好 很好 很好 很好 很好 每次来都住这里 棒极了 ！！', '短评打分': 3}
{'短评内容': '离亲戚家近，所以住了，边上很方便。', '短评打分': 5}
{'短评内容': '地理位置方便，就是周边有点吵，隔音效果不怎么样。床单有洗不掉的印迹有点不舒服。', '短评打分': 5}
