{'短评内容': '一般，床单被罩枕头都脏脏的', '短评打分': 3}
{'短评内容': '老宾馆了，设施陈旧！说有早餐，但酒店说厨师家里有事所以没有了，很是气愤！还三星级呢！！！', '短评打分': 1}
{'短评内容': '不错，可以购买，下次继续关注！', '短评打分': 5}
{'短评内容': '不错，房间干净卫生。', '短评打分': 5}
{'短评内容': '有早餐，停车方便', '短评打分': 5}
{'短评内容': '太吵了，空气不好。', '短评打分': 3}
{'短评内容': '房价比较大，网络差些，其他都挺好。', '短评打分': 4}
{'短评内容': '酒店挺好的，但是没有吹风机', '短评打分': 4}
{'短评内容': '感觉性价比不高，368一晚觉得有些贵，200左右合适，房间临街，有点吵，没有免费停车场，停一晚8元倒是凑合', '短评打分': 4}
{'短评内容': '十一旅游旺季住到这里，设施陈旧，简单，价格还贵！', '短评打分': 3}
{'短评内容': '服务真心好   本来网上定了房间    结果到了之后发现没定上  前台直接换了一个套房    房间卫生等都做得很好', '短评打分': 5}
{'短评内容': '近鼓楼，这个价格比较合适，因为是看楼重新装修，所以环境还是不错的，如果停车有免费车场就完美了', '短评打分': 5}
{'短评内容': '非常差，大厅跟乱，房间有点潮，电梯里味道很大，当时不能刷卡付费，机打发票也是几经周折', '短评打分': 3}
{'短评内容': '我这次住的是套房，真心住不成，前台服务员态度极差，房间设施老旧，环境差，水还特小，洗澡都成困难，不推荐大家住！', '短评打分': 3}
{'短评内容': '网络信号差，连上秒断，客房内电话打半天没人接哎！', '短评打分': 2}
{'短评内容': '还行。。。。。？。。。。。。。', '短评打分': 3}
{'短评内容': '挺好。。。。。。。。。。', '短评打分': 3}
{'短评内容': '房间隔音效果不太好，有点吵！给前台说明后竟然被告知深更半夜的他们也没办法！拜托就是深更半夜的吵得睡不着才找你们的！希望改进！', '短评打分': 3}
{'短评内容': '总台服务有待提高。', '短评打分': 3}
{'短评内容': '干净，整洁，地处繁华闹市，临街，便道停车', '短评打分': 3}
{'短评内容': '酒店位置好，设施旧些。', '短评打分': 3}
{'短评内容': '房间很干净，楼下有个垃圾箱，但我住在4楼没有什么味道。打车从火车站到酒店起步价。有电梯，到沙坡头的公交车就在酒店马路对面。房间很大设施很好。', '短评打分': 5}
{'短评内容': '酒店的位置很好，房间也比较大，我住的房间不临街，很安静。前台态度不错。', '短评打分': 5}
{'短评内容': '我住的不是临街的那一侧,楼下是垃圾场,味道难闻.建议尽早清理!', '短评打分': 1}
{'短评内容': '酒店位置不错，在闹市区，离美食夜排档约300米；酒店前台态度好；房间设施一般。', '短评打分': 5}
{'短评内容': '总的来说还可以，位置不错，周围吃饭也很方便。刚住进去发现没有椅子，问服务员说是坏了去修了，跟总台反映后，服务员又给找了一把。', '短评打分': 5}
{'短评内容': '酒店位置比较好找，在马路边上！非常方便！', '短评打分': 3}
{'短评内容': '很一般，中卫没有经济型酒店，也只能这样了', '短评打分': 1}
{'短评内容': '酒店环境不错，房间干净,.设备较新......', '短评打分': 5}
{'短评内容': '中卫万瑞大酒店环境不错，设备较新！房间干净...', '短评打分': 5}
{'短评内容': '服务较好，就是卫生间积水，洗澡特别不方便。', '短评打分': 5}
{'短评内容': '第一次到中卫，已经是冬夜的10点，前台小姐很热情，房间很干净，感觉不错。', '短评打分': 5}
{'短评内容': '服务很好，设施也很新，中卫城区不大，到哪里都很方便。', '短评打分': 5}
{'短评内容': '極糟！一进门洗手间一股恶臭， 原来是洗脸台下的下水道管子被锯开，搭上一条软水管，并没有封口，换句话说，大小便的恶臭和有毒的沼气都进到洗手间。 要求换房，经理说每间房都如此装。碰上双节客房吃紧，只有忍受。还有， 洗手间淋浴没有隔开，洗澡后整个洗手间全湿了，地滑非常危险。洗手间与卧房之间没有墙，只有透明压克力玻璃和薄塑料布隔开， 不但洗澡时没有隐私，晚间上洗手间时不敢开灯 （怕吵醒同房），加上地湿，没', '短评打分': 1}
