{'短评内容': '整体还不错，靠近国美', '短评打分': 5}
{'短评内容': '装修太落伍了，需要提高，早餐还没有', '短评打分': 3}
{'短评内容': '周边配套比较齐全', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '除了比较偏远以外都非常好！房子也大！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '京东的服务也挺好的，以后会考虑再次在京东上购买！', '短评打分': 5}
{'短评内容': '设施一般，和四星还是有差距的，而且早餐一般。不过有两点好处，一个是还算便宜，最主要是24小时制，对我这样晚上高铁的很合适。', '短评打分': 5}
{'短评内容': '去云溪小镇开会定的美铭，酒店服务不错，地理位置也不错，就在中国美院隔一条街的地方。出门打车方便，酒店还可提供10KM以内免费送车服务。就是WIFI信号太差了，在房间里基本只能用4G。', '短评打分': 4}
{'短评内容': '很干净，很不错', '短评打分': 5}
{'短评内容': '酒店很干净，是这附近比较好的酒店', '短评打分': 5}
{'短评内容': '酒店很干净，算是转塘比较好的酒店，而且很便宜', '短评打分': 5}
{'短评内容': '还好，这间房是领导住的 ', '短评打分': 4}
{'短评内容': '位置挺好的，离云栖小镇国际会场挺近，就是门出了点问题。', '短评打分': 4}
{'短评内容': '这个价格还不错的，下次还会再去的。', '短评打分': 5}
{'短评内容': '每次都是在美铭酒店住，非常满意', '短评打分': 5}
{'短评内容': '整体还行，去美院那是相当方便啊！', '短评打分': 5}
{'短评内容': '出差经常入住的酒店，周围吃饭很多，还有电影院，服务也不错，房间干净。', '短评打分': 4}
{'短评内容': '还不错的，最后尽然还可以开车送。真好', '短评打分': 5}
{'短评内容': '环境如网上所说/房间还是比较新的', '短评打分': 3}
{'短评内容': '好.就是离市区太远啦..........................', '短评打分': 5}
{'短评内容': '挺实惠的', '短评打分': 3}
{'短评内容': '预订之前在网站查了好多酒店，发现这家位置很好，离宋城近，并且网上的评论也都不错。入住后发现果然名不虚传，前台MM热情，笑容灿烂，真是有宾至如归的感觉。打开房门，房间整洁干净，晚上凭窗小坐，绚烂的美院夜景尽收眼底。真是惬意。', '短评打分': 5}
{'短评内容': '酒店环境好，服务好。感觉很好的一个服务式单位的酒店，服务、管理比较到位，酒店房间的设计比较现代、空间的分割也不错，有特色的酒店，已经是第二次入住了，在杭州出差或者旅行的人士都可以选择。', '短评打分': 5}
{'短评内容': '房间很大，设施完备，环境也不错，就是早餐说好7点钟开始，竟然没有那么早', '短评打分': 5}
{'短评内容': '房间很大，住的很舒服，还有好大一个衣橱，衣橱的整个门都是镜子，和朋友在大街上淘宝回来各种试衣真心很方便。住的朝北的房间，窗户外望就是美院，高空夜景真心很美呀~~哈哈~~', '短评打分': 5}
{'短评内容': '酒店环境真的是很nice~地理位置也很好！住了之后就觉得还想再去第二次 \n价格也实惠、总之来说一切都不错', '短评打分': 5}
{'短评内容': '我住的那晚，不知道是什么人在外面吵，最可贵的是这样的人在酒店走廊里面逛来逛去，非常影响其他住客的，都没有人警告他们的', '短评打分': 1}
{'短评内容': '酒店地理位置不错，距离美院只有一路之隔，酒店内很有艺术感，每副画都很有个性．交通比较便利，公交车可直达酒店门口．自驾游更加方便，就在杭州绕城转塘出口，停车场较为宽大，适合停放各类型车辆．接待人员服务态度很好，很会理解每位客人的需求（因我是糖尿病人，不能吃较甜的食物，去建议了一下，结果第二天餐厅就有适合我这样的人群的餐点），在此我谢谢酒店的工作人员．如果下次再去杭州，我一定会再入住美铭酒店．', '短评打分': 5}
{'短评内容': '该价位的酒店各方面还不错。位置偏些，自驾游是优选。', '短评打分': 5}
{'短评内容': '看了100%的好评去住的，发现住了个前所未有差的酒店，首先地理位置非常偏僻，据西湖风景区20公里左右，附近基本没有出租车，出行非常困难。第二，洗澡水非常小，并且水温很低，叫来服务人员，服务人员表示，就是这样，没有办法。第三，前台基本都是新人，速度非常慢，还经常打错客人名字，导致结账排队非常长。总之，非常差的酒店。', '短评打分': 1}
{'短评内容': '服务很好，在中国美院后门，只是没早餐，推荐', '短评打分': 5}
{'短评内容': '简单清新美院近', '短评打分': 3}
{'短评内容': '交通便利，干净舒适，服务服务很好，值得选择。下次我还会选择的。 \n', '短评打分': 5}
{'短评内容': '不错，环境很好，就是酒店的网线太短，没法坐在床上上网，其他的硬件环境蛮好的！', '短评打分': 5}
{'短评内容': '新开不久的一家酒店，设施很新，内部环境很不错，周边夜景不错，马路对面就是中国美术学院，值得推荐', '短评打分': 5}
{'短评内容': '设施蛮新，平常到国美去住住不错。服务也不错，显房间吵，前台立刻给挑换了', '短评打分': 5}
{'短评内容': '干净、舒适，只是由于艺考时间，价格涨了一倍，但也可理解', '短评打分': 5}
{'短评内容': '要到美院考试，正好考场安排在山南考点，也就是酒店正对面！   此酒店真不错，前台小姐服务周到，客房设施齐全卫生好，这才是关键，非常满意！  ', '短评打分': 5}
{'短评内容': '是一家新开张的酒店，设施很新，这是长处。但是相对僻静，这是短处。新酒店的停车位超多，过年时去的，空荡荡的地下车库，只有我一辆车，感觉太空了。', '短评打分': 5}
