{'短评内容': '一般般，比较实惠！！！', '短评打分': 3}
{'短评内容': '一般化作为****昵称了你是你也没', '短评打分': 5}
{'短评内容': '一般化   的确有什么呐你', '短评打分': 5}
{'短评内容': '没有早餐', '短评打分': 5}
{'短评内容': '临街有点吵，其他挺好', '短评打分': 5}
{'短评内容': '早餐15元每位，不错。', '短评打分': 4}
{'短评内容': '。。。怎么说呢', '短评打分': 5}
{'短评内容': '就是空间小了点', '短评打分': 5}
{'短评内容': '别提了    晚上睡觉的时候居然有个像蚂蚁的小虫在床上   咬到我了   这都是小事  我过敏了    坑死我了', '短评打分': 5}
{'短评内容': '哈哈哈还好还好+', '短评打分': 5}
{'短评内容': '可以，可以，可以，可以，不算太实惠。', '短评打分': 5}
{'短评内容': '舒服，卫生，酒店位置好，值得体验，性价比高', '短评打分': 5}
{'短评内容': '房子一般般，正好面对着公路，窗户玻璃不是双层的，有点吵，面盆下面的水管还在哗哗流水。没有电脑也就算了，无限网也烂的一塌糊涂，压根儿就不能用，终于体验了龟速，微信视频就说不了话，这让人出差在外很无奈，幸好带了一本书可以打发无聊时光，还有就是到了晚上总有人会在门缝下塞小卡片，难道这些人都不能禁止进入吗？还是压根儿就不管？', '短评打分': 4}
{'短评内容': '床挺软的，就是卫生间不舒服', '短评打分': 5}
{'短评内容': '挺安静，物美价廉', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 4}
{'短评内容': '还可以的，前台一个美女，一个太凶的', '短评打分': 4}
{'短评内容': '挺好～', '短评打分': 5}
{'短评内容': '这次住的卫生间马桶坏了，可能服务员可能不知道，除了这点，其他都还好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '每次来都是这，交通方便', '短评打分': 4}
