{'descr': '房间内干净卫生，酒店位置交通便利，有停车场地。', 'star': 4}
{'descr': '隔音不好。……。zzzzzdddddfffssdddddddddfff', 'star': 3}
{'descr': '很方便，第一次使用京东定酒店，感觉不错', 'star': 5}
{'descr': '挺不错的，舒适，干净，就是毛巾有点旧了', 'star': 5}
{'descr': '好，，，，，，，，，，，', 'star': 5}
{'descr': '周边交通方便，设施齐全，房间宽敞，干净卫生，距离地铁站很近，周边吃饭的地方很多，让人感觉非常舒适，适合出差旅行居住。', 'star': 5}
{'descr': '脏死了，又陈旧又异味。', 'star': 2}
{'descr': '酒店位置不错，环境还好，停车场比较方便。卫生也蛮不错的，服务也蛮好的，对顾客的问题处置较快。值得推荐。', 'star': 4}
{'descr': '在前台确认时告知双床房都靠马路，可能会有点声音，这点做的不错。房间环境较简陋，进门时烟味较重，灯光都比较暗，主要只能满足睡觉和洗澡两个条件吧。酒店靠地铁比较近，交通方便。', 'star': 4}
{'descr': '没啥好写的', 'star': 2}
{'descr': '价格不贵 交通也比较方便 还不错', 'star': 4}
{'descr': '交通还挺方便的 其他的方面还行吧', 'star': 4}
{'descr': '设施有点旧，不过住着还算可以。', 'star': 5}
{'descr': '一般', 'star': 4}
{'descr': '酒店安全环境很好 地处地铁站旁 交通很便利', 'star': 5}
{'descr': '离地铁很近 但是房间是临街的 晚上有点噪音 大床房房间有点小', 'star': 5}
{'descr': '订是订成功了，但速度，不够快，将近等了好久才成功', 'star': 4}
{'descr': '京东这方面做的挺好，中间确认的时间应该再短点。', 'star': 5}
{'descr': '应该还不错的哦，老公说下次可能还要定这里，算是比较干净的', 'star': 5}
{'descr': '?酒店很好，干净舒适。', 'star': 3}
{'descr': '店还不错，就是隔音效果不太好', 'star': 3}
{'descr': '挺好的~哈哈以后都你家    干净又舒服···就是离地铁有点远', 'star': 5}
{'descr': '酒店不错，挺方便的，靠近地铁口，周围也算还繁华', 'star': 5}
{'descr': '感觉一般般，总体上还不错', 'star': 3}
{'descr': '交通还算方便，两地铁站之间，要走一小段。环境还好。', 'star': 5}
{'descr': '周边环境还好，地铁站之间，坐车比较方便吧，环境还好。', 'star': 5}
{'descr': '酒店在南京新区，离地铁站很近，交通方便。', 'star': 5}
{'descr': '房间干净整洁，出行方便位于两个地铁站中间，较满意', 'star': 5}
{'descr': '房间有点小，其他挺好的，挺干净，在郊区，不是很吵，价格偏高。', 'star': 5}
{'descr': '房间挺干净而且住得挺舒服', 'star': 3}
{'descr': '比较干净整洁，但也就是一般经济型酒店，可以接受。', 'star': 5}
{'descr': ' 干净，服务还到位。但房间隔音效果实在太差，硬件设施有待提高。', 'star': 3}
{'descr': '浴室是透明的，挺好玩的，适合10点左右赶飞机的人，而且不想住在离机场太近，周围交通还算便利，吃饭的地方也还算多，周围就有超市，和药店。就是打车得30分钟左右吧，不是高峰期的时候，车费100左右单程！房间干净。', 'star': 5}
{'descr': '房间比较紧凑，但是感觉还是很不错。在地铁站旁边', 'star': 5}
{'descr': '网上预订比门面贵好多，不划算，感觉不是很好，有点不合适', 'star': 5}
{'descr': '还可以，周边还算繁华！地理位置偏，主要是出差入住！', 'star': 5}
{'descr': '入住假日百元房，太超值了，房间空间很大，环境舒适，就是临街有些吵，不过睡眠质量好的人完全可以无视', 'star': 5}
{'descr': '设施环境非常满意…首先是干净…标准间的床很大很舒服…服务态度很好…然后地铁旁边非常方便…旁边有超市餐馆总之很开心…下次还入住', 'star': 3}
{'descr': '有点老，有点吵！条件比一般的汉庭多要差，不建议住', 'star': 1}
{'descr': '真的很不错，十二分的推荐。新装修，很赶紧，床很大，虽然靠路边，有点噪音，还能接受。', 'star': 5}
{'descr': '交通比较方便,干净卫生舒适,总体感觉性价比不错', 'star': 5}
{'descr': '很不错的快捷酒店，住的很舒服！下次来南京还住！', 'star': 5}
{'descr': '汉庭的新春特价真的很不错！给的房间不靠马路，里面就是武夷绿洲，很安静，很好！', 'star': 5}
{'descr': '距离机场比较近，开放式卫生间不是很能接受。', 'star': 5}
{'descr': '卫生很一般 装潢简单 比较安静 门口修路 开车去较麻烦 前台服务不错 ', 'star': 3}
{'descr': '除了马桶没法冲水  空调不太给力  其他蛮好的', 'star': 5}
{'descr': '很划算，服务也超好，房间干净，就一百块钱，还是靠窗的房间，没的话说！', 'star': 5}
{'descr': '交通不是很方便，配套也没跟上，但就是性价比不错，也很干净', 'star': 5}
{'descr': ' 虽然在地铁边，但其他的交通都不方便，购物也没有。酒店内部服务还可以。', 'star': 3}
{'descr': '环境不错，比市区其他汉庭要便宜许多，缺点是离马路比较近，白天车多时有点吵', 'star': 3}
{'descr': '性价比比较高.设施比较新，位置好方便出行.整体来讲还算可以.', 'star': 5}
{'descr': '挺干净的，就是12点必须退房。', 'star': 3}
{'descr': '酒店位置一点也不好，早上出来也打不到车，入住的商务大床房，房间非常小，还有蟑螂，以后肯定不会住这里了。', 'star': 1}
{'descr': '就是隔音效果太差，汽车声音和隔壁说话声都能听到', 'star': 5}
{'descr': '还不错&#183;&#183;&#183;房间蛮大的&#183;&#183;&#183;卫生条件也不错&#183;&#183;&#183;', 'star': 5}
{'descr': '高级大床房 厕所浴室太情趣了吧……另，隔音不是很好', 'star': 5}
{'descr': '总体不错，房间很精致。就是电梯是不是该换换了，或者修修？', 'star': 3}
{'descr': '去的时候没有很快找到酒店。入住后感觉很不错！作为出差后的休息是瞒不错的，下次还会入住！', 'star': 5}
{'descr': '新装修过酒店房间气味还是挺大的卫生设施还可以，前台比较慢一些，价格还是能接受。', 'star': 1}
{'descr': '枕头上没洗干净,其他还行吧，靠马路的有点吵', 'star': 5}
{'descr': '满意,干净,整洁', 'star': 5}
{'descr': '靠马路一边叫吵，其他都非常好，设施也比较新，服务态度比较热情。', 'star': 5}
