{'短评内容': '很好 非常满意  确实各方面都好', '短评打分': 5}
{'短评内容': '还可以。昆明算不错的啊', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '位置很好。有停車場。附近有得食。房間都好大。就是房卡有啲難開門。', '短评打分': 5}
{'短评内容': '好，实惠&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '无暖气，有点冷', '短评打分': 3}
{'短评内容': '环境还可以，停车方便，吃饭方便', '短评打分': 5}
{'短评内容': '酒店环境很好', '短评打分': 5}
{'短评内容': '酒店环境很好', '短评打分': 5}
{'短评内容': '酒店环境很好', '短评打分': 5}
{'短评内容': '空调不给力，床好硬！ 设施太旧，味道不好', '短评打分': 2}
{'短评内容': '方便些........', '短评打分': 5}
{'短评内容': '隔音太差了，夜里吵死人', '短评打分': 4}
{'短评内容': '房间比较大，卫生不错', '短评打分': 4}
{'短评内容': '常住！比较舒坦', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '很好！很划算！', '短评打分': 3}
{'短评内容': '酒店卫生干净大堂有点与四星酒店不符有点小,但服务态度好,床也舒服,但房间空调不给力,有点冷早餐简单总体不错', '短评打分': 3}
{'短评内容': '  酒店不挂星其实就是商务酒店，作为商务酒店价格偏高了点。', '短评打分': 3}
{'短评内容': '距离机场距离不太远。。性价比还行，不过早饭不太好，建议改进。', '短评打分': 5}
{'短评内容': '房间还是对得起价格。卫生间需要改进，一洗澡满地都是水', '短评打分': 5}
{'短评内容': ' 性价比不错的酒店，和机场很近，只要不堵车，20分钟内肯定到。就是早餐需要改进', '短评打分': 5}
{'短评内容': '1）酒店卫生间是玻璃全透明的，没有私密性！一开房门就能看到卫生间的一切，淋浴房没有洗漱用品的支架，没有门隔断，淋浴后，整个卫生间全是水，卫生做的不彻底，不干净\n2）客房有德国小蠊，没法安心睡觉\n', '短评打分': 1}
{'短评内容': '这是一家我不喜欢的酒店。卫生较差:地毯不清理、标间中床品仅换一张床，卫生间内卫生不彻底；装修较差：建材质量太低、卫生间隔断为透明玻璃极为不方便，标间只适合单人居住。总体感觉档次太低与门脸不匹配.', '短评打分': 1}
{'短评内容': '洗手间玻璃透明的感觉很不爽，屋顶上的镜子睡觉的时候让人感觉很诡异。', '短评打分': 1}
{'短评内容': '门脸不太行，但是里面还不错，早餐种类再丰富点就比较好了。距离机场比较近，性价比也很合适。', '短评打分': 5}
{'短评内容': '门脸不太行，但是里面还不错，重新装修过，离机场近，算性价比合适的酒店了。', '短评打分': 5}
{'短评内容': '卫生较差', '短评打分': 3}
{'短评内容': '不错的酒店，装潢还很新，有特色。服务态度也不错。', '短评打分': 5}
