{'短评内容': '屋子太小还潮湿，住了一天赶紧换地方了', '短评打分': 3}
{'短评内容': '没有发票，其余还可以接受！', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '国庆假期入住，旅游旺季期间各宾馆酒店都爆棚，这家酒店地理位置非常好，距离避暑山庄就几分钟的路程，由于我们是先玩后入住，去的时候大概下午六点多了，服务员告诉我们因为不知道我们几点入住所以现在只有一间拐角的大床房了，如不合适可以原价给我们调标间，并亲自带我去看房间，然后调了一间标间。酒店晚上比较安静，门口吃饭也方便，距离当地一家大型超市很近，我们饭后去逛了逛并带回榛子等土特产（在此奉劝各位驴友不要去此', '短评打分': 4}
{'短评内容': '位置极好，就在避暑山庄500米的地方。离吃承德特色小吃的地方也很近。其实就是家庭旅馆，只是规模较大，房间也不少。', '短评打分': 4}
{'短评内容': '最大优点是位置好，离山庄步行五分钟，吃饭、购物非常方便，虽地处闹市，但因处一栋楼的后半部分，所以非常安静，宾馆各种设项比较旧，但房间还算干净，无异味，洗澡热水很好，我们一家三口住两日基本满意。', '短评打分': 4}
{'短评内容': '房屋在五楼，可以看到棒槌山，离避暑山庄很近，吃东西也方便', '短评打分': 3}
{'短评内容': '挺好，去避暑山庄和周边都很方便！', '短评打分': 3}
{'短评内容': '住过的最差酒店之一。国庆期间价高也就算了，停车要另收钱，没电梯要自己拖着行李爬楼，无淋浴间且淋浴头漏水，洗脸盆下水孔闭合不严，床头灯完全点不亮，电视机还是老式显像管的，隔音差，半夜听隔壁叫门声半小时。不知道艺龙上这家的好评怎么刷来的，我是结结实实上了个当，被艺龙坑了一把。', '短评打分': 3}
{'短评内容': '干净卫生，离避暑山庄很近，步行5分钟，性价比高。', '短评打分': 3}
{'短评内容': '条件还可以，服务员态度一般', '短评打分': 3}
