{'descr': '好评', 'star': 5}
{'descr': '不错，挺好的，周边吃饭方便，服务热情不错，挺好的，周边吃饭方便，服务热情不错，挺好的，周边吃饭方便，服务热情凑够这么多字儿容易嘛', 'star': 4}
{'descr': '空调声音特别大，开了根本没办法睡觉，关了又冷！电视是付费的，房间不隔音，走廊的声音大，就住了一晚，没睡好', 'star': 3}
{'descr': '停车场比较小，吃饭不方便', 'star': 5}
{'descr': '前台一个女的拽的一逼啊', 'star': 3}
{'descr': '非常十分满意', 'star': 5}
{'descr': '之前一直来住，都没有评价。这次好好发表一下给想来住的做的参考。首先酒店位置就在澄江中路上，很好找。江阴汽车站有公交直达，一块钱，能省不少打车钱呢。进入酒店大堂很明亮，很温馨。还有免费的茶水可以喝。前台小妹也很可爱，办理入住很专业迅速，而且不用押金，赞一个，而且还专门为我安排了一间安静的房间。房间走廊上是地毯，可以减少声音。到房间后，是典型的如家风格，不过因为熟悉，所以自然，就像到家一样。房间很整洁', 'star': 5}
{'descr': '床单脏！看着恶心起床的时候才看到！毛巾几个窟窿眼我也是醉了！', 'star': 2}
{'descr': '卫生很好！服务态度热情准备再次入住，今晚路过江阴跟朋友吃完饭就入住，朋友问我在哪里住的这么便宜，就在附近。我笑了', 'star': 5}
{'descr': '挺干净', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '酒店在马路边靠马路的房间有点吵。停车位太少，吃饭购物到附近的新一城走过去有一段路。', 'star': 5}
{'descr': '位置便捷，房间空间略小，空调声音大。', 'star': 5}
{'descr': '还行，这个价住的算可以了', 'star': 5}
{'descr': '酒店不错，干净卫生，服务也挺好', 'star': 4}
{'descr': '服务员挺热情，就是房间面积差异较大。性价比还行。', 'star': 5}
{'descr': '一般般啦、进来住之前一定要小心、这个宾馆有几个房间是暗窗、对面是一堵墙。', 'star': 5}
{'descr': '酒店的硬件一般，没有提供餐饮。但是位置是很不错的。临近高速路口，交通方便。屋内采光不是很好，有点潮。', 'star': 5}
{'descr': '如家如家。跟家一样温馨。', 'star': 3}
{'descr': '干净，安静，舒适，跟以前住的时候一样好，就是房间没有电脑', 'star': 5}
{'descr': '晚上9点到的酒店，酒店里很温馨，特别是床单的颜色，很家居，宾至如归的感觉！', 'star': 5}
{'descr': '真有家的感觉！', 'star': 3}
{'descr': '还行，就是离公交站台有点远，还有空调有点响，不过这些都是可以忽略的', 'star': 5}
{'descr': '隔音效果相当差，楼上，隔壁方水，走路，说话的声音特大，简直受不了，一晚上都没睡好。再也不去了。', 'star': 1}
{'descr': '房间不错，但是靠马路不是很安静，空调安装的位置也不好，朝着床吹风', 'star': 5}
{'descr': '员工很礼貌  态度好  然后房间还很干净  ', 'star': 5}
{'descr': '环境还好，周边不太方便\n\n前台速度有些慢', 'star': 5}
