{'短评内容': '交通十分的便利，给留位置很好。', '短评打分': 5}
{'短评内容': '交通十分的便利，地理位置很好。', '短评打分': 5}
{'短评内容': '很好，很干净。', '短评打分': 5}
{'短评内容': '服务非常的好', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 5}
{'短评内容': '隔音不好，比较干净', '短评打分': 3}
{'短评内容': '帮朋友定的', '短评打分': 4}
{'短评内容': '房价真是小啊。', '短评打分': 4}
{'短评内容': '年久失修～', '短评打分': 3}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '非常棒的酒店', '短评打分': 5}
{'短评内容': '卫生好，不错。', '短评打分': 4}
{'短评内容': '每次来都到这间如家，不错好评', '短评打分': 5}
{'短评内容': '环境不错，挺安静的，也很干净。', '短评打分': 5}
{'短评内容': '唯一就是没开暖气啊，不过还好空调可以制暖。其他都还不错，住了好几次了，推荐！', '短评打分': 5}
{'短评内容': '临街，车水马龙一晚上，没有睡好。半夜服务员敲门打电话问是否要的水!太失望了。', '短评打分': 4}
{'短评内容': '住着不错，\r\n很暖和，就是房间太小啦，不过是划算的；', '短评打分': 4}
{'短评内容': '干净卫生，服务也很不错，但是这次住的房间又小又窄，面盆水龙头与淋浴水流都很小，网速慢~~~', '短评打分': 5}
{'短评内容': '网速超级慢，实在受不了 \n别的没什么说的，全国都一样的如家 ', '短评打分': 5}
{'短评内容': '中规中矩的如家酒店~~ 房间比较小，电视很老旧，餐厅早餐一般般，悲催的是住了几晚上，每天晚上都要不停的停电，一会来了一会儿停的，害得我电脑被直接关机好几次~~。别的没什么了，全国都一样~~~~~~', '短评打分': 5}
{'短评内容': '服务好，价格合理，卫生不错，房间挺大的，值得支持，', '短评打分': 5}
{'短评内容': '很老，服务态度还行 其他都差 uuuuuuuuuuu', '短评打分': 1}
{'短评内容': '停车场位置有点隐蔽，入口也很小，其它都很不错，周边交通很便利', '短评打分': 5}
{'短评内容': '整体都还行吧，就是房间有点小，是真心的小，服务还不错', '短评打分': 5}
{'短评内容': '都挺好，就是房间稍微有点小吧，交通还蛮便利的，', '短评打分': 5}
{'短评内容': '提前预定了，但房间没给预留，不过还好最后酒店方即使处理好了…房间很小，临街晚上有些吵，但服务还算不错，很积极…', '短评打分': 5}
{'短评内容': '总体感觉不错', '短评打分': 3}
{'短评内容': '很好，就是房间有点小', '短评打分': 3}
{'短评内容': '不错的酒店，经常住这里，下次应该还会来的', '短评打分': 5}
{'短评内容': '还可以，经常住,如家一贯的风格，就是附近打车不方便', '短评打分': 5}
{'短评内容': '离火车站非常方便，附近吃饭的地方也多，总之是出差郑州的首选，我每次都入住。', '短评打分': 5}
{'短评内容': '回来后收到信息说是没有入住。。还让我返回短信确认房间号。。。真让人郁闷。入住的第一间房子门锁是坏的。换了一间，特意告诉她要有纱窗的，结果第二间还是没有纱窗，不知道是不是整体就没有纱窗，没有纱窗的房间会有蚊子。。。很郁闷。本来晚上想开空调，可是打开是臭的，真是。。。\n但是工作人员的态度都还挺好的，房间要求了也就换了，希望上述方面能有改进，以后能有更好的服务。房间还比较赶紧整洁。', '短评打分': 5}
{'短评内容': '交通便利，就是房间颇小，卫生间浴帘上都是锈迹，不过其他的卫生还是很不错的', '短评打分': 5}
{'短评内容': '距离中原博览中心相当近，走路20分钟，坐公交就两站!去步行街、火车站也比较方便快捷，交通上没的说！第一天入住的时候洗澡的喷头管从头到尾的漏水，很不满意，不过提出建议后马上改进了，改进速度还是值得称赞的。客观评价就是有啥说啥，好的不好的都说说，总的来说，还是不错的，可以推荐！', '短评打分': 5}
{'短评内容': '性价比很高，虽然临街，但相对还是比较安静的。下次还回来。', '短评打分': 5}
{'短评内容': '店面较小，我们开车去的，它本身的停车场很小，停不了几辆车，但是后面有一个酒店的停车场，比较大，可以停车，不收费，就是有点距离。\n店内设施还行，出电梯左手的房间相对较大，右手的房间特小。床比较大，1.2m的，属于略硬的床。热水挺冲的。\n早饭12元一位。7-9点。\n交通还算是方便，到二七广场打车需要8-9元。门口有好几趟公交。\n但是我们住的一间门坏了。。。最后也没修好，只好调换了一间，两间都没有纱窗。', '短评打分': 5}
{'短评内容': '环境很好，很干净，服务态度不错！离商城路不远，可以找到很多小吃，周边也有很多景点。很不错\n\n', '短评打分': 5}
{'短评内容': '环境很好，很干净，服务态度不错！离商城路不远，可以找到很多小吃，周边也有很多景点。很不错', '短评打分': 5}
{'短评内容': '如果是自驾去郑州，推荐这家酒店，下高速后路非常顺，而且离二七塔很近，也在一条线上，步行2分钟还有著名的萧记烩面总店。唯一不太好就是后院停车场有点小，能停15辆左右的小车，淡季应该可以应付的来。', '短评打分': 5}
{'短评内容': '张捷玲已入住', '短评打分': 3}
{'短评内容': '酒店硬件还行，就是可惜没有午餐和晚餐，周围娱乐会所不少。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好。~环境不错。', '短评打分': 3}
{'短评内容': '环境很好，很干净，服务态度不错！空间有点儿小！', '短评打分': 3}
{'短评内容': 'Good', '短评打分': 3}
{'短评内容': '还行。\n就是设施比较旧了。还行吧。\n过得去。\n', '短评打分': 5}
{'短评内容': '很不错酒店，干净，周边设施也很齐全，唯一不足的是洗澡的空间很小', '短评打分': 5}
{'短评内容': '服务很好，环境干净，就是房间小了点，总体很好', '短评打分': 5}
{'短评内容': '卫生比较一般 上网很慢 比其他的如家差一点 服务还是可以的', '短评打分': 1}
{'短评内容': '卫浴龙头都挺好，只是房间太小，临街有些吵。', '短评打分': 5}
{'短评内容': '挺干净的，就是空间很小哦', '短评打分': 3}
{'短评内容': '环境和服务都还可以，里火车站较近。就是房间有点小。', '短评打分': 5}
{'短评内容': '一般吧，希望能提高设施和服务质量，还有为什么不送早餐呢', '短评打分': 5}
{'短评内容': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评', '短评打分': 5}
{'短评内容': '环境还可以 早餐也不错哦 如家的品质确实很好 很不错哦 我出差就首选如家 价格合理', '短评打分': 3}
{'短评内容': '服务好，卫生好，位置好，出门打车很方便，就是房间太小。', '短评打分': 3}
{'短评内容': '已入住服务不错', '短评打分': 5}
{'短评内容': '床上卫生环境还是可以的！床单雪白雪白的，睡觉非常舒服的就是电视信号不是很好 雪花比较多 ', '短评打分': 5}
{'短评内容': '周围交通挺便利的，房间挺温馨的，只是洗澡的地方有点小。', '短评打分': 5}
{'短评内容': '如家的房间总是那么小```\r\n电视机的效果不行，看到的人物画面都是绿绿的```\r\n', '短评打分': 1}
{'短评内容': '感觉很不错', '短评打分': 5}
{'短评内容': '其他都还好，就是临街太吵。', '短评打分': 5}
{'短评内容': '我感觉特别好  ，以后我还会入住锦江之星酒店  ，也会推存给我的朋友同时  ', '短评打分': 5}
{'短评内容': '地点不错，离市中心很近', '短评打分': 5}
{'短评内容': '位置还不错，比较方便，离火车站也近，繁华地带也很近！', '短评打分': 5}
{'短评内容': '不知道为什么，房间里面很热。不过各方面都不错  很满意了', '短评打分': 5}
{'短评内容': '干净、卫生，出门自费旅行的好去处', '短评打分': 5}
{'短评内容': '硬件设施尚欠缺', '短评打分': 1}
{'短评内容': '很温馨的如家酒店，服务员态度很好，酒店很卫生。\r\n就是不含早餐，需要另外收费。', '短评打分': 3}
{'短评内容': '服务很好，很卫生。值得推荐。', '短评打分': 3}
{'短评内容': '很温馨，很干净，服务员态度很好。\r\n就是房间小了点。\r\n会向朋友推荐的。', '短评打分': 5}
{'短评内容': '吧台有时只剩一人，让顾客无奈。愿意推荐给朋友。', '短评打分': 5}
{'短评内容': '房间太小。空气不 是 很好 &#183;&#183;', '短评打分': 5}
{'短评内容': '酒店的整体条件还都挺不错的,自己也比较喜欢住如家,所以也比较习惯了,都挺满意的.', '短评打分': 3}
{'短评内容': '酒店的价格还是比较便宜的,而且内部环境也都还可以,没有遇到什么问题,可以推荐.', '短评打分': 5}
{'短评内容': '   前台服务很好，热情、规范。交通方便，只是院内停车场较小。餐厅服务很好且规范，饭菜质量、价格都能令人满意。\r\n  夜间在团体客人声嘈杂、频繁出入，影响已经入睡的他人时，没有相关服务人员制止。', '短评打分': 5}
{'短评内容': '酒店不错~比较适合普通消费人群，酒店的位置也不错！工作人员服务态度非常不错！\r\n希望今后再接再厉，赢得更多的消费人群！！', '短评打分': 5}
{'短评内容': '酒店地理位置比较好,但是洗手间玻璃全透明比较尴尬啊.', '短评打分': 5}
{'短评内容': '服务都还不错，交通都比较方便，价格呢还是觉得有一点点偏高，', '短评打分': 5}
{'短评内容': '房间价格实惠,但是早餐价格偏高,卫生环境很好,服务也周到,出行也很方便', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
