{'短评内容': '服务很好，环境舒适干净卫生 ，点赞', '短评打分': 5}
{'短评内容': '很好很好，推荐推荐', '短评打分': 5}
{'短评内容': '酒店很好，很舒适！', '短评打分': 5}
{'短评内容': '很好很好很好很好很好', '短评打分': 5}
{'短评内容': '很好很好很好很好很好', '短评打分': 5}
{'短评内容': ':很干净，服务很好', '短评打分': 5}
{'短评内容': '很好，很方便', '短评打分': 5}
{'短评内容': '性价比较高，位置好，离公司近，很适合出差，不错', '短评打分': 5}
{'短评内容': '入住满意。前台很好，房间卫生干净。', '短评打分': 5}
{'短评内容': '玩着文字游戏的京东，大家要小心，处处是套！玩着文字游戏的京东，大家要小心，处处是套！玩着文字游戏的京东，大家要小心，处处是套！玩着文字游戏的京东，大家要小心，处处是套！玩着文字游戏的京东，大家要小心，处处是套！', '短评打分': 1}
{'短评内容': '服务态度好，贴心，下次还要来', '短评打分': 5}
{'短评内容': '服务好，态度好，贴心', '短评打分': 5}
{'短评内容': '干净卫生，装修不错。很好', '短评打分': 5}
{'短评内容': '线上太便宜了，酒店直接不给房间，气死我了', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '早餐品种少了点 房价还算干净把  经常住', '短评打分': 4}
{'短评内容': '早餐品种少了点 房价还算干净把  经常住', '短评打分': 4}
{'短评内容': '早餐品种少了点 房价还算干净把  经常住', '短评打分': 4}
{'短评内容': '早餐品种少了点 房价还算干净把  经常住', '短评打分': 4}
{'短评内容': '无窗户。进门一股很大的霉味。房间灯很暗。电视就3个台。2个能看。周边酒店很多。这个价格不是很划算。早餐总类也少。', '短评打分': 3}
{'短评内容': '房间太暗 而且房间的WiFi手机连上了根本没法用 网页都打不开 有线宽带卡的要死动不动就掉线 就是老了有个人说网速超快才住的 也不知道那个人是什么心态 周围环境乱糟糟的', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': 'Nice', '短评打分': 5}
{'短评内容': 'Nice', '短评打分': 5}
{'短评内容': '很不错的酒店  环境挺好的  入住2次了，以后入住首选', '短评打分': 5}
{'短评内容': '酒店装修很不错，环境挺好的，以后住宿首选了', '短评打分': 5}
{'短评内容': '酒店很新，但是甲荃味道比较浓。', '短评打分': 3}
{'短评内容': '入住很舒适，干净整洁，去广州去该酒店入住是不错的选择', '短评打分': 5}
{'短评内容': '酒店环境不错，客房很新，对面就是好又多，购物吃饭都很方便', '短评打分': 3}
