{'短评内容': '酒店很差 地毯有霉味 热水也没有 洗澡的地方冲水还有问题 电风吹插头也坏了 床也不太干净 大家看去哪儿的 评分特别低 ', '短评打分': 1}
{'短评内容': '地方很破 洗澡的地方都没热水 我那个房间电风吹还没用 地毯还有点霉味 床也不太干净 ', '短评打分': 1}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '挺不错的 ', '短评打分': 5}
{'短评内容': '地理位置好，环境干净整洁。', '短评打分': 5}
{'短评内容': '凌晨到达的，这个价位有独卫还是keyil', '短评打分': 4}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '挺干净的，服务也挺好', '短评打分': 5}
{'短评内容': 'Wi-Fi根本不好使 地理位置还行 环境一般', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还可以吧，这个价位', '短评打分': 5}
{'短评内容': '房间卫生可以，设施陈旧，地处闹市，价格', '短评打分': 3}
{'短评内容': '环境还可以，处于交通方便了，下次还来', '短评打分': 5}
{'短评内容': '酒店有点旧了，里面的东西整体还行，周边较热闹，离大昭寺和布达拉宫较近。', '短评打分': 3}
{'短评内容': '不错！可以入住的酒店', '短评打分': 3}
{'短评内容': '位置合适，离布达拉宫，大昭寺差不多远。房间还算干净，房间的隔音较差，周边比较安静', '短评打分': 4}
{'短评内容': '挺好  挺合适的出来玩的,性价比挺高，房间也很干净\n', '短评打分': 5}
{'短评内容': '环境很好，安静。周边很方便', '短评打分': 3}
