{'短评内容': '服务设施均好！', '短评打分': 5}
{'短评内容': '离海边很近，出行也很方便，房间，卫生环境都很好，停车不是很方便。去各旅游景点。坐车非常方便。下次还会入住。', '短评打分': 5}
{'短评内容': '晚上外面风景很美，离海边很近，这个是不错的一个，但是酒店设施一般，晚上小心楼下老鼠，还有门口的小车，说拉你吃饭，特别的贵！位置也不是特别好找，很复杂的感觉，路痴，还是注意一下吧~', '短评打分': 4}
{'短评内容': '很不错，干净', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '服务热心，好评', '短评打分': 4}
{'短评内容': '出小区就是椰梦长廊。频繁有直升机飞过。景色很美。就是周围拉客的三轮车和海鲜加工比较破坏氛围。酒店不错，房间很大。有餐桌，冰箱等。加住了一晚。', '短评打分': 5}
{'短评内容': '定的海景情侣房。可以看到一部分海景。房间比较大。前台接待态度很好。房间的设施一般般，浴室柜已经严重变形。', '短评打分': 5}
{'短评内容': '环境还不错，最关键视野很好，阳台还有秋千很暇意……我喜欢！', '短评打分': 5}
{'短评内容': '房间干净整齐 环境舒适。感谢预订部李先生服务周到，前台服务热情，下次还选择椰风恋海酒店！', '短评打分': 5}
{'短评内容': '老牌度假酒店，位置初中心地带却不嘈杂，房间够大，设施齐全实用大方而不奢侈，性价比非常非常好的酒店，全国罕见！值得推荐', '短评打分': 5}
{'短评内容': '当时是看的图片选的房间，房间和图片一样漂亮干净~感谢老板特意给我调换的房间.楼下有公交车站出行特别方便，方便实惠！赞', '短评打分': 5}
