{'短评内容': '卫生间很干净，设施完善', '短评打分': 5}
{'短评内容': '环境不错，服务满意。', '短评打分': 5}
{'短评内容': '酒店位置非常好，离铜锣湾地铁站和时代广场步行五分钟距离。房间大，卫生好，服务更是没得挑，真正的精品酒店。', '短评打分': 5}
{'短评内容': '非常方便的酒店，也很安静，入住体验赞，还配有可以电话和开热点的手机方便携带，周围各种餐厅都有，合适旅行', '短评打分': 5}
{'短评内容': '早餐不行，房间算OK。 地理位置很好。', '短评打分': 4}
{'短评内容': '蛮不错的，主要地理位置赞！没走多远就可以逛街，下次去香港的首选！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '大堂香氛很好闻，来的时候做的机场酒店巴士，直接送到酒店门口，走到地铁大概三五分钟，很方便。周围离铜锣湾的商场都很近，很多吃的逛的，性价比很高的酒店。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '购物很方便', '短评打分': 4}
{'短评内容': '闹市区少有的大房型，非常明亮，出门到地铁站的步行时间不超过五分钟，入住会免费赠送一个小篮子的饮料零食，非常贴心唯一的缺点是卫生间没有化妆灯', '短评打分': 5}
{'短评内容': 'In my view, Lanson Place is an attractive value proposition for the following reasons: - good location - quality hotel with good design and clean room - generally high service level - very good facili', '短评打分': 4}
{'短评内容': '出差首选，定的尊上套房，房间很大也干净，出行也方便，服务也很好，而且价格也不贵，一般来香港都住这家。非常推荐', '短评打分': 5}
{'短评内容': '出差首选，定的尊上套房，房间很大也干净，出行也方便，服务也很好，而且价格也不贵，一般来香港都住这家。非常推荐', '短评打分': 5}
{'短评内容': '出差首选，定的尊上套房，房间很大也干净，出行也方便，服务也很好，而且价格也不贵，一般来香港都住这家。非常推荐', '短评打分': 5}
{'短评内容': '出差首选，定的尊上套房，房间很大也干净，出行也方便，服务也很好，而且价格也不贵，一般来香港都住这家。非常推荐', '短评打分': 5}
{'短评内容': 'have stayed in this hotel for several times and it is always good', '短评打分': 5}
{'短评内容': 'a good hotel with good price', '短评打分': 5}
{'短评内容': '位置非常便利，装修很有特色，非常温馨舒适的酒店，下次还来！', '短评打分': 5}
{'短评内容': '非常好，距崇光五分钟之内的路程，闹中取静，很有私密感，赞。下次还住那里。', '短评打分': 5}
{'短评内容': '非常不错，交通方便，距离时代广场和崇光SOGO都非常近，房间大，布置整洁，酒店服务好。', '短评打分': 5}
{'短评内容': '这个酒店距离铜锣湾地铁站比较近，出行比较方便。', '短评打分': 5}
{'短评内容': '房间很大很舒适，真是太超值了！交通也便利，下次一定会再次选择！', '短评打分': 5}
{'短评内容': '地理位置不错，大厅空调太冷，卫生间蛮大的，风景要看房间', '短评打分': 5}
{'短评内容': '地点不错，位于铜锣湾地铁站步行2分钟以内的范围，离时代广场也很近。在附近的旅馆中应该算便宜的了。服务态度也很好，就是早餐简单了点，美式早餐，种类少，不如出去到附近的茶餐厅去吃的实惠。浴室的门有点漏水，洗完澡洗手间里也是好多水。窗帘必须手动关，有点不方便。', '短评打分': 5}
{'短评内容': '不错的酒店，很新。购物方便，在Lee园附近，离时代广场较近，就是香港酒店的价格近期升的太高。但另外订的一间双床，同事说床太小，不能翻身，哈哈。另亿龙订房网不如以前方便，大床、双床不能明确!', '短评打分': 5}
{'短评内容': '这地方不错,环境好,舒服,值得一去,只是价钱贵啊,哈哈', '短评打分': 5}
{'短评内容': '酒店设施不错，房间也算比较宽敞，以后还会入住', '短评打分': 5}
{'短评内容': '离铜锣湾很近，购物方便、酒店干净。\n\n酒店服务很好。', '短评打分': 5}
{'短评内容': '地点不错，离时代广场等也都比较近，就是由于周围属于单行道，第一次去可能不太好找。房间也都比较舒适，就是窗帘不能自动关闭*可能我没找到，不太方便。基本上还是不错的。\n', '短评打分': 5}
{'短评内容': '还不错 离罗湖很近 房间卫生还可以  很有礼貌 就是位置一般', '短评打分': 5}
