{'短评内容': '早餐很一般，只有两个包子一碗豆浆和一包咸菜，酒店卫生比较差', '短评打分': 3}
{'短评内容': '还行！！！！！！！！', '短评打分': 5}
{'短评内容': '挺好的  给方面都好   服务好  环境好  态度好    到位环境优雅安静      不怕被打扰。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': 'Ok', '短评打分': 5}
{'短评内容': '没想到啊，这里的房间环境差，比较脏，晚上睡觉还做噩梦，第二天就换酒店了。优点是申请返现马上就返现了。', '短评打分': 3}
{'短评内容': '刚好碰热门时段，房间好脏没有空房可换，勉强住了', '短评打分': 2}
{'短评内容': '交通便利 卫生好 房间还可以 环境好 设施给力 离车站近 床舒服 服务满意 位置好', '短评打分': 5}
{'短评内容': '有装修过，跟以前有点不一样，高大上了', '短评打分': 5}
{'短评内容': '前台服务不错，房间干净卫生，酒店位置不错，交通便利，去坐高铁机场很方便', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '一直都是在这里住', '短评打分': 5}
{'短评内容': '一直都住这间', '短评打分': 5}
{'短评内容': '还行，促销价比较便宜，方便，主要是为了近要去办事的地方，四周也方便。大家可以选择，近车站，吃东西方便，但可能会有点小吵', '短评打分': 3}
{'短评内容': '不错，第二次住了，环境好，卫生', '短评打分': 5}
{'短评内容': '呵呵，呵呵，呵呵，原来在汽车站边上，呵呵', '短评打分': 4}
{'短评内容': '没有窗户，没有窗户，没有窗户，没有窗户', '短评打分': 4}
{'短评内容': '有点旧，房间有霉味', '短评打分': 3}
