{'descr': '房间小，但还算干净。这个价格，也算很好了。', 'star': 3}
{'descr': '空调冷气很足，24小时的热水也非常满意，另外位置较好，坐地铁和坐公交都很方便，楼下就有小吃一条街，而且都很便宜。130的价位真是超乎我的预料', 'star': 5}
{'descr': '还可以，性价比很高', 'star': 3}
{'descr': '价钱比较低，其他都一般般了,总的来说这个价位也还算可以', 'star': 5}
{'descr': '还行，朋友过来住过很多次了，早餐太简单了些', 'star': 5}
{'descr': '垃圾酒店，服务极其业余，找她换个房间就不高兴的要命，空调管道在房间里还漏水。', 'star': 1}
{'descr': '还不错，整体挺干净的。唯一的遗憾是房间的烧水壶坏了。', 'star': 5}
{'descr': '价格与设施相当', 'star': 3}
{'descr': '位置还方便，设施还可以，样样齐全，主要离我考试的地方近。', 'star': 5}
{'descr': '酒店一般，住住可以，可免费停车', 'star': 3}
{'descr': '挺干净的。地方也安静，旁边不是很吵闹。不过隔音效果一般，走廊的声音听的很清楚。', 'star': 5}
{'descr': '住了两次了，房间有点旧，家具什么的都有点老了，但是还算舒服。', 'star': 5}
{'descr': '酒店整体来说对得起这个价位，整个房间也比较干净，就是比较靠近高架有点吵。', 'star': 5}
{'descr': '去年考研的时候就是住在这里，感觉性价比还是很高的。离同济大学很近，很方便。今年朋友考研，我帮他订的这家宾馆，设施还是很齐全的。在上海一百块钱住宿费已经算是很低的了。总体感觉很好。赞。', 'star': 5}
{'descr': '住过好几次了，但卫生实在是一般，床单还是有点脏的，130的跟100的感觉没什么大差别，只是图价格便宜吧', 'star': 5}
{'descr': '还算好 稍微简陋点 总体还不错,如果卫生能再好点更好了。', 'star': 5}
{'descr': '很便宜，还算干净宽敞的。交通也算方便。有一点点马路上的噪音。', 'star': 5}
{'descr': '价格便宜，条件一般，位置还不错距离同济步行10分钟以内，不如吉泰等连锁干净，总的来说性价比还可以', 'star': 5}
{'descr': '设施与价格相符,大众消费,。。。。。。。。', 'star': 5}
{'descr': '房间比较简陋，比较小了一些，，，，，，，，', 'star': 5}
{'descr': ' 上次刚来住过,又来住了,感觉不错。', 'star': 3}
{'descr': '环境太差了，虽然住过好几次 ，。。。。。。。。。。。', 'star': 5}
{'descr': '房间稍久,但购物用餐都方便,性价比不错,我已经多次入住这里了.', 'star': 5}
{'descr': '性价比较高的经济型宾馆，离周边大学较近，还有一家非著名眼科医院-上海和平眼科医院，较适合学生家长和眼病患者家属居住。有几间客房设备损坏严重，是差评的主要原因。', 'star': 5}
{'descr': '整体环境很清爽，早餐差点需改进。', 'star': 3}
{'descr': '整体环境很清爽，早餐差点需改进。', 'star': 3}
{'descr': '酒店各方面服务还是一如既往的好，每次来都是住这，唯一的遗憾就是浴巾有些旧了，希望酒店可以及时更换！', 'star': 3}
{'descr': '酒店各方面服务还是一如既往的好，每次来都是住这，唯一的遗憾就是浴巾有些旧了，希望酒店可以及时更换！', 'star': 3}
