{'短评内容': '喜欢这儿的房间布局  床很软   灯光也不错   住在一楼   落地窗很明亮   早餐很丰富   很舒适的住房体验', '短评打分': 5}
{'短评内容': '一切OK了。', '短评打分': 4}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '安静清爽', '短评打分': 4}
{'短评内容': '很好的，非常好，价格便宜，非常舒适，希望下次光临，', '短评打分': 5}
{'短评内容': '空调太差，不打电话都不开。热水还好，停车也还好！', '短评打分': 5}
{'短评内容': '房间设施有点陈旧，不过住的还好，早餐也不错。', '短评打分': 5}
{'短评内容': '还可以，至少性价比不错', '短评打分': 5}
{'短评内容': '非常完美，安静舒适', '短评打分': 5}
{'短评内容': '非常完美', '短评打分': 5}
{'短评内容': '很好，环境非常好，价格特别合适，性价比较高。很好，环境非常好，价格特别合适，性价比较高。很好，环境非常好，价格特别合适，性价比较高。很好，环境非常好，价格特别合适，性价比较高。', '短评打分': 5}
{'短评内容': '挺安静的，但是卫生间味道太难闻，夜里熏的睡不着', '短评打分': 3}
{'短评内容': '很不错，这么便宜还送早点', '短评打分': 5}
{'短评内容': '最令人难接受的是酒店居然分时段供暖～', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '物超所值', '短评打分': 5}
