{'短评内容': '还可以！', '短评打分': 5}
{'短评内容': '到地铁方便', '短评打分': 4}
{'短评内容': '酒店条件还不错。', '短评打分': 5}
{'短评内容': '酒店位置太好了，酒店管理有序是我住过最棒的酒店', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店位置不错，高铁南站北广场出来右转直行到过街天桥左转步行十分钟即到。酒店新装修的设施不错，洗漱用具齐全，前台接待热情，美中不足的是热水不是二十四小时的，早晨没有洗澡热水，像我这样喜欢早晨洗个热水澡的选择该酒店时要考虑好。', '短评打分': 5}
{'短评内容': '特价单人间在四楼，需要坐电梯到三楼后爬个楼梯到达。服务不错，卫生可以，热水充足，有吹风机。这个价位很满意。步行去高铁站大概15-20分钟。推荐。', '短评打分': 5}
{'短评内容': '挺好了，还不错哦，', '短评打分': 5}
{'短评内容': '还不错，离合肥南站比较近，打车不到十分钟。在南站周边这个价位的算很超值的了。早起赶车很方便。。。。。。', '短评打分': 5}
{'短评内容': '环境好，卫生干净，房间大，周边出行比较方便', '短评打分': 5}
{'短评内容': '性价比较高', '短评打分': 3}
{'短评内容': '离高铁站很近，走路15分钟晃晃悠悠就能到', '短评打分': 5}
{'短评内容': '都很不错，就是有人塞卡片', '短评打分': 4}
{'短评内容': '干净卫生，床很舒服', '短评打分': 5}
{'短评内容': '就是周围没什么玩的', '短评打分': 5}
{'短评内容': '近高铁，出行方便，卫生还行，早餐一般，毕竟是经济酒店', '短评打分': 3}
{'短评内容': '很好，隔音不是很好，别先行，还有电脑！', '短评打分': 5}
{'短评内容': '第一天晚上楼下装修没睡好，第二天换房间了结果一大清早边上赶集?', '短评打分': 4}
{'短评内容': '价格便宜的，但周边环境一般！', '短评打分': 3}
{'短评内容': '酒店房间宽敞，离南站很近，酒店服务态度一般，希望可以改进，其他的都可以，价位也不错，性价比还好，比较安静，适合入住。', '短评打分': 5}
{'短评内容': '酒店很一般，位置比较偏，周边找个吃饭的地方都要走很远。', '短评打分': 1}
