{'短评内容': '环境干净，整洁。', '短评打分': 3}
{'短评内容': '酒店地漏不漏水,花撒却漏了一半的水,有窗户却没纱窗,有空调按键却是坏的,总台的电吹风也借不上,服务员态度不好,总之不甚满意的酒店,门前交通太拥挤,没停车位,不推荐。', '短评打分': 3}
{'短评内容': '这家兰州本地连锁性价比还不错！就是没有窗户的140元的标间有点闷', '短评打分': 3}
{'短评内容': '酒店的设施超级烂，服务员也是我见过最牛X的，问十句也不会理我一句，另外，该店正好在医院对面，卫生情况不容乐观啊1', '短评打分': 1}
{'短评内容': '酒店出门很方便，前面就是兰州的西关公交中心，可是就是房间是无窗的，而且进去卫生间的门口都有一股味道。', '短评打分': 5}
{'短评内容': '总体来说酒店还是不错的，离市中心商业街很近，步行5分钟就到，但是不会像商业街上那么吵，就是隔音挺差的，楼道有人说话的话，听的挺清晰的。。', '短评打分': 5}
{'短评内容': '房间太小，有点招待所的感觉，而且没有电梯；', '短评打分': 5}
{'短评内容': '第二次入住。还算可以。隔音不好。性价比还可以。', '短评打分': 3}
{'短评内容': '位于市中心，小酒店，房间干净，附近购物也方便。', '短评打分': 5}
{'短评内容': ' 卫生好不错。到房间是没有窗户的，但在订房的时候并没有告知我。房间墙壁很薄隔音不好。', '短评打分': 3}
{'短评内容': '房间很干净卫生间有点小', '短评打分': 3}
{'短评内容': '  感觉就是走廊里面好吵，而且房间之间隔音不太好呀，不过环境不错，看着挺赶紧卫生的，卫生间热水可以自己调试水温，带窗户的房间我觉得很好呀，太阳照进来暖暖的，挺舒服的。前台的美女服务态度也很不错哦！', '短评打分': 3}
{'短评内容': '很多房间没有对外的窗户，隔音效果也不好，唯一的优点就是在闹市区，交通很方便，入住那会有个房间的卫生间坏了，一整天声音吵死人。', '短评打分': 1}
{'短评内容': '总体不错，地方方便，就是中央空调温度升的好慢和热水忽热忽冷。', '短评打分': 5}
{'短评内容': '商务床的房间太差了，声称有窗户和没窗户没啥区别，窗户在得很高，且打不开的，是封闭式的窗户。', '短评打分': 1}
{'短评内容': '还可以吧，只是空调升温太慢，一夜到亮才提高5摄氏度，早上起来才是20度', '短评打分': 5}
{'短评内容': '交通位置很方便，兰州市中心，很繁华，旁边有公交车站，到哪里的方便。小巧玲珑的酒店，服务也不错。', '短评打分': 5}
{'短评内容': '酒店隔音效果不好！晚上说话声音比较大~！没有电梯~！房间大小还可以', '短评打分': 1}
{'短评内容': '酒店不错，交通方便，要是有电梯就好了', '短评打分': 3}
{'短评内容': '第二次去了，一如既往的好~ 环境很不错，干净，方便。设备齐全，住得很舒服！提点小建议，遥控机可以开关电视。', '短评打分': 5}
{'短评内容': '房间还算舒适~卫生间挺大~整体感觉不错！', '短评打分': 5}
{'短评内容': '你们是不是装修？有点吵，不过住宿环境还可以', '短评打分': 3}
{'短评内容': '还行，但是安全问题   不好说。希望大家注意', '短评打分': 5}
{'短评内容': '价钱合理，地段非常好，也很安静、', '短评打分': 3}
