{'短评内容': '为了去华电考试订的房，停车比较方便，其他还好吧。', '短评打分': 4}
{'短评内容': '早餐不错，停车十分方便，安静舒适，下次还来', '短评打分': 5}
{'短评内容': '地毯太脏', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '离地铁一公里', '短评打分': 5}
{'短评内容': '，，，，，，，，', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '服务态度极差！落在房间的充电器给弄丢了，史上最垃圾的酒店！', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还是以前的风格，没有新的配置，有年代感，只是空间挺大的', '短评打分': 5}
{'短评内容': '酒店情况一般。房间设施一般。', '短评打分': 4}
{'短评内容': '酒店内部不错，是地暖的', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '再次入住，熟悉的感觉如家一般，服务态度??', '短评打分': 5}
{'短评内容': '靠近华北电力大学，周边环境一般，酒店设施较好，服务态度好，性价比较好。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
