{'短评内容': '比较吵', '短评打分': 4}
{'短评内容': '酒店位置很方便，交通便利，附近吃的也蛮多的，挨着武汉天地商圈，去江边也很近，这个季节去二桥看芦苇，完美', '短评打分': 5}
{'短评内容': '经济实惠型', '短评打分': 4}
{'短评内容': '还不错，卫生很干净！', '短评打分': 5}
{'短评内容': '就这样吧，凑合，位置不错', '短评打分': 5}
{'短评内容': '很差，不是一般的差！！！！', '短评打分': 4}
{'短评内容': '位置很好，周围就是商场小吃街。。酒店设施挺好', '短评打分': 5}
{'短评内容': '环境差，房间一股霉味', '短评打分': 1}
{'短评内容': '第一次住七天，服务不错，卫生也很干净，环境很好，交通很便利，设备很齐全！', '短评打分': 5}
{'短评内容': '第一次住七天，服务很好，环境也不错，卫生很干净，交通很便利，设备很齐全！', '短评打分': 5}
{'短评内容': '房间比较脏', '短评打分': 3}
{'短评内容': '真的很一般，床单看着也不舒服，再也不会去了的，', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '下次不会住这', '短评打分': 2}
{'短评内容': '还不错的，挺干净的', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
