{'短评内容': '小套 一 改装的， 就 2个床。。不是 很干净的样子， 楼道很阴森。。', '短评打分': 3}
{'短评内容': '我以入住，还算顺利，位置可以，其他一般。', '短评打分': 3}
{'短评内容': '房间霉味很重，设施很差。电梯每次都等很久。地理位置好。', '短评打分': 3}
{'短评内容': '还可以，到车站挺方便，就是下订单的时候忘了选消费劵，白白多花了一百，很是郁闷', '短评打分': 5}
{'短评内容': '热水太烫！冷水太冷！冲凉时很难调水温，去年回来住是这样，今年回来还是没改进啊！走廊太暗，来往的人有点杂乱，楼层太高等电梯很久！但也有优点：地理位置比较好，逛春熙路和去机场都较方便。', '短评打分': 3}
{'短评内容': '不错，适合一家三口住', '短评打分': 3}
{'短评内容': '酒店不错下次还来', '短评打分': 3}
{'短评内容': '交通方便,房間略舊,不過總体性價比還是可以的。下次出差成都還是會考慮這。', '短评打分': 5}
{'短评内容': '酒店总体环境不错，没有说的那么差，最重要的地理位置好，去春熙路很方便，坐车交通也便利，总体还可以', '短评打分': 3}
{'短评内容': '酒店位置还不错。但是房间很小，卫生条件马马虎虎。很离奇的是下水道声音非常吵，感觉有人顺着墙往床上浇水一样。24小时热水不假，但坑爹的热水器出水不是滚烫就是冰凉，就没法调到一个合适的温度。', '短评打分': 1}
{'短评内容': '卫生条件不好   当天不能上网   郁闷', '短评打分': 1}
{'短评内容': '除了地理位置还可以外，其他都非常差，这是我住的最恶心的一个地方，条件、卫生、环境、服务非常差，还要用信用卡担保，不住都不行啊，简直就是噩梦啊，千万别这这种地方啊。。。', '短评打分': 1}
{'短评内容': '房间还不错。卫生间卫生也好，离市中心也近', '短评打分': 5}
{'短评内容': '就在机场大巴终点站附近，单人间挺大，但卫生不好，有热水可以洗澡。', '短评打分': 3}
{'短评内容': '还是挺不错的，是旅游居住的一个好去处。环境地理位置也好。', '短评打分': 5}
{'短评内容': '有生以来遇到的最差的', '短评打分': 3}
{'短评内容': '感觉还可以！值得推荐！', '短评打分': 3}
{'短评内容': '房间有点小，以至于东西摆不下，我们都摆在了电视机上。住的地方交通方便，去盐市口只要走2、3分钟，适合来旅游的和游玩的人居住。', '短评打分': 5}
{'短评内容': '出了地理位置好点外，该酒店无任何可住之处', '短评打分': 1}
