{'短评内容': '很好，就是前台的网不好，', '短评打分': 5}
{'短评内容': '一般般吧，价格还行，环境就不是特别好了，最关键的是洗澡洗到一半热水停了', '短评打分': 4}
{'短评内容': '浴室沐浴露都没有，浴巾太旧了，建议老板换换，价格还那样吧', '短评打分': 2}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': 'N次入住了。比较好的酒店', '短评打分': 3}
{'短评内容': '呵呵呵呵呵，卫生间地漏全是头发。前台服务态度不好，四个灯为了省电还是什么坏了俩个。不过都说一分钱一分货，我心里价位这宾馆也就值80左右的价位。', '短评打分': 2}
{'短评内容': '前台服务好', '短评打分': 3}
{'短评内容': '环境还行 服务很好   里面也还可以  这个价也合适了', '短评打分': 4}
{'短评内容': '环境很棒服务很好  就是里面比较偏老 可能是时间比较久了  外面有重新装修的样子  总体还不错', '短评打分': 3}
{'短评内容': '订的商务大床房,比我想象中要大点,空间感很好! 期间被子不小心溅了水上去,联系前台,马上就给换了,浴巾什么的,也给了两套,服务真的很好! 下次还订这个酒店!!', '短评打分': 5}
{'短评内容': '价格实在,基本设施都比较齐全,全天热水,宽带是采用WIFI的形式,比较方便,但不太稳定,有时候掉线比较严重.房间空调不太给力,开了几个小时温度还是起不来..', '短评打分': 5}
{'短评内容': '酒店环境安静舒适，价格实惠，还有无线网络可以上网比较方便，推荐入住。', '短评打分': 5}
{'短评内容': '总体还是不错的，蛮优惠的这个价钱。服务态度也不错', '短评打分': 5}
{'短评内容': ' 特价房性价比很高，帮朋友订的，表示满意', '短评打分': 3}
{'短评内容': '优点：离江汉路步行街不远，走过去大约20分钟吧。酒店坐落在居民区，周围环境不吵。房间很大，商务大床房还有个小沙发，热水也好。缺点：说是全楼无线网络覆盖，其实信号差得搜索不到。电视只有2个频道。床很硬，枕头不舒服。空调开到16度都不是很凉快。', '短评打分': 5}
{'短评内容': '很划算，环境也还行。就是网速很慢，', '短评打分': 3}
{'短评内容': '酒店还不错，位置还可以了，服务态度一般！', '短评打分': 3}
{'短评内容': '酒店位置一般。去六渡桥要走十分钟，硬件还是不错的，我住的是电脑房，159的价格算是便宜了，对面有个中百，只是附近都是卖五金的商铺，感觉不好', '短评打分': 5}
{'短评内容': '性价比很高，价格不贵！房间有WIFI，网速很快，很不错，旁边的宵夜也蛮多，去步行街逛街很方便，下次还来入住', '短评打分': 5}
{'短评内容': '周围环境较差，楼底有底商，吵，但价格不贵，有免费WIFI，性价比一般吧', '短评打分': 5}
{'短评内容': '住了好多次了，房间比较大，但是插座是坏的，很郁闷', '短评打分': 3}
{'短评内容': '还可以，非常不错！！干净，好像现在夏天了，差了驱蚊用的东西哦！！', '短评打分': 5}
{'短评内容': '还不错的，就是隔壁还在装修，隔音效果不是很好....前台还不错.但是服务员的态度.....', '短评打分': 5}
{'短评内容': '位置还不错，比较简单的房间，但是不是很干净', '短评打分': 3}
{'短评内容': '还行吧，就是不怎么好找，隔音有点差了，网速还是比较给力的', '短评打分': 5}
{'短评内容': '性价比很高的酒店，房间很时尚温馨干净，服务也很不错，网速很给力，出门逛街去江汉路和武汉广场都很方便！旁边夜市的烧烤超级好吃！哈哈\n', '短评打分': 5}
{'短评内容': '太差了，不值', '短评打分': 3}
