{'短评内容': '朋友过来玩，他说住着还行', '短评打分': 5}
{'短评内容': '酒店离西溪湿地龙舌嘴入口很近，离印象城也不算远吃饭购物方便。但酒店本身由于时间悠久所以设施老旧，卫生也不太干净，房间里地毯很脏还有烟味，早饭品种很少口味也不怎么好。我们一入住连电视都开不了，打了电话服务员倒是很快就来帮助解决问题了。', '短评打分': 3}
{'短评内容': '这个酒店是我这段行程的最差体验了，房间脏的你没得想象，比快捷酒店都不如。房间异味，水异味等就不谈了。实在没办法住，后悔直接付了房间费用。', '短评打分': 1}
{'短评内容': '地址比较好找', '短评打分': 3}
{'短评内容': '酒店时间太久了，还是比较老！服务还不错，早餐品种太少', '短评打分': 4}
{'短评内容': '酒店超级烂，厕所水还是堵住', '短评打分': 2}
{'短评内容': '还不错，房间设施一般，离西溪湿地很近，离西溪印象城也不是很远，安排的无烟房，但是办理入住的时候并没有给我确认此事.', '短评打分': 5}
{'短评内容': '服务热情 有问必答！不厌其烦！', '短评打分': 5}
{'短评内容': '环境很好。交通也很便利。下次来还会选择这家酒店入住！', '短评打分': 5}
{'短评内容': '环境很好。交通也很便利。下次来还会选择这家酒店入住！', '短评打分': 5}
{'短评内容': '设施很老了，是老三星吧', '短评打分': 3}
{'短评内容': '酒点比较老', '短评打分': 3}
{'短评内容': '老酒店 住着很一般 房间不暖和', '短评打分': 3}
{'短评内容': '物美价廉77777777777777777777777777', '短评打分': 5}
{'短评内容': '早餐太差了!前2次要好得多,退步太快了.建议取消早餐,降低房假,让客人去外面吃碗面吧!', '短评打分': 1}
{'短评内容': '性价比高', '短评打分': 3}
{'短评内容': '房间没有网线，不能使用电脑', '短评打分': 3}
{'短评内容': '房间很大，住起来很舒服，周边空气也很新鲜！就是稍微偏僻了一点。', '短评打分': 5}
{'短评内容': '酒店价格适中，较干净。有内部停车场。离西溪湿地近。还提供很多免费电影节目。中央空调冬季力道略显不足。点评人林先生', '短评打分': 3}
{'短评内容': '酒店不错哦，住的很开心，酒店不错哦，住的很开心，', '短评打分': 5}
{'短评内容': '性价比不错哦', '短评打分': 3}
{'短评内容': '感觉很干净~~~~~~~~~~  值得去住住', '短评打分': 5}
{'短评内容': '酒店环境满好的', '短评打分': 3}
{'短评内容': '离学校非常远，但是房间还不错，比较干净，但是没有那些一般酒店有的付费零食放起来，可能是忘记了吧', '短评打分': 5}
{'短评内容': '房间明亮宽敞', '短评打分': 3}
{'短评内容': '房间还整洁，但早餐有些简单了，与房价有些差距，但位置离我商务地点不远，以后还会去的。', '短评打分': 5}
{'短评内容': '位置比较偏，早餐差了点，价格贵了点，国庆实在没房间了才选择的', '短评打分': 1}
{'短评内容': '房间条件尚可，隔音效果欠好一些，卫生尚可，但服务一般，总机电话没人接的现象产生，很不舒服。餐厅服务很不专业，服务生一问三不知，态度生硬。', '短评打分': 1}
{'短评内容': '我们是去野生动物世界的,在地图上看看很近的，实际有点距离.房间还算可以吧,有点油漆味,家具有点旧.没什么好电视可看,没安数字电视.', '短评打分': 5}
{'短评内容': '感觉还好，房间比较大，但是感觉走廊和房间有异味。', '短评打分': 5}
{'短评内容': '靠近西溪湿地三期，游西溪比较方便，性价比还不错。', '短评打分': 5}
{'短评内容': '酒店房间安静，装修也不错，整体非常满意，下次还会入住。', '短评打分': 5}
{'短评内容': '停车方便、早餐挺好，房间也干净。下次还去。', '短评打分': 5}
{'短评内容': '房间比较干净，离西溪湿地比较近，周边的设施也不错', '短评打分': 5}
{'短评内容': '酒店不错，就是有点偏，只能自驾前往。酒店不错，就是有点偏，只能自驾前往。', '短评打分': 5}
{'短评内容': '.位置较偏，服务态度还好，环境不错，就是床小了点', '短评打分': 5}
{'短评内容': '还不错，就是离市区远，打车大概要40以内就可以到西湖景区！早餐吃得还是不错滴，现煎鸡蛋，花样品种很多！', '短评打分': 5}
{'短评内容': '环境很好，设施很新，就是比较偏，早餐也种类比较少，性价比，不错', '短评打分': 5}
{'短评内容': '酒店很简单，大堂特别小很像招待所的样子，房间也很普通卫生打扫也不是很干净，就是位置比较好，服务也一般完全就是没有经过培训的。', '短评打分': 1}
{'短评内容': '房间舒适', '短评打分': 3}
{'短评内容': '个人感觉星级不是很达标，没有太好的感觉.位置还不错，比较容易找.服务一般.', '短评打分': 3}
{'短评内容': '房间还是一般装修有些陈旧了，酒店出行倒是挺方便，服务还是一般，价格也偏高。', '短评打分': 1}
{'短评内容': '位置离西溪湿地是挺近离市区是挺远的，房间不错，性价比还可以，早餐有点差。', '短评打分': 1}
{'短评内容': '到杭州住了很多酒店，这一家是我住的最差的酒店，真是受不了早上6点就被下面的训练声音吵醒，是有什么国泰人寿的培训在哪里。酒店设施也是一般，下回在不会入住这家酒店，感觉太差了。', '短评打分': 1}
{'短评内容': '酒店离西溪湿地倒是真的很近，设施也不错，但宽带不能用，网管说我们的房间离服务器太远了！', '短评打分': 1}
{'短评内容': '很干净，挺舒适的。但房内的其他供应都撤掉了，（好象是为了对付旅游团队的），这使我们作为商务客有点不爽，毕竟我们的价格要远远高于旅行社的。', '短评打分': 5}
{'短评内容': '酒店还可以但是位置太偏了打不到车，卫生设施还行，价格服务都很好。', '短评打分': 5}
{'短评内容': '交通不太方面。从汽车站过来要一个小时，打的需要八十多。如果不是工作需要不建议住这里。', '短评打分': 1}
{'短评内容': '位于美丽的西溪湿地三期边上，酒店新开不久，设施很新，服务也好。 ', '短评打分': 5}
