{'descr': '不错的选择', 'star': 5}
{'descr': '卫生阿姨在能做到位，就完美了', 'star': 5}
{'descr': '#ud83d#ude03#ud83d#ude03#ud83d#ude03#ud83d#ude03#ud83d#ude04#ud83d#ude04#ud83d#ude04', 'star': 5}
{'descr': '环境还不错，，继续加油，，努力', 'star': 5}
{'descr': '很好，继续加油，，一直是我的首都。', 'star': 5}
{'descr': '停车方便，不错的选择', 'star': 5}
{'descr': '早餐不错，吃得很好，这是一个很不错的宾馆。房间宽敞明亮，为顾客提供优质服务，下次去北京，一定还住这个宾馆。', 'star': 5}
{'descr': '住了好多次了，不错，加油', 'star': 5}
{'descr': '很好，，挺不错的环境，，加油', 'star': 5}
{'descr': '价格虚高，旺季直接涨价近150，地理位置、周边环境、酒店房间这些还好，离清华北大、亚运村很近，房间设施算不上很新但是不老。', 'star': 5}
{'descr': '还好吧，', 'star': 5}
{'descr': '卫生间味道大设施旧', 'star': 3}
{'descr': '各个方面都特别好', 'star': 5}
{'descr': '环境有待改善', 'star': 3}
{'descr': '很满意，以后还住，', 'star': 5}
{'descr': '房间老，配色比较压抑。', 'star': 4}
{'descr': '特别差，全国各地住过上百家酒店，这是最差的，居然没一个地方能说出好的，也是很牛逼的', 'star': 1}
{'descr': '差不多差不多差不多差不多差不多差不多', 'star': 5}
{'descr': '酒店风格偏向情趣，适合情侣夫妻之事者使用。', 'star': 3}
{'descr': '房间里面有厕所的味道！不是很满意', 'star': 3}
{'descr': '房间里一进去厕所里面反上来的味道很重！', 'star': 3}
{'descr': '服务差，卫生差，适合情侣钟点房，我是一个人去的，商务房无对外窗户，比较闷', 'star': 3}
{'descr': '＋环境一般', 'star': 3}
{'descr': '没有想象中的好，失望ing', 'star': 3}
{'descr': '离地铁站比较近，交通方便。附件吃饭的地方也较多。总体不错', 'star': 5}
{'descr': '该酒店虽然看上去有些情调，但是环境差，尤其是洗澡的热水少得可怜，一会就没了。', 'star': 1}
{'descr': '床单脏，枕头都黑了，不明白为什么不清洗。卫生间凑合，淋雨的花洒很次，水垢堵的几乎不出水。酒店离几所大学近，这是唯一优点，档次就像汽车旅馆。前台小姑娘很尽责。', 'star': 1}
{'descr': '  不错', 'star': 3}
{'descr': '总体感觉还行！ 客服也很给力！ 床很温馨！', 'star': 5}
{'descr': '就是空调坏了，电视机有雪花，毛巾不干净，态度也不好，你懂得', 'star': 1}
{'descr': '经济实惠，环境也不错，卫生也可以\n\n\n有机会再去', 'star': 5}
{'descr': '这主题不错，就是服务态度不是很好，还是精品主题，设施各种问题，门不能内锁，浴具不能正常用…总之不会再去了！', 'star': 3}
{'descr': '挺好的，各种房间，虽然小了点不过很实惠，很方便也', 'star': 5}
{'descr': '感觉还是不错的，服务态度也很好。比想象中的好。', 'star': 3}
{'descr': '没想象中的那么好  主要卫生不干净     态度也一般', 'star': 1}
{'descr': '实在不咋样，条件太差，卫生也太差。', 'star': 3}
{'descr': '优点：床和浴室设计的很有特色，尤其完全透明的浴室，呵呵。缺点：但是感觉屋内的设施比较简陋，对不起二百多的价格啊，还有，有些房间热水器不好使，忽冷忽热。', 'star': 1}
{'descr': '还可以吧，感觉一般般，不过性价比还是可以的', 'star': 5}
{'descr': '房间挺有趣的 但是服务挺差的 不隔音 早晨基本上就被楼道吵醒的 而且卫生间的洗手池漏水。。', 'star': 1}
{'descr': '服务很热情，环境很好，设施很好，值得推荐，棒！', 'star': 3}
{'descr': '貌似是刚刚易主的酒店..一个酒店各种名字，设施有些陈旧，墙刚粉刷过，柜子也刚换过。不过还好挺有情调的。价格便宜。旁边有超市、饭店也不少。就是挨着燃气站 有点噪音，关上窗户也不是很明显了。', 'star': 5}
{'descr': '1、前台没有服务态度\n2、押金只能用现金支付\n3、卫生间较为整洁\n4、房间多处破损\n5、卫生间镜子破裂\n6、退房时，忘记要押金，前台也没说给\n7、电视不清楚都是雪花\n8、商务大床房没有凳子或者椅子\n9、只有一个三头和两头的插座，电视和电脑用了，手机就没法充电', 'star': 1}
{'descr': '酒店从外观看名称就不全，就是四个大字  主！题！酒！店！，进去之后看着规格还不错，像是正经酒店，但是酒店前台很简陋，看着貌似老板娘的一位女性坐在前台，酒店不能刷卡，押金条，发票都是手工写的。\n酒店唯一一点好是可以到酒店挑选房间，图片都在楼梯口\n房间里面很小，看着不干净，厕所全透明的，而且莲蓬头还流水\n冲着圆床去的，床说是230mm的，但其实就感觉只有直径150mm\n好坏大家自评吧，我还是给推荐了，', 'star': 5}
{'descr': '北京国立主题酒店服务差，环境差。暂住一晚。', 'star': 3}
{'descr': '除了距离科技大学近以外，酒店的设施简陋，卫生一般。价格还偏高了些。', 'star': 3}
{'descr': '\\个性                        很喜欢', 'star': 5}
{'descr': '如果住惯了快捷、7天等连锁酒店，那么这里不太适合你，房间小，无窗（主题房是有的，不过价格超过200）房间比较破旧，卫生也不很好，但是如果预算在150内，又想找一个位置不错，相对干净，设施也齐全的地方的话，还是推荐的。对于我来说，能洗热水澡，有空调，床上用品干净无异味，这些都能达到要求。还不错。只是希望前台姑娘能再提高一些服务意识就更好了。', 'star': 5}
{'descr': '价格优惠，性价比高，交通方便，办事较好，唯一不好的是隔音有点点问题', 'star': 5}
{'descr': '感觉还可以！最主要是离我办事的地方近！', 'star': 3}
{'descr': '没有如家感觉舒服，卫生间是玻璃的，和卧室一起，有时可以闻到有些异味，整体给人感觉不太干净，价格也不算便宜。', 'star': 1}
{'descr': '还可以', 'star': 3}
{'descr': '被子大点就好了', 'star': 3}
{'descr': '很烂，房间极小，非常不舒服，希望多多改建', 'star': 5}
{'descr': '入住的是168的无窗大床房。确实是这个价格的档次。屋子挺小不太干净，据说是有窗的标准间也是冲过道的假窗户，和楼上的无窗的大床是一样的。不知道主题房是什么样子的。卫生间面积算是比较大的了，比屋子感觉要干净些。不隔音。位置倒还算好找，是一个小巷子的最里面。', 'star': 1}
{'descr': '太次了  钱花的真不值得···水不热  又没水  不好不好特别非常不好  酒店还不是很干净···又小又破······················································', 'star': 1}
{'descr': ' 前一阵住过。很好。情侣主题的屋子很温馨。就是插座有点少。高峰时候用水紧张。总体好评。', 'star': 3}
{'descr': '好，环境不错，卫生干净。房间很温馨，价格也很合适，适合年轻一族出差旅行选择。交通很便利，就在北四环边上！不靠近大马路但又很好找', 'star': 5}
{'descr': '我觉得非常不好的酒店，没有叫醒服务，房间马桶是坏的，感觉脏兮兮的，上次客人用过的一次性纸杯还没有打扫，房间感觉不卫生，前台问路啥都不知道，不会再去！位置还不太好找！', 'star': 1}
{'descr': '这个酒店不错，交通便利，也非常好找。周围环境非常安静。室内装修业很前卫！房间卫生不错，价位适合年轻人旅行时做选择！部分房间没有窗户。', 'star': 5}
{'descr': '不错，每间主题都不同，适合带女朋友去。不爽的是现在好像变成私人的酒店，不是很正规,卫生状况没有原来好了，地点比较好，闹中取静的地方，路口的土狼也不错。', 'star': 5}
{'descr': '房间窗帘是坏的，不过修好了，整体还行', 'star': 3}
{'descr': '主题房环境不错，很浪漫！服务态度不是很好。', 'star': 5}
{'descr': '房间实在是太潮了，是潮湿，被子都是潮的。灯的开关设置的太奇怪了，只在门口有，床边却没有，要关了灯，摸黑去找床。房间的插座太少了，仅在电视旁边有一个，而且还被电视霸占了，手机想充电，还要把电视关了，很郁闷啊', 'star': 1}
{'descr': '价格跟如家，汉庭，7天有一拼；但是服务、舒适度和洁净度没法比！！！', 'star': 1}
{'descr': '温馨，干净，价格合理，下次还会选择…………', 'star': 5}
{'descr': '还不错，不过没订到想要的圆床，空调坏了，网也上不去。。。有待维修与加强', 'star': 5}
{'descr': '无语了，房间的灯突然掉下来，吓死人了。竟然任何解释不给。把灯罩拿走就没事了，唉。', 'star': 3}
{'descr': '既然要装修何必还要坚持开张呢？走廊很乱很乱……', 'star': 1}
{'descr': '不错的布置.离房时记得打开换气扇除湿气就更好些了.', 'star': 5}
{'descr': '住的是有树藤的那间，之前在网上看图片，屋里是有秋千的，可是进去才发现已经被搬走了，也懒得换了，床倒是挺舒服的，就是房间挺潮的，墙都起皮了，热水器不好用，水忽冷忽热还时大时小，能放东西的地方有点少，赶上装修了，偶尔会有点声音···虽然问题挺多的，但是这个价位也还过得去，毕竟是主打情侣主题的，去那就是图个新鲜，又有创意环境又好的，那价格可就得300往上了，总体来说还是推荐大家去的，最好网上订，便宜还好', 'star': 5}
{'descr': '隔音效果不好。厕所有味道。但是前台服务态度还是挺好的。房间比较干净。插头太少。', 'star': 1}
{'descr': '环境不错，装修的比较有特色，整个店的主题也比较鲜明。\n我住的商旅房稍小，不过感觉很舒服，值得推荐。\n交通坐地铁目前不太方便，距离亚运村比较近，去鸟巢水立方的可以选择。', 'star': 5}
