{'descr': '有点亏。房间还不隔音。', 'star': 5}
{'descr': '设施非常好，周边环境也优美，服务比较到位，房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的,下次我还会选择这家酒店,很有度假的感觉。', 'star': 5}
{'descr': '周围正在施工，其他的都挺好的，价位也是比较的亲民和实惠的，房间还是比较大的，窗台太小了', 'star': 5}
{'descr': '还可以 一般', 'star': 4}
{'descr': '好，好好', 'star': 5}
{'descr': '环境很一般，有异味，价格倒是很合适。', 'star': 5}
{'descr': '一般一般一般一般，太一般了', 'star': 5}
{'descr': '只想问没有充电插空你想让我怎么充电，马桶卫生有待提高', 'star': 4}
{'descr': '服务很好', 'star': 5}
{'descr': '一般般啦！！', 'star': 5}
{'descr': '很好啊阿！！！！！', 'star': 5}
{'descr': '服务态度很好！价格亲民！环境中等', 'star': 5}
{'descr': '环境挺好，服务还可以', 'star': 5}
{'descr': '115555', 'star': 5}
{'descr': '好好干高', 'star': 5}
{'descr': '上YY婆婆头lz19949', 'star': 5}
{'descr': '不错，挺好的', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '适合一个人出差商务住宿！', 'star': 5}
{'descr': '帮家人订的，很好', 'star': 5}
{'descr': '卫生相当一般，还有头发没收拾，价格不准说反也没人管刘推托给网站，190收了200多，开发票才给开179说就是这个价格，床头连充电的地方也没有！服务员态度退房也不好！不好不好就是不好！价格高，条件差，态度差！网上评分还3点几最多0.5分！第一次发这么多评论就是不好！', 'star': 1}
{'descr': '房间很小，无窗户，空气差，酒店隔音较差，居然半夜被隔壁的呼噜声吵醒，我也是醉了，周边生活方便，对面有个永辉超市，楼下公交车多，交通方便，门口很多小餐馆。', 'star': 3}
{'descr': '还算好啦，就是窗户跟外面的隔音不太好，夜深人静时外面的车声挺明亮，态度也很好', 'star': 3}
{'descr': '环境不错服务周到交通方便设施一般', 'star': 5}
{'descr': '携程定237.00。到店定202.00。马桶堵了。毛巾没有。凭良心说，这个酒店真不行，谁住谁生气。', 'star': 1}
{'descr': '在北京这价位也就这样了，不要苛求', 'star': 4}
{'descr': '周边正在维修所以感觉有些乱，但是店家的服务还是非常棒的，想旅客之所想，很推荐。周边交通也挺不错的。就是早餐一般了些，不过可以接受。房型大，没有怪味道，很满意。', 'star': 5}
{'descr': '还可以，位置还行。主要是距离出差的地方很近。', 'star': 5}
{'descr': '房间有些小，卫生间噪音比较大，附近有永辉超市，购物比较方便，距地铁八宝山站比较近，公交450可到，打车的话在起步价范围内，10元即可。空调太冷了，温控器好象失灵。被子薄了，冷。', 'star': 5}
{'descr': '同事因为出差，帮同事定了这个酒店，位置很好。总体也还算满意，推荐一下。', 'star': 5}
{'descr': '倒是新装的，服务还可以吧，原来定的是199的大床房进去发现没窗户换的299，房间倒是大了点，配置就是太简单了点', 'star': 3}
{'descr': '这家酒店临街把角很好找！楼下能吃的的地方很多！对面还有一家大型超市！服务也不错，酒店设备和家具也都比较新！有需要值得一住！', 'star': 5}
{'descr': '位置还行，早餐不好，空调和热水都不太好。房间很小，进门就是只能上床', 'star': 1}
{'descr': '和想象中的不一样', 'star': 3}
{'descr': '总体来说不错。选这家酒店主要是离北京的家近，妈妈来住的', 'star': 5}
{'descr': '比较干净，服务态度也不错，就是洗澡的时候，卫生间的排水系统不是很好。', 'star': 5}
{'descr': '还行 就是热水器有问题 早餐只到9点 有点不方便', 'star': 5}
{'descr': '优点是服务不错，草餐也还可以。缺点是被罩不干净，换了一个还是。服务员说洗不掉，但是肯定是新换得。酒店这方面要注意。', 'star': 3}
{'descr': '就在小区把角，很容易找，公交车吴庄站。我们定的标准间没有窗子...', 'star': 5}
{'descr': '一般，倒是干净，没窗', 'star': 3}
