{'descr': '还可以吧，出差的话，比较干净、安静。', 'star': 4}
{'descr': '干净，附近就餐方便，有停车场', 'star': 5}
{'descr': '很好很好很好！', 'star': 5}
{'descr': '替同事预定的，出差开会，距离地铁站很近，周边配套设施齐全，饭店超市一应俱全，房间干净整洁，服务员态度也都很好。', 'star': 5}
{'descr': '替同事预定的，出差开会，酒店距离徐家汇很近，距离地铁站也很近，周边配套设施齐全，饭店超市一应俱全，房间干净整洁，服务员态度也都很好。', 'star': 5}
{'descr': '替公司同事预定的，地理位置不错靠近徐家汇商业中心，房间干净整洁，服务员态度也不错，商务出差或者休闲旅游，推荐入住。', 'star': 5}
{'descr': '交通方便，离汾阳路五官科医院很近', 'star': 5}
{'descr': '交通方便，离汾阳路五官科医院很近', 'star': 5}
{'descr': '交通方便，离汾阳路五官科医院很近', 'star': 5}
{'descr': '还不错，交通方便', 'star': 5}
{'descr': '就那样。上海贵', 'star': 3}
{'descr': '帮同事预定的，应该还好', 'star': 5}
{'descr': '帮同事预定的，应该还好', 'star': 5}
{'descr': '很好呀，经济实惠，关键是房间卫生很好，服务员态度亲切。', 'star': 5}
{'descr': '位置好，房间干净，关键是早餐很不错，有四星级的标准', 'star': 4}
{'descr': '酒店地理位置不错，周边交通很方便，周围吃东西的地方也蛮多，设施环境一般。', 'star': 4}
{'descr': '同事出差经常住这个酒店，性价比超高，酒店位置方便', 'star': 5}
{'descr': '位置不错，但安静、房间舒适！', 'star': 4}
{'descr': '朋友住的，非常不错', 'star': 5}
{'descr': '定的特惠大床房，到时没有房间前台只加二十块就给换了商务大床房，房间很大很干净，第二天还给换了新枕头睡的很舒服，服务很满意下次还来。', 'star': 5}
{'descr': '也记不清是第几次入住这家酒店了，但点评是第一次。交通非常便利，步行到徐家汇的汇金百货不到十分钟，客房宽敞干净，服务员对客人非常友好热情。', 'star': 5}
{'descr': '酒店还不错，地段比较方便，价格感觉有点贵了，一般如家都在200左右', 'star': 5}
{'descr': '在闹市里还不错，性价比很高，交通也很方便，', 'star': 5}
{'descr': '价廉物美啊,就在徐家汇,房间不错,下次继续去住,就是特价房比较难抢', 'star': 5}
{'descr': '酒店门脸不大，但卫生干净，服务质量较好， 所以又给儿子定了15天，值得推荐', 'star': 5}
