{'短评内容': '很好 每次都住那边 逛街吃喝玩乐都方便', '短评打分': 5}
{'短评内容': '房子干净，有单独WIFI', '短评打分': 5}
{'短评内容': '还不错 挺好的 很满意', '短评打分': 5}
{'短评内容': '无', '短评打分': 2}
{'短评内容': '没有提供早餐，不能加床，房间位置有点小，酒店位置很好市中心，有停车场', '短评打分': 5}
{'短评内容': '?', '短评打分': 5}
{'短评内容': '顶的这个房间很小，但是离我去的地方特近，离地铁站也很近', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 5}
{'短评内容': '整体环境还可以，就是房间小了一点，但是一般住也是还可以的，周边交通，人流还是蛮多的，也靠近步行街，比较方便', '短评打分': 5}
{'短评内容': '413房间抽风机没运转了，味道蛮重的', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '房间太小，门口又在修地铁，很吵！', '短评打分': 4}
{'短评内容': '房间太小，门口又在修地铁，很吵！', '短评打分': 4}
{'短评内容': '房间太小，门口又在修地铁，很吵！', '短评打分': 4}
