{'短评内容': '订的单人房，除了空间梢小以外，其他都还不错', '短评打分': 3}
{'短评内容': '服务态度不错，房间也挺干净，总体情况可以接受的', '短评打分': 5}
{'短评内容': '还不错,房间确实小，不过该有的都有，有潮味，晚上能听到隔壁打呼噜', '短评打分': 5}
{'短评内容': '干净整洁，厕所设置有些老旧，不过也还好。可以上网', '短评打分': 5}
{'短评内容': '酒店服务很热情，只是我定的单人间床垫好硬。', '短评打分': 5}
{'短评内容': '马桶小,卫生间小,热水太难调了,还好不是冬天,不然肯定感冒', '短评打分': 3}
{'短评内容': '很不错的小酒店，适合学生。价位很合适，不过地方的确是不大，设施还挺齐全的。', '短评打分': 5}
{'短评内容': '交通方便是优点，房间隔音比较差，卫生一般，但服务员太度很好。', '短评打分': 1}
{'短评内容': ' 挺不错的 位置离万达很近 晚上很幽静', '短评打分': 3}
{'短评内容': '环境不错，挺有格调的。下次有需要还会预定的。', '短评打分': 5}
{'短评内容': '墙壁裂了。。床和墙之间缝隙大且里面灰尘不少。不过总体挺舒服的，大家来济南可以考虑这家。', '短评打分': 3}
{'短评内容': '去周边办事，这儿是离得最近的，环境不错，服务态度也挺好，就是房间有点小', '短评打分': 5}
{'短评内容': '大年初十的时候入住的，正好赶上艺考，酒店一度满房\n酒店的位置很好，楼下有个超市，买到了很多需要的东西\n平时很安静，设施也不错，大床房很大，能上网这一点太爽了，\n住的很开心，很有家的感觉，以后有机会还是会住这里的\n虽然面试失败了，但是晶致还是温暖了我，嘿嘿', '短评打分': 5}
{'短评内容': '非常干净…感觉不错…下次还来。去泉城也比较方便…', '短评打分': 5}
{'短评内容': '房间虽小但很温馨,干净,电脑电视一体机非常好。', '短评打分': 3}
{'短评内容': '挺温馨的', '短评打分': 3}
{'短评内容': '“晶致客栈”名副其实确实够精致的~\n但房间隔音效果不太好，朋友说夜里都听到隔壁的鼾声了。\n希望店方改进。', '短评打分': 5}
{'短评内容': '很满意，前台的小姑娘蛮可爱的..就是卫生间确实有点小，床很大，服务很好', '短评打分': 5}
{'短评内容': '挺干净，服务周到，环境不错，只是房间很小，卫生间有点味道，隔音不太好', '短评打分': 3}
{'短评内容': '没暖气，只有空调，反应还特慢，一个小时屋子都没暖过来。设施也不新。', '短评打分': 1}
{'短评内容': '房间不大，但是很温馨，电视电脑一题机不错', '短评打分': 3}
{'短评内容': '位置还蛮好，搭车去泉城广场很方便的，就是岔路街有点不好找。酒店里面条件也不错，性价比很好。', '短评打分': 5}
{'短评内容': '卫生条件很差，洗澡淋浴很小很冷，空调也很不给力，失望。。。', '短评打分': 1}
{'短评内容': '1.环境优雅、服务热情。2.电脑电视一体机非常好！', '短评打分': 5}
{'短评内容': '很精致小巧的酒店，设施齐全，服务优良，很有那种家的温馨感觉。', '短评打分': 5}
{'短评内容': '干净，不错', '短评打分': 3}
{'短评内容': '在同等价格的酒店里因该是不错的选择，但退房时打发票机器坏只提供收据，无语。', '短评打分': 3}
{'短评内容': '位置不在市中心，但离市中心很近，很安静，前台服务也很好', '短评打分': 5}
{'短评内容': '还可以咯，小小的，什么都有……………………支持一下', '短评打分': 5}
{'短评内容': '房间蛮干净的，当天晚上到的时候已经凌晨一点了，服务很好，淋浴条件等都还可以。', '短评打分': 5}
{'短评内容': '还不错，地理位置不错，房间较小，不过设备还算齐全！', '短评打分': 5}
{'短评内容': '楼下服务挺热情的。附近有订票点，这点很方便。', '短评打分': 5}
{'短评内容': '周围环境蛮好的，门口车辆不算很多，不吵闹。卫生间稍微旧了点，地理位置也还行，济南市委对面，周围很多银行，附近还有槐荫广场，衣食住行都方便', '短评打分': 5}
{'短评内容': '很好，美中不足的是隔音差了点', '短评打分': 3}
{'短评内容': '离市区不远，坐车很方便，前台小妹很热情很耐心很礼貌，房间确实很精致~', '短评打分': 5}
{'短评内容': '挺干净的，房间装修不错，离市中心也近，出行很方便。', '短评打分': 5}
{'短评内容': '交通方便，环境安静，舒适干净，电视电脑一体机网速很快。是此行住的最满意的酒店~', '短评打分': 5}
{'短评内容': '酒店好精致，小小的，一个人睡觉完全没问题，电视电脑一体机，住时电视没信号就玩玩电脑，没1个小时电脑也断线了，没法子，只好在自己的移动硬盘里看看电视。墙壁感觉有些脏，还有不少小虫子在爬来爬去，但我都一一的把它们打死了，总体来说，环境优美，离火车站也不远走路就20分钟，值得推荐。', '短评打分': 5}
{'短评内容': '其他都好，就是电视收台太少，想看的几个频道都木有', '短评打分': 5}
{'短评内容': '服务好，就是房间太小了。比较适合背包客。', '短评打分': 3}
{'短评内容': '酒店不错，房间虽小，但是很合理，以后还会在那里住。', '短评打分': 5}
{'短评内容': '房间干净，设施齐全。', '短评打分': 3}
{'短评内容': '感觉还可以吧，离火车站不远，打的8块钱就到了，房间很小，感觉还算干净', '短评打分': 5}
{'短评内容': '服务不错，单人间房间有点小。门前有停车位。', '短评打分': 5}
{'短评内容': '房间装修很精致，就是小了一点，一个人住很合适', '短评打分': 3}
{'短评内容': '挺休闲的一地儿。', '短评打分': 3}
{'短评内容': '地方偏僻，不是网上所说的，房间空调不凉', '短评打分': 3}
{'短评内容': '来济南一般都住在这里，干净卫生，小巧玲珑', '短评打分': 5}
{'短评内容': '房间设施有点老化，马桶不好用，淋浴水较小，水温欠佳，房间比较小，但但电视电脑一体机是个亮点！细节还需要加强！', '短评打分': 5}
{'短评内容': '麻雀虽小，五脏俱全。交通方便，地理位置优越', '短评打分': 5}
{'短评内容': '设施挺全的，环境不错，卫生一般，刚刚开始被子里还有虫子，屋顶有蜘蛛网，这点太差劲了。', '短评打分': 5}
{'短评内容': '还可以，设施环境都不错，总体不错的。。。。。。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '很好的酒店，很温馨很干净，就是挺偏的 ，找了半天', '短评打分': 5}
{'短评内容': '麻雀虽小五脏俱全，挺干净的，周围环境也好，交通还算方便', '短评打分': 5}
{'短评内容': '单人间真的好小好小。。稍微有点吵，不过东西很齐全 房间也很干净，交通很方便，性价比还是很高的', '短评打分': 5}
{'短评内容': '＋小小的房间很适合独自一人居住，房间虽小但设施还挺齐全的，关键是很安静，也很干净。还有电脑，前台接待也很好。', '短评打分': 3}
{'短评内容': '还不错，麻雀虽小，五脏俱全…', '短评打分': 3}
{'短评内容': '挺好，不错，就是房间有点小，其他都挺好的。', '短评打分': 5}
{'短评内容': '第一次入住该酒店，总体感觉不错。位置在八一立交桥下，济南市委对过，真正是闹中取静，而且我估计也没人敢在市委对过闹事吧，呵呵。房间嘛，设施还比较新，一张床，一张桌，一把椅，一个小卫生间，够用，也没什么多余的东西，呵呵。而且以房间的面积也只能放这些东西了吧，房间真是够迷你的。主要特点是有电脑，对不愿带笔记本出门的人是比较方便了。热水温度不算高，刚好够用吧，卫生间宽1米多一点，窄了点，呵呵。总体来说，还', '短评打分': 5}
{'短评内容': '很满意，房间虽小，但是用品很齐全，服务也不错', '短评打分': 5}
{'短评内容': '＋酒店的单人间还真是很小，不过很精致，还是挺好的。', '短评打分': 3}
{'短评内容': '性价比挺高的，只是太迷你了', '短评打分': 3}
{'短评内容': '整体感觉不错，就是有的房间的淋浴卡座坏了，不知道是怎么回事，希望能够修好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错的酒店，安静，设施舒适，服务员态度好。就是房间有点小，下次到济南还会入住', '短评打分': 5}
{'短评内容': '方便快捷，确实很精致，地段也不错，就在八一立交桥，离银座火车站之类的都很近，比较推荐', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店的位置还算可以，交通出行还算方便，房间干净整洁，服务很好，住宿环境也不错', '短评打分': 5}
{'短评内容': '性价比高，住宿环境不错，服务员态度很好，热情周到，房间舒适度还行', '短评打分': 5}
{'短评内容': '干净 整洁，就是有点迷你单人间\n干净 整洁，就是有点迷你单人间\n', '短评打分': 5}
{'短评内容': '性价比高  环境清幽 比较适合出差旅游的人士选择', '短评打分': 5}
{'短评内容': '不错，窗户在严点再有浴霸就好了', '短评打分': 3}
{'短评内容': '服务员服务意识较差，房间隔音特别差，因为房间中间只是一层薄薄的隔板。旁边房间里说话的声音听的特别清楚，严重影响睡眠质量。不推荐。', '短评打分': 1}
{'短评内容': '酒店在大观园商务圈附近，周边交通很便利，环境很安静，休息的很好，房间装修的简约古朴，前台服务员热情周到，住宿条件很不错', '短评打分': 5}
{'短评内容': '酒店地处市中心，周边绿化做的很好，环境清幽，房间不是很大，但硬件设施很齐全，也可以上网，舒适度很不错', '短评打分': 5}
