{'短评内容': '7天酒店的传统模式我一直比较满意，经济实惠，安全便捷是经济型酒店的特色。交通比较方便，到各个方向和火车站都有公交。', '短评打分': 4}
{'短评内容': '帮别人订的，说是从来没住过这么差的7天，卫生情况差，无电视，无网络', '短评打分': 3}
{'短评内容': '一进门看到的就是脏乱差，墙面上到处都是霉斑，散发着浓浓的霉味，这还是7天的连锁酒店吗？真打脸！还不如乡下农舍！更好笑的还是一开门还有色情卡片。', '短评打分': 1}
{'短评内容': '离湘雅附二医院近，就医方便', '短评打分': 5}
{'短评内容': '太差了。服务也很差。走廊都漏水，又没无线。', '短评打分': 1}
{'短评内容': '酒店环境较安静，卫生间建议排风系统加强管理。', '短评打分': 5}
{'短评内容': '酒店环境较好。', '短评打分': 5}
{'短评内容': '还方便，干净', '短评打分': 5}
{'短评内容': '环境太差，地板破烂！', '短评打分': 3}
{'短评内容': '卫生较差，环境设施陈旧！', '短评打分': 2}
{'短评内容': '一般般！！！', '短评打分': 3}
{'短评内容': '位置不错，环境好，卫生好', '短评打分': 3}
