{'短评内容': '这家酒店还是不错的', '短评打分': 5}
{'短评内容': '这家酒店的环境还是不错的', '短评打分': 5}
{'短评内容': '早餐品种丰富多样，停车场很大', '短评打分': 4}
{'短评内容': '门都开不了，给1分都多了。', '短评打分': 1}
{'短评内容': '早餐丰盛，位置佳，有大停车场', '短评打分': 5}
{'短评内容': '非常棒的早餐', '短评打分': 5}
{'短评内容': '早餐非常好，有很大的停车场', '短评打分': 5}
{'短评内容': '酒店很舒适！！！性价比比较高！京东预定价钱也比门市便宜很多！！赞', '短评打分': 5}
{'短评内容': '酒店很舒适！！！性价比比较高！京东预定价钱也比门市便宜很多！！赞', '短评打分': 5}
{'短评内容': '房间很舒适价格也适中，很满意', '短评打分': 5}
{'短评内容': '房间很大，设施很好', '短评打分': 5}
{'短评内容': '这个价格还可以', '短评打分': 5}
{'短评内容': '为了出差去的，其他硬件软件都没想法，就一句忠告：单身女性就别去住了！因为酒店内2-5楼是KTV，还有很多“公主”，你们懂的。KTV和客房用的同一部电梯，以下是我的遭遇：1. 进入电梯被二手烟呛死，一地的烟头；2. 和十几个“公主”同挤一部电梯（没歧视的意思）；3. 被去KTV的中年醉酒色鬼“eye rape”。作为单身女性晚上一个人乘电梯感受到了浓浓的不安全感。白天挺正常的酒店晚上格调全无。以上。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '单人床挺大，房间也大，朋友们都觉得满意。', '短评打分': 5}
{'短评内容': '房间干净', '短评打分': 5}
{'短评内容': '房间干净', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '在临平住的酒店中最喜欢的还是远东，以后也会继续入住的。', '短评打分': 4}
{'短评内容': '很不错的一家酒店，下次还会入住。', '短评打分': 5}
