{'短评内容': '。。。。', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '挺好的 不错的', '短评打分': 5}
{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间非常整洁,价格很实惠。服务挺好,帮忙把行李送到房间，一路还有简单介绍，常来的，每次都是住在这里，晚上很安静，有度假的感觉。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': 'bbbbnmmllljgfdxxssss', '短评打分': 5}
{'短评内容': 'bbbbcxdddddddddddd', '短评打分': 5}
{'短评内容': 'hbhhbbbbbbbbhhhbbbbbbbbbbbbbb', '短评打分': 5}
{'短评内容': '不换床品，前台态度不好。', '短评打分': 2}
{'短评内容': '房间大服务好', '短评打分': 5}
{'短评内容': '设施非常好，周边环境也优美，服务比较到位，房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的,下次我还会选择这家酒店,很有度假的感觉。 ', '短评打分': 5}
{'短评内容': '干净 方便 易找 而且很舒适', '短评打分': 5}
{'短评内容': '还可以，便宜实惠', '短评打分': 5}
{'短评内容': '很干净经济实惠！', '短评打分': 5}
{'短评内容': '价格合适房子干净！', '短评打分': 5}
{'短评内容': '不错！！！！！！！！', '短评打分': 5}
{'短评内容': '地方好找，房间还行！', '短评打分': 5}
{'短评内容': '不错！！！！！！', '短评打分': 5}
{'短评内容': '来了提莫我现在', '短评打分': 5}
{'短评内容': '不错，地方交通好，干净卫生', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境不错，价格公道合理', '短评打分': 5}
{'短评内容': '环境不错，价格公道合理', '短评打分': 5}
{'短评内容': '房间不错，价格公道合理', '短评打分': 5}
{'短评内容': '服务好，环境也不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好，值得选择', '短评打分': 5}
