{'短评内容': 'very good。。。。。。', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '环境好，干净，服务也好，晚上安静！', '短评打分': 5}
{'短评内容': '各方面都不错 ', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '这个价格确实不错的', '短评打分': 4}
{'短评内容': '不错，房间没有别人说的那么小，卫生也不错', '短评打分': 5}
{'短评内容': '真的很好，很开心，睡得很安稳', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '去长隆玩，这个算性价比非常不错的', '短评打分': 4}
{'短评内容': '去长隆玩，这个算性价比非常不错的', '短评打分': 4}
{'短评内容': '去长隆玩，这个算性价比非常不错的', '短评打分': 4}
{'短评内容': '竟然没有预定信息！！！真是无语！！！说酒店的电话号码早换了 晕死', '短评打分': 1}
{'短评内容': '满意吧，下次还来', '短评打分': 5}
{'短评内容': '满意，不是很贵，可以接受吧', '短评打分': 5}
{'短评内容': '酒店的被罩色彩很喜欢。房间面积稍小了一点。', '短评打分': 5}
{'短评内容': '环境不错   被子是带点碎花的  不错  隔音不错  不会吵  离步行街较近  坐车也方便  打车去地铁站12块就行了', '短评打分': 5}
{'短评内容': '非常干净。', '短评打分': 3}
{'短评内容': '酒店地段还不错，价格也可以，房间稍微小了点，有机会下次还会住', '短评打分': 5}
{'短评内容': '位置不错，房间比较干净，设施齐全，不过噪音偏大', '短评打分': 5}
{'短评内容': '还不错，就是空间有些略小~~~对面就是CPA确认的地方~', '短评打分': 5}
{'短评内容': '不错，服务很好，就是离地铁站有点远，上网没椅子，很不昂便，希望配置', '短评打分': 5}
{'短评内容': '酒店服务还可以。至于位置就要因人而异了，如果是在番禺出差，住这里还可以；如果是为了玩长隆，住这里反而没有广州方便，只要选择一间离地铁站近的酒店，会更加方便。', '短评打分': 5}
{'短评内容': '环境五错~ 几干净~  门口就系公车站出行方便~ 斜对面就有家渔来渔旺茶楼~ 去饮茶都好近~ ', '短评打分': 5}
{'短评内容': '131元的大床房建议不要住，房间小而旧；毛巾、浴巾不是很干净。酒店外表很气派，实际没有如家温馨。', '短评打分': 1}
{'短评内容': '酒店还不错，周围环境不是很吵，重要的是交通方便，出去就有很多公交车，很快就能到市桥或者番禺广场地铁站，房间的卫生很好，网速嘛，很给力哈，服务好，会在这里住好久的。', '短评打分': 5}
{'短评内容': '还不错，很舒服，环境服务都不错。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店价格便宜，离长隆近。非常适合在长隆玩入住', '短评打分': 3}
{'短评内容': '這酒店的隔音真的不是一般的差,是非常差!我兩晚都睡得不好!就是因為鄰居的小小聲音都聽得到!清潔的工作人員推車,開鄰房的門都聽得到!可想而知,有多差!還有就是設備比較舊!跟之前的網友說一樣,如果以$131住這樣的酒店,是物非所值!在番禺的選擇有很多!', '短评打分': 1}
{'短评内容': '房间比较新、干净，房间也有窗户，不会吵，很安静，非常不错。', '短评打分': 5}
{'短评内容': '浴室的水温不够热！！！', '短评打分': 3}
{'短评内容': '酒店已经比较旧，但是优势是交通方便，地理位置好，服务很人性化\n总体是中上', '短评打分': 5}
{'短评内容': '方便，喜欢周边的环境，不过客房的条件确实一般~', '短评打分': 5}
{'短评内容': '被子毛巾不太干净，', '短评打分': 3}
{'短评内容': '第一次住，感觉一般，服务还可以，早餐不错，不过不如如家感觉舒服，床与房间都太小', '短评打分': 1}
{'短评内容': ' 这个价格各方面都还可以。房间空间小了点', '短评打分': 3}
{'短评内容': '房间太小了，这个价格在番禺随便都可以住上，而且我迟了2个小时退房，收多了我半天的租金，其实我入住还不到24小时', '短评打分': 1}
{'短评内容': '不错不错的。。。。不错不错的。。。。不错不错的。。。。不错不错的。。。。不错不错的。。。。不错不错的。。。。', '短评打分': 5}
{'短评内容': '被单不是雪白，蛮温馨的！就是房间太小了，就是水不是很热，其它都还OK了', '短评打分': 5}
{'短评内容': '房间不错，下次有机会还去', '短评打分': 3}
{'短评内容': '我订的是特价房,感觉还可以,就是路边有点吵!', '短评打分': 5}
{'短评内容': '环境还可以，出行方便，卫生还不错，下次还会来的。', '短评打分': 5}
{'短评内容': '交通方便,服务也不错,卫生条件也挺好,价格不贵,番100公交可直接到广州南站', '短评打分': 3}
{'短评内容': '卫生环境方面都不错```交通方便一下公车走10米就到了``出行很是方便，这个最赞了', '短评打分': 5}
{'短评内容': '总体还是不错的呢。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '已经是第二次入住了，总体感觉还是不错的！\n1。前台会很明确的告诉是什么样的房间，让客人自己做出判断，比如这几天广州潮湿，各别房间会有发潮的迹象；有的房子靠近马路会比较吵。\n2。因为房间布局的不同，有的大床房因为厕所占了很大面积，所以显得小了！\n3。个人感觉这个酒店挺多人来的，也可能我太片面了！反正这两次过来都赶上很多人办理入住手续，而且剩的房间不多！', '短评打分': 5}
{'短评内容': '价格比较合理，环境也挺不错的，服务员的态度很好，总的来说很满意！', '短评打分': 5}
{'短评内容': '价格实惠，交通方便，门前有番禺公交。我订的是特价房', '短评打分': 5}
{'短评内容': '都是那句，不错吧.。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店的窗户隔音太差了，一直能听见路上车辆的声音，还有空调主机运行的声音', '短评打分': 1}
{'短评内容': '酒店的床单没有换新的，在我入住的时候，希望能改进', '短评打分': 1}
{'短评内容': '莫泰168（广州番禺市桥平康路店）空调制暖不行，隔音不好。。。。。。', '短评打分': 1}
{'短评内容': '交通比较方便，门口就是公交站。房间环境还可以，就是床有D硬', '短评打分': 5}
{'短评内容': '房间很小…浴室很赞', '短评打分': 3}
{'短评内容': '来过很多次了，都不错哦。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间太窄 房间太窄 房间太窄 房间太窄 房间太窄', '短评打分': 1}
{'短评内容': '真不咋地~~房间较小，早餐厅死角需要打扫了~~', '短评打分': 1}
{'短评内容': '不错而且环境挺好，就是空间有点窄,以后有机会一定会再住', '短评打分': 5}
{'短评内容': '酒店布局挺好的，不过店面服务员不太热情，问几句才答我一句', '短评打分': 5}
{'短评内容': '那床硬了些  被子在冬天可能就不太够盖了！  ', '短评打分': 5}
{'短评内容': '价格还可以，床上的席梦思太差，睡在床上能感觉到弹簧。', '短评打分': 5}
{'短评内容': '性价比不高，酒店设施陈旧，没有之前住过的168环境好，特别提醒，千万别住这家酒店的02号房，那间房的环境就想一旅馆。', '短评打分': 1}
{'短评内容': '非常好！！！！（（！（（！！！！（（（（（', '短评打分': 5}
{'短评内容': '就是热水水压不够。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '总体比较差，这个位置比较远，房间也不是很好，有损168声誉', '短评打分': 1}
{'短评内容': '房间比较干净，出差是比较适合。。。。。。。。', '短评打分': 5}
{'短评内容': '地理位置不错，性价比比较高。。。。。。。。', '短评打分': 5}
{'短评内容': '老婆和儿子去旅游我给定的,他们回来说不错,就是现在评论罗嗦,必须字数到20.', '短评打分': 5}
{'短评内容': '1、硬件不错，比较正规，舒适安全。\n2、地点也不错，在市中心旁边，不会太吵，也不会太偏僻。\n3、唯一不好的就是前台办理入住的效率比较低，要很久。\n4、我预订的139元的特价大床房，前台居然默认给我169的大床房，很少郁闷。还一直跟我推荐169的大床房，这个是我最反感的。   ', '短评打分': 5}
{'短评内容': '特价大床房...床垫真的不敢恭维。晚上被迷迷糊糊地还会感觉到那个弹簧真的很磕人。', '短评打分': 1}
