{'短评内容': '酒店还是不错的，下次继续入住。', '短评打分': 5}
{'短评内容': '交通方便、环境优美、周边购物方便！是值得推荐的一家好店！', '短评打分': 5}
{'短评内容': '酒店周边很繁华，酒店房间很大，很舒适，前台小妹热情周到，特别值得称赞的是楼下的拉面馆，味道超级棒，很好的酒店，很美的新疆', '短评打分': 5}
{'短评内容': '挺好的  早餐很丰盛', '短评打分': 5}
{'短评内容': '不错，周边娱乐设施比较多，吃饭也很方便，购物也很近', '短评打分': 5}
{'短评内容': '服务超好   环境也很好', '短评打分': 5}
{'短评内容': '服务人员很好，非常好', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '很好住的酒店', '短评打分': 4}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '非常不错的酒店，客房非常大，采光也很好，主要是客房服务不错很干净，让人看了很舒服。前台服务员的态度也很好', '短评打分': 3}
{'短评内容': '房间服务好，态度好，热情！', '短评打分': 3}
{'短评内容': '房间超级大，也很干净，非常不错。', '短评打分': 3}
