{'短评内容': '正在施工呢', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺好的，因为房间不合适，还换了两次，服务的那个工作人员很耐心', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '感觉房间设施严重老化，90年代的风格。价格又死贵。性价比极低。不建议其他的人入住。关键问题是设施严重老化。', '短评打分': 1}
{'短评内容': '一分钱一分价。不如入住快捷酒店。连个牙刷都没有，更别说喝的水啥的。都11月份了还有蚊子。。。设施确实陈旧。只能说一分钱一个价。', '短评打分': 2}
{'短评内容': '基本还算不错', '短评打分': 3}
{'短评内容': '06年住的时候感觉非常好，可能因为是新建的原因吧，现在酒店有些旧', '短评打分': 5}
{'短评内容': '还行，喝多了，没回家，就在那里住吧，离着近', '短评打分': 4}
{'短评内容': '价位很合理，只是没有洗刷用品需要自己买。', '短评打分': 5}
{'短评内容': '卫生间有吹风机 梳子啥的就好了', '短评打分': 5}
{'短评内容': '一般吧，出差还是可以的～旅行不建议', '短评打分': 4}
{'短评内容': '周边交通方便，停车场宽广，室内温度舒适。', '短评打分': 4}
{'短评内容': '还好，喝多了，没回家，两个男人开了一个房间，哈哈哈', '短评打分': 5}
{'短评内容': '住的还好', '短评打分': 3}
