{'短评内容': '可以，环境适静，唯一是，说明有停车场的，但又没有停车场。', '短评打分': 5}
{'短评内容': '位置在市中心', '短评打分': 5}
{'短评内容': '位置在市中心', '短评打分': 5}
{'短评内容': '位置在市中心!', '短评打分': 5}
{'短评内容': '位置优越……', '短评打分': 4}
{'短评内容': '。。。', '短评打分': 5}
{'短评内容': '干净，整洁，比较满意，', '短评打分': 5}
{'短评内容': '七天也算是出行的考虑之一，性价比不错', '短评打分': 5}
{'短评内容': '还行  经济实惠', '短评打分': 5}
{'短评内容': '哪天行通济，明明就在隔壁，最后兜了个大圈，大床房，很好，洗刷用品都有啊', '短评打分': 5}
{'短评内容': '京东真是方便，再也不用担心没地方住了', '短评打分': 5}
{'短评内容': '环境挺好的，很安静', '短评打分': 5}
{'短评内容': '地理位置很好，前台专业，办理入住很快，上楼梯要插卡，外人进不来，很放心。睡床舒适，卫生也打扫的很到位！总之很满意', '短评打分': 5}
{'短评内容': '设施相对陈旧', '短评打分': 4}
{'短评内容': '来好多次了', '短评打分': 5}
{'短评内容': '很棒啊', '短评打分': 5}
{'短评内容': '经常住，划算，干净，出行方便', '短评打分': 5}
{'短评内容': '感觉都还不错吧,前台一般,附近有公交站,交通算方便,在附近找地方吃饭花了点时间。总体感觉还不错，还好值得推荐。', '短评打分': 3}
{'短评内容': '凑合', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '就那么回事', '短评打分': 3}
