{'短评内容': '关注送了口罩，很好', '短评打分': 5}
{'短评内容': '服务员态度不错', '短评打分': 4}
{'短评内容': '地铁口，交通便利', '短评打分': 4}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '出差方便，交通比较便利，卫生条件还可以。', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 4}
{'短评内容': '和其他的快捷酒店没什么区别，给老人取药住这里为了方便', '短评打分': 5}
{'短评内容': '服务挺好的，听说要装修了。', '短评打分': 5}
{'短评内容': '地铁口50米，方便', '短评打分': 2}
{'短评内容': '位置不错，卫生也挺好，服务人员也很和气，感觉如家一直挺适合外出居住', '短评打分': 5}
{'短评内容': '交通便利，干净整结，有早餐。服务较好。', '短评打分': 3}
{'短评内容': '交通便利，离美食街几步之遥，卫生较好。', '短评打分': 4}
{'短评内容': '不好，没有暖气，前台说让开中央空调，打开后一直吹冷风，找人来修，说过一阵就热了，结果过了两个小时都是凉风，后来又打开屋里的小空调，就像老鼠叫一样，响个不停，真是受折磨的一晚！', '短评打分': 3}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '早餐不好，建议多丰富下早餐', '短评打分': 5}
{'短评内容': '卫生还可以，停车不好停，服务员服务态度一般。', '短评打分': 3}
{'短评内容': '这个位置很方便，酒店卫生、环境都很好，满意！', '短评打分': 5}
{'短评内容': '位置好，但停车是个问题，环境尚可，仍有待提高', '短评打分': 5}
{'短评内容': '交通方便，客房干净，接待周到，附近餐饮较多，很不错！', '短评打分': 5}
{'短评内容': '交通方便，离北京站很近，约7公里。附近环境也好，吃饭方便。', '短评打分': 1}
{'短评内容': '地理位置好，房间干净，就是没有电梯需要运动上楼，总体不错', '短评打分': 5}
{'短评内容': '位于二环边上，交通方便，离火车站也很近，附近餐饮也很方便，下次还住这里。', '短评打分': 5}
{'短评内容': '本次入住，还算比较好，优点：1、数码房间有电脑方便多了。2、交通方便，外出吃饭方便。3、房间卫生等比较不错。缺点：1、房间塞小广告的一如既往的多。2、早餐种类感觉有些单调了。', '短评打分': 5}
{'短评内容': '这是给爸爸妈妈们定的房间，他们说还不错哦！', '短评打分': 5}
{'短评内容': '交通方便，设施及卫生条件一般，就是晚上楼道内噪音太大！', '短评打分': 5}
{'短评内容': '总体来说，物有所值。餐饮街在附近，吃饭方便；去北京火车站坐122，没几站地就到了，交通比较方便。提几点建议吧：这次住的十年特惠房间，窗户外面的空调外机太响了，跟拖拉机一样，另外，门外塞小广告的太多了。', '短评打分': 5}
{'短评内容': '一般，临街的房间比较吵，另外，没有电梯也不方便，乱发广告的太多', '短评打分': 5}
{'短评内容': '交通方便 离南站不远 同时周边餐饮一条街吃东西也很方便', '短评打分': 3}
{'短评内容': '位置不错，公共交通也还算方便，临街的房间比较吵。', '短评打分': 5}
{'短评内容': '没有电梯，带大箱入住不方便 。不过离方庄餐饮一条街很近。还有就是早晚都非常难打到车。可以步行十五分钟到五号线蒲黄榆地铁站', '短评打分': 5}
{'短评内容': '房间洁净、温馨，服务体贴周到，在同类酒店中为我所推宠的!', '短评打分': 5}
