{'短评内容': '隔音不好', '短评打分': 3}
{'短评内容': '也就那样吧', '短评打分': 4}
{'短评内容': '房间的电脑还是坏的，', '短评打分': 3}
{'短评内容': '酒店的设施太老', '短评打分': 4}
{'短评内容': '酒店不错，就是老了点', '短评打分': 5}
{'短评内容': '老式招待所的感觉 确实望江 接待外宾可是不论前台或是餐厅服务员都没有一个人会英语 服了', '短评打分': 5}
{'短评内容': '老酒店，设施陈旧，地理位置不错，早餐尽量早去晚了少的可怜', '短评打分': 5}
{'短评内容': '  总体还不错 ', '短评打分': 5}
{'短评内容': '金华的老酒店，位置就在人民广场商业中心附近，离婺州公园也很近，位置是很好的。但是设施啊，真的是很有年代感啊，八十年代FEEL啊，忽略设施的话，还是可以的。', '短评打分': 5}
{'短评内容': '酒店比较老了，环境还算安静', '短评打分': 4}
{'短评内容': '不错，服务很好！', '短评打分': 5}
{'短评内容': '不错的，很好！', '短评打分': 5}
{'短评内容': '还可以，推荐', '短评打分': 5}
{'短评内容': '酒店位置非常不错，离商业区很近，吃饭逛街都很方便。但是确实可能年份比较老了，装修跟90年代的招待所一样，被子床单居然是花的。卫生和服务都还不错，但是江景房已经看不到江景了，被一排小区房子挡住了，勉强侧面能看到彩虹桥，晚上还是很漂亮。早餐一般，有电脑，配置勉强，商务出差还是够用。房价价格偏高了。', '短评打分': 5}
{'短评内容': '交通便捷，服务到位，就是双人房的配套都只有单个，不是很方便', '短评打分': 4}
{'短评内容': '房间空间很好，卫生也挺干净，服务好，就是时间长了，里面设施有点老，其他都挺好的', '短评打分': 4}
{'短评内容': '应该算是很久的酒店了吧 设施就一般了 每次去房间丢只有一套用品 得叫前台送 不过送的倒是还满及时的 周边很繁华 恒大 一百 银泰 永盛都在一起 算是地理位置优越吧', '短评打分': 4}
{'短评内容': '酒店位置好，购物上街方便，卫生也很好，服务及管理都不错。', '短评打分': 5}
{'短评内容': '就是房间稍小点，干净，整洁，还是挺好的。', '短评打分': 5}
{'短评内容': '望江位置还可以，傍晚可以闲逛，但内部装修显得一般', '短评打分': 3}
{'短评内容': '酒店住的很舒服，早餐很不错，就是酒店位置不好打车，整体还不错了。', '短评打分': 5}
{'短评内容': '房型老，大床房只有一套洗漱用品，希望改进。', '短评打分': 3}
{'短评内容': '不错。就是现在没有会议，住宿客流少，早餐品种只有正常时的三分之一。但服务很好，外出断电期间服务员会打开空调，大热天一回到客房就是凉爽的。', '短评打分': 5}
{'短评内容': '酒店年份算比较老了，蛮干净，离市中心逛街就几步路。蛮好，价格合适！', '短评打分': 3}
{'短评内容': '干净舒适，服务热情，还不错', '短评打分': 3}
{'短评内容': '总体一般，房间装修陈旧，前台服务员态度很差，房间服务员好几次突然会自己开门进来，虽说是3星级酒店，根本达不到那标准，还是泰元商务酒店好', '短评打分': 1}
{'短评内容': '现在每次来金华基本住这。卫生干净，价钱也便宜。', '短评打分': 3}
{'短评内容': '酒店很不错 很干净 早餐很好，以后还是会入住这个酒店', '短评打分': 5}
{'短评内容': '现在来金华基本都住望江，性价比高，卫生干净。地段也挺好。 ', '短评打分': 3}
{'短评内容': '酒店位置不错，老的三星级酒店，服务不错，但是内部设施有点陈旧', '短评打分': 5}
{'短评内容': '价格实惠，地理位挺好，感觉干净，就是卫生间有点老了点。', '短评打分': 5}
{'短评内容': '价钱实惠，闹中取静，现在每次来都住这里。 ', '短评打分': 3}
{'短评内容': '每次金华之行都回去住望江。在老三星酒店里，望江还是不错的选择，只是现在出门打车不太方便。其他还好。', '短评打分': 5}
{'短评内容': '地理位置还不错 停车位挺多 酒店装修比较早 墙纸很多都破了 网速还不错 一般般吧 不好也不坏 ', '短评打分': 1}
{'短评内容': '酒店还可以，就是隔音效果不好\n另外朝南的房间比朝北的房间视野及噪音更好', '短评打分': 5}
{'短评内容': '早餐很丰富，味道也不错，房间干净整洁', '短评打分': 3}
{'短评内容': '酒店建成年份较长，格局装饰相对不那么时尚，但室内干净整洁，设施完备，适合租住。', '短评打分': 5}
{'短评内容': '酒店太老了,老板一点舍不得花钱装修.洗手间地板砖是晃动的,花洒的头都没了,水是直冲下来,早餐也不好.', '短评打分': 1}
{'短评内容': '服务很好。地理位置也很好，交通很方便，购物也很方便。总体很满意。', '短评打分': 5}
{'短评内容': '酒店总体不错，不足三点，一是入住后没给换大床房，二是第二天要求延续点时间没有实现，三是设施相对陈旧。', '短评打分': 3}
{'短评内容': '不错，房间还比较干净，早餐很丰富，200块值得。。', '短评打分': 5}
{'短评内容': '停车很方便，老牌酒店了，服务还是不错的，早餐也很丰富，对得起200左右的价格。', '短评打分': 5}
{'短评内容': '这个酒店比较老，但设施还可以，尤其是网速快，下载可以达到2M多，这个不是盖的。', '短评打分': 5}
{'短评内容': '酒店有点老，应该是老三星的酒店，不过住着很算舒服，早餐也能吃饱。', '短评打分': 5}
{'短评内容': '总体来说还不错，就是硬件设施有点陈旧，酒店门口是单行道，打车有点不是很方便，不过附近靠近商业区', '短评打分': 5}
{'短评内容': '地段不错，酒店员工态度也很好！唯一不足的是停车场内车与车的间隔实在是太小了，我好几次遇到停车场客满时，车门无法打开，稍有不慎就会把车碰到，碰伤，希望望江饭店能想办法改进，，，，，', '短评打分': 5}
{'短评内容': '酒店环境还不错，价格实惠，到人民广场也比较近', '短评打分': 5}
{'短评内容': '服务还不错，地段也挺好的，对得起这个价格，就是早餐好像品种少了点', '短评打分': 5}
{'短评内容': '还不错  去是中国i并非虚报1111111', '短评打分': 5}
{'短评内容': '江景房尽管有几座高楼挡着，但也可看到一些江面。停车场较大，只是进出酒店时的上下坡路有些陡。酒店家具设施有些陈旧，但也可以承受。早餐还是较丰富的，只是因为客人较多，有时餐品的供应跟不上客人的进餐的速度，甚至出现筷子短缺的现象。\n下次有机会还是想住该酒店，推荐入住。', '短评打分': 5}
{'短评内容': '在老城区很方便,停车场大且管理不错.面对婺江景色优美,但客房装修老旧需要更新.', '短评打分': 5}
{'短评内容': '是家旧酒店,位置非常好,面江和江滨公园,但在前面盖了一排高层非常刹风景.', '短评打分': 5}
{'短评内容': '离市区很近，很方便，', '短评打分': 3}
{'短评内容': '交通便杰，离繁华商业区步行只需十分钟，风景也不错，看得见骛江。', '短评打分': 3}
{'短评内容': '该酒店还不错。挺满意的。', '短评打分': 3}
