{'短评内容': '打开房门满屋的香烟味，靠床的一边墙上（靠下边的位置）满是污渍和类似血迹的东西，窗户打不开，连挂在墙上的电视机都是歪的，真搞笑。', '短评打分': 2}
{'短评内容': '不卫生', '短评打分': 1}
{'短评内容': '酒店就在明月立交附近，去明月山坐车方便，周围吃饭的地方比较少，酒店设施比较齐全，基本上都有，但火车路过稍微有点吵。', '短评打分': 4}
{'短评内容': '不错。我喜欢', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '服务一般，态度也一般，下次不会再去了&hellip;&hellip;', '短评打分': 1}
{'短评内容': '还不错，酒店旁边有一家早餐店很好吃', '短评打分': 5}
{'短评内容': '经济房一般', '短评打分': 4}
{'短评内容': '还好吧', '短评打分': 5}
{'短评内容': '空调还行，前台服务差差差差，可恶想起来就有些气！wifi太烂。干净房间也大。在宜春比别的宾馆好就是了！', '短评打分': 4}
{'短评内容': '挺好的，就是有点吵，，', '短评打分': 3}
{'短评内容': '很一般，环境差   ，，', '短评打分': 3}
{'短评内容': '服务员不错，对客人要比别的同样宾馆好', '短评打分': 3}
{'短评内容': '就是旁边太吵，一晚上都没睡好，东西比较旧', '短评打分': 3}
{'短评内容': '旁边就是火车站，比较吵', '短评打分': 3}
