{'短评内容': '后继有人个月的宝宝都有什么不说这个啦嗯好了好了吧', '短评打分': 5}
{'短评内容': '马马虎虎', '短评打分': 2}
{'短评内容': '老酒店，除了价格便宜，菜手艺不错，没什么了', '短评打分': 2}
{'短评内容': '经常去，服务什么都挺好，房间也干净。就是隔音不好，楼道里说话，房间听的清清楚楚', '短评打分': 5}
{'短评内容': '夜宵不错！', '短评打分': 3}
{'短评内容': '总的来说还可以，就是里面的有一些设施比较旧，但是也很不错，下次去还会住这里，干净，卫生。', '短评打分': 5}
{'短评内容': '感觉很好，很不错，下次还来这儿，很不错的选择', '短评打分': 5}
{'短评内容': '酒店就是设备有些老旧了  电话 电视 等等 不太好用', '短评打分': 4}
{'短评内容': '酒店吃饭挺方便的，住宿房间有点小。', '短评打分': 4}
{'短评内容': '性价比低，早餐单调，质量差，前台结账用信用卡时刷错两次，害得我差点误了火车，不推荐。', '短评打分': 1}
{'短评内容': '大单间房间设施比较简陋 服务比较一般 性价比不高', '短评打分': 1}
{'短评内容': '设施有些陈旧，但吃饭很方便、交通也很方便，服务员的专业度有些差', '短评打分': 5}
{'短评内容': '  环境还不错，交通很方便', '短评打分': 3}
{'短评内容': '太原唐都大酒店环境很好:吃住舒适,下午仅几个小时,也收全天款,实交三天款', '短评打分': 3}
{'短评内容': '总体不错，餐厅茶点味道挺好，不过早餐不是自助，送的餐劵可选种类太少\n', '短评打分': 5}
{'短评内容': '总体不错，餐厅茶点味道挺好，不过早餐不是自助，送的餐劵可选种类太少', '短评打分': 5}
{'短评内容': '感觉还行，不知晚上睡觉怎么样。', '短评打分': 3}
{'短评内容': '交通方便，24小时吃饭方便，就是设施有些陈旧了', '短评打分': 5}
{'短评内容': '服务不错，吃的不错。服务不错，吃的不错。服务不错，吃的不错。服务不错，吃的不错。服务不错，吃的不错。服务不错，吃的不错。服务不错，吃的不错。服务不错，吃的不错。服务不错，吃的不错。服务不错，吃的不错。', '短评打分': 5}
{'短评内容': '服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好服务态度都很好', '短评打分': 5}
{'短评内容': '繁华地段，住宿方便，价格合理，饮食比较有名，周围不远还有其他大饭店，无需远行；不远就是汾河公园，饭后可散步。', '短评打分': 5}
{'短评内容': '觉得还可以，楼下餐厅菜不错。觉得还可以，楼下餐厅菜不错。觉得还可以，楼下餐厅菜不错。觉得还可以，楼下餐厅菜不错。觉得还可以，楼下餐厅菜不错。觉得还可以，楼下餐厅菜不错。觉得还可以，楼下餐厅菜不错。', '短评打分': 5}
{'短评内容': '3年前住过的酒店，这次再入住，虽然设施不是很新，但是很干净，被子、毛巾都挺白的。卫生间也干净。这家酒店主要以餐饮为主，住宿为附，当然最好的还是早餐和夜宵，水准一如既往。一点遗憾是不能刷信用卡的预授权，只能刷消费。', '短评打分': 5}
{'短评内容': '早餐还可以，居然有茶点。\n房间一般，因为比较老，很早之前这里在太原是比较高档的地方。但是现在嘛，属于比较便宜的地方。', '短评打分': 5}
{'短评内容': '楼下的酒店菜式是广式的，味道还不错，但是价格很高。\n房间隔音不好，厕所里面今天看到一个爬虫。\n\n电视台比较多，但是电视不够好，普普通通。\n\n太原的酒店积灰很重，灰尘大的好。\n\n人员服务态度好，但是有点笨', '短评打分': 5}
{'短评内容': '房间灰尘极大房间灰尘极大房间灰尘极大房间灰尘极大房间灰尘极大房间灰尘极大房间灰尘极大房间灰尘极大房间灰尘极大房间灰尘极大房间灰尘极大房间灰尘极大房间灰尘极大房间灰尘极大房间灰尘极大房间灰尘极大房间灰尘极大房间灰尘极大房间灰尘极大房间灰尘极大', '短评打分': 1}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '帮朋友预定，暂没有听到不满意的声音，应该还不错，地理位置方便，因为参加考试，所以找的离考试地方较近的地方的', '短评打分': 5}
{'短评内容': '环境卫生及服务还可以，早餐15元券不包干客人一进餐就应该讲清，另外结帐时莫名其妙的被告知开了房间的饮料，虽然才四元钱，但总感觉差强人意。', '短评打分': 1}
{'短评内容': '早歺太差，应改为自助歺。夜间十二点还有人在走廊里大声喧哗，无人制止。不推荐。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': ' 有很大的停车场 停车很方便 ， 早餐味道很满意。', '短评打分': 5}
{'短评内容': '在太原住到这样的酒店已经算可以了。房间设施都还不错。', '短评打分': 5}
{'短评内容': '酒店在太原省委对面，汾河东边。周边出行方便，去哪都可以，酒店有自己的停车场，停车很方便，房间卫生条件也不错 。设施较旧。早餐点单较麻烦。但有送餐服务。\n', '短评打分': 1}
{'短评内容': '饮用水的水质不太好.设施也有些陈旧，卫生不错，位置好出行方便，服务一般.', '短评打分': 3}
{'短评内容': '环境好，而且提供早餐味道也不错，印象很好，而且条件也非常不错.', '短评打分': 5}
{'短评内容': '这家酒店服务员很好，响应很及时，服务很贴心到位，房间卫生条件很好，性价比较高，有住在家里的感觉感觉很好', '短评打分': 5}
{'短评内容': '酒店在太原政府对面，周边出行方便，去哪都可以，酒店有自己的停车场，停车很方便，房间卫生条件也不错', '短评打分': 5}
