{'短评内容': '酒店位置不错', '短评打分': 4}
{'短评内容': '早餐不错，房间很干净，还有电脑可以使用。酒店里面的环境也很好，还有专门酒店停车位，开车过来朋友很方便', '短评打分': 5}
{'短评内容': '酒店位置在荆州古城东面。环境比较幽静。', '短评打分': 5}
{'短评内容': '距离荆州古城墙很近，停车方便，服务热情，性价比高！内部还有餐厅，全天就餐都很方便。下次来荆州还住这！', '短评打分': 4}
{'短评内容': '还不错了，还没吃早餐', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '比较一般。位置好点', '短评打分': 4}
{'短评内容': '酒店周边不方便，没啥吃的……其他都好', '短评打分': 5}
{'短评内容': '性价比不错，位置也好，就是设施有点旧。', '短评打分': 4}
{'短评内容': '每次都在这', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 4}
{'短评内容': '这已是第N次入住了，总体印象：地处交通要道，距离高铁站较近，搭出租或乘公交均比较方便，此外，与护城河比邻而居，有休闲之处可往，还可爬上古城墙。值得向往！', '短评打分': 3}
{'短评内容': '不错，可望见荆州古城城楼，走路较方便，门口停车', '短评打分': 5}
{'短评内容': '老酒店，卫生还可以，靠近古城', '短评打分': 5}
{'短评内容': '酒店第一次住，还算可以！', '短评打分': 4}
{'短评内容': '干净不错', '短评打分': 5}
