{'descr': '房间很干净~~~东西也很全，交通方便，唯一的缺点就是空调有点冷，一晚上吹不出来热风', 'star': 5}
{'descr': '安安静静', 'star': 5}
{'descr': '还行，安静，中规中矩', 'star': 5}
{'descr': '此行最满意的酒店，干净，房间大，服务好。', 'star': 5}
{'descr': '早餐一般，种类很少，菜比较咸。周边饭店很多消费也不高，停车比较方便。', 'star': 4}
{'descr': '酒店设施很新，服务态度很好！', 'star': 5}
{'descr': '有点冷，，，，，，，，，，，', 'star': 3}
{'descr': '好，前台人特好', 'star': 5}
{'descr': '有停车位，有宽带，但上不了网。六层楼，有电梯。房间非常宽敞，1.2米的双床，桌凳、衣架、衣柜、圆桌双椅、穿衣镜等各种设施齐备，电插座很多，使用方便，价格便宜，14时退房，性价比极高。周围有很多各种档次的饭馆。去市中心中山西路、新华广场，步行或乘1路公交很方便。酒店还是很不错的，周围环境安静，交通便利。酒店服务到位，设施也比较齐全，可能是地段不是临街，所以价格低一些。以后还会选择住这里的', 'star': 4}
{'descr': '有停车位，有宽带，但上不了网。六层楼，有电梯。房间非常宽敞，1.2米的双床，桌凳、衣架、衣柜、圆桌双椅、穿衣镜等各种设施齐备，电插座很多，使用方便，价格便宜，14时退房，性价比极高。周围有很多各种档次的饭馆。去市中心中山西路、新华广场，步行或乘1路公交很方便。酒店还是很不错的，周围环境安静，交通便利。酒店服务到位，设施也比较齐全，可能是地段不是临街，所以价格低一些。以后还会选择住这里的  ', 'star': 4}
{'descr': '房间大，价钱合理', 'star': 4}
{'descr': '房间很大，挺干净。就是WiFi信号不太好。还算满意。', 'star': 3}
{'descr': '住的还不错，房间很大', 'star': 4}
{'descr': '很满意', 'star': 5}
{'descr': '性价比高，干净，不错，只是去的当天停电。', 'star': 5}
{'descr': '性价比高，干净，不错，只是去的当天停电。', 'star': 5}
{'descr': '洗澡方便，房间大，去的那天停电很不方便。总体还可以。', 'star': 5}
{'descr': '洗澡方便，房间大，去的那天停电很不方便。总体还可以。', 'star': 5}
{'descr': '房间比较宽敞，卧具整洁，基本设施俱备，条件还行', 'star': 3}
{'descr': '房间比较宽敞，卧具整洁，基本设施俱备，条件还行', 'star': 3}
