{'短评内容': '酒店地理位置挺好的，门口就是公交站，附近就有大型商场和超市，购物买东西、吃饭一应俱全，一进门前台接待热情，主动问好，让人感觉特别亲切，房间打扫得很干净，浴巾都是封包了的，让人用起来安全放心，热水超快的，好', '短评打分': 5}
{'短评内容': '酒店地理位置挺好的，门口就是公交站，附近就有大型商场和超市，购物买东西、吃饭一应俱全，一进门前台接待热情，主动问好，让人感觉特别亲切，房间打扫得很干净，浴巾都是封包了的，让人用起来安全放心，会经常来的', '短评打分': 5}
{'短评内容': '假装我去住过了，但是我没有去成。不能退订，我的钱……我的钱……我的钱……啊，气晕在九楼……啊……我的钱！', '短评打分': 5}
{'短评内容': '价格实惠，房间也很不错', '短评打分': 5}
{'短评内容': '服务不怎么样', '短评打分': 3}
{'短评内容': '无语加无奈加气愤！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '前台服务特别热情，还给我介绍了附近的旅游景点，特别好', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '总台美女服务好，房间比较大，主要交通方便。旁边有个龙湖商场特别好。', '短评打分': 5}
{'短评内容': '房间特别干净，整洁。服务态度也很好，值得推荐。', '短评打分': 5}
{'短评内容': '交通方便，干净卫生，服务挺好的。', '短评打分': 5}
{'短评内容': '特别贴心', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '酒店倒是还可以，可是为什么房间里拖鞋都没有', '短评打分': 5}
{'短评内容': '吵', '短评打分': 5}
