{'descr': '服务态度极好，也很热情，卫生也可以，比较满意', 'star': 5}
{'descr': '环境不错', 'star': 5}
{'descr': '很不错，价格很实惠，主要是方便，房价比店内会员还要实惠', 'star': 5}
{'descr': '酒店位置比较好  很好找  床也挺舒服  就是有一个枕套不干净  但房间里还有另外两个枕头  将就用了  电视很好   洗手间没有…emmm怎么形容  没有门  是玻璃与房间隔开的  下次会考虑别的房型  总体说来还不错  比较满意', 'star': 5}
{'descr': '位置好，环境好。适合年轻人住。', 'star': 5}
{'descr': '很好的环境，下次过去还会选择！', 'star': 5}
{'descr': '环境超级棒  手动点赞', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '再次预订，一如既往的好', 'star': 5}
{'descr': '每次来，都住你家，网上订购，很方便，服务台，有个头发有点少，短发的工作人员，服务很到，很热情，每次见到她，很暖心，房间呢，对再次预订的老顾客，应该优惠多点，对住30至60，优惠更大点，就更完美了', 'star': 5}
{'descr': '酒店住着很舒服，关键离省二院非常近，下次还要住这里', 'star': 5}
{'descr': '环境还好，隔音不好，光线也算太好', 'star': 5}
{'descr': '总体来说还行', 'star': 3}
{'descr': '没窗户', 'star': 5}
{'descr': '出门看病不容易，在医院附近能住到这么经济实惠的房间真心点赞！', 'star': 5}
{'descr': '干净卫生，交通方便，环境不错，房间设施也不错，价格合适，WIFI流畅，酒店服务态度也很好，下次有需要，还会预定！值得推荐  &amp;#183;', 'star': 5}
{'descr': '酒店环境不错，\n停车场位置充足\n推荐入住高级特大床房', 'star': 5}
{'descr': '挺实惠的吧，就是卫生间没有窗帘很别扭呀', 'star': 3}
{'descr': '交通方便，附近设施齐全，房间还算干净,住得时候楼道正在装修。', 'star': 5}
{'descr': '不错的酒店，价格不高，也比较干净；登记和退房的速度都很快', 'star': 5}
{'descr': '挺好的，酒店', 'star': 3}
{'descr': '酒店不错，干净、舒适，已经推荐给不少朋友。', 'star': 5}
{'descr': '酒店还算安静.干净.电视小了.地段还不错.可停车.', 'star': 5}
{'descr': '价位合适，很干净，服务很好，坐车也挺方便，下次如果是这价位，还过来', 'star': 5}
{'descr': '房间设施都还挺好的 \n卫生间总有流水的声音\n房间隔音效果不好 隔壁对门有个女的叫X的声音听得一清二楚。。。', 'star': 1}
{'descr': '交通方便，房间舒服卫生，网速也很快，价格合理。。', 'star': 5}
{'descr': '很干净，很贴心。服务也特别周到。下次还来。', 'star': 5}
{'descr': '各方面都不错 就是门面小了点 交通和吃饭都很方便 ', 'star': 5}
{'descr': '都不是很好但是我还是选择了 人品问题 都不错', 'star': 5}
{'descr': '方便快捷，非常舒适，干净卫生，是个值得一去的地方', 'star': 5}
{'descr': '酒店位置很好找，总体还可以，就是房间有点小', 'star': 5}
{'descr': '双床标准间不错，大房间太小,卫生间设计不太合理！', 'star': 3}
{'descr': '以前住过 环境还可以。总体感觉小小的。这次回南通又选择了。交通便捷。旁边有购物超市。还有ktv.kfc。喜欢。南通基本在修路。就那里好点', 'star': 5}
{'descr': '.该店不错，地段好，购物吃饭均方便；房间整洁，服务还可以.缺点是仃车场太脏，店门前整洁也不理想.可能是还在建待完善.', 'star': 3}
{'descr': '不错，火车北站打车5元。打车到北国商城6元钱。位置非常好。', 'star': 5}
{'descr': '性价比比较高 服务也好 交通便利  总之还不错                \n', 'star': 5}
{'descr': '很干净，也很安静。交通还算便利，性价比很高，服务很好。', 'star': 5}
{'descr': '没想到还真不错，性价比确实高，会推荐给朋友', 'star': 5}
{'descr': '还算不错，性价比比较高  服务也好  就是房间稍微有点异味。。。也许是个别吧  总之还不错', 'star': 5}
{'descr': '环境很好,在装修有点吵。', 'star': 3}
{'descr': '酒店既便宜又环境好，是一个值得去的好地方', 'star': 5}
{'descr': '已入住', 'star': 3}
{'descr': '环境优雅，交通方便，服务态度也不错，很温馨！挺一下~~~~', 'star': 5}
{'descr': '我觉得很好啊。我很喜欢有家的风格。就是要是都有窗户就好啦。', 'star': 5}
{'descr': '整体还好，就是卫生间是透明的，住的那天空调还坏了', 'star': 5}
{'descr': '比较干净，交通非常便利，很好找到，离市区中心区和火车站都很近', 'star': 5}
{'descr': '本来订的是大床房，可是靠两点去居然说没有，最后住了高级大床，实在不怎么样', 'star': 3}
{'descr': '位置确实很好，出行方便。就是紧邻和平路，临街的房间在晚上有点吵，如果介意的朋友可以要求不要临街的房间。吃饭的地方推荐公积金中心斜对面有一家叫做沙县小吃的店，比小吃街的干净，也很实惠味道还不错哟。', 'star': 5}
{'descr': '很好的环境和服务，就是没早餐。', 'star': 3}
