{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间还算整洁,性价比不错。服务挺好,帮忙把行李送到房间，一路还有简单介绍。 前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的。价格实惠,环境清幽,吃的选择少。', '短评打分': 4}
{'短评内容': '无法评价，只能说位置好', '短评打分': 4}
{'短评内容': '房间真的不好', '短评打分': 2}
{'短评内容': '以這環境，价格有点貴！', '短评打分': 3}
{'短评内容': '不好', '短评打分': 1}
{'短评内容': '地理位置非常不错，内部配置也还过得去，但是就不像酒店那么美丽了，总体OK吧，稍贵，性价比一般。', '短评打分': 4}
{'短评内容': '住的是标间，房间超大，空间感很好，酒店前台服务态度很好，客房服务员素质很高，酒店用品很干净，酒店附近吃很方便，特别是鸭肠王自助餐超划算，29元的自助餐，超多火锅食物可选，过瘾，购物更方便，离黄河、大莹、富民服装、童装城、女人街就是几分钟的路程，对购物者来说，是最好的入住酒店酒店旁边是医院，酒店交通方便，在主要交通道旁，下次到虎门肯定选这家酒店。', '短评打分': 5}
{'短评内容': '很不错很好用很有意思很不错很好用很有意思很不错很好用很有意思很不错很好用很有意思很不错', '短评打分': 5}
{'短评内容': '1234567890', '短评打分': 5}
{'短评内容': '不明白为什么有测试', '短评打分': 0}
{'短评内容': '停车费自付，酒店位置不好找，找到了还要转电梯转栋，房间比较破旧，浴室里居然只有一个人的用品，卫生也不太好。中评。唯一的好的地方就是20几楼，望出去的还不错', '短评打分': 4}
{'短评内容': '很差', '短评打分': 2}
{'短评内容': '很差', '短评打分': 2}
{'短评内容': '很差！', '短评打分': 2}
{'短评内容': '環境極好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '环境不错，住了三天', '短评打分': 5}
{'短评内容': '环境还可以，温馨', '短评打分': 5}
{'短评内容': '还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错', '短评打分': 4}
{'短评内容': '楼层很高，视野很好，地板有点起皮，给人感觉像住在阁楼似的。装修有点旧了。', '短评打分': 4}
{'短评内容': '非常不错的酒店公寓，干净整洁。就是矿泉水没有准备，需要下楼购买，下楼需要换电梯 不是太方便。', '短评打分': 5}
{'短评内容': '定的房型去的时候没有了。免费升级了别的房型。房间很好~~有冰箱有洗衣机~~很有家的感觉~~环境不错~~房间不算很新 但也不破旧~~ 地段真的很好 出门都是大商场！！！太方便了~~楼下就是地铁站。楼下的吃的也很多 很实惠~ 如果有机会再去广州~还是会住那的', '短评打分': 5}
{'短评内容': '史上最差, 太可怕的记忆. 极不安全,如果有火灾, 无路可走. ', '短评打分': 1}
{'短评内容': '性价比极高的酒店公寓，位置方便，去广州都会先考虑它。', '短评打分': 5}
{'短评内容': '太差了  椅子都都掉皮了  !住的会后悔的!  对不起房价 根本谈不上有服务!', '短评打分': 1}
{'短评内容': '地理位置不错，房间没标注的那么大，但很温馨，楼层较高，要转一次电梯。', '短评打分': 5}
{'短评内容': '地段很好，地铁、公交、饮食场所、太古汇、万菱汇等商场就在附近，房间环境还可以，类似鼓浪屿的家庭旅馆，隔音效果和床垫建议要更换，晚上一直听到隔壁的电视声，床垫的铁丝一直磕着我，总的来说，在这个地段，这个价位还算可以接受。', '短评打分': 5}
{'短评内容': '酒店有点难找，不过交通很方便，楼下就是地铁站了，环境也非常好！', '短评打分': 3}
{'短评内容': '各方面不错  中规中矩  这个价格算可以的了 ', '短评打分': 5}
{'短评内容': '房间环境舒适，比较干净。', '短评打分': 3}
