{'短评内容': '真差劲，床单脏死了，房间又小又破', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '地铁旁。有点吵。其他还可以', '短评打分': 3}
{'短评内容': 'u 兢。', '短评打分': 5}
{'短评内容': '还可以，停车都还挺方便的服务态度不错', '短评打分': 5}
{'短评内容': '这个价格也就这样了！', '短评打分': 3}
{'短评内容': '有点吵其他还行。', '短评打分': 4}
{'短评内容': '酒店靠路边，环境不好，很吵，休息不好？。', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '这个价位这个房间觉得不值里面的布局一般般，打着是主题宾馆的旗号实际上真不咋滴氛围一般。很可恶的是商家特别的吝啬，洗头膏沐浴露就给那么一点无语，太抠门了', '短评打分': 3}
{'短评内容': '酒店性价比不错，步行五分钟到地铁站附近，有很多小吃', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '還行 就是位置有點偏', '短评打分': 3}
{'短评内容': '很好，很温馨，就是卫生间太小', '短评打分': 3}
{'短评内容': '好，很好，非常好。！！！！！！！', '短评打分': 3}
{'短评内容': '很不错，已经来好几次了，环境很满意', '短评打分': 5}
{'短评内容': '环境不错，房间也布置的很有特色，这次住的浴缸房，靠路边的位置，所有感觉有点吵，下次准备定对面，估计隔音能好些。总体感觉还是不错的。', '短评打分': 5}
