{'短评内容': '房间很大服务也很好性价比高', '短评打分': 5}
{'短评内容': '服务挺好的，早餐丰富，停车房产', '短评打分': 5}
{'短评内容': '有专门停车场', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '很好，服务热情周到，前台，打扫卫生和保安都很尽职尽责，房间很舒适，价格实惠，比7天美食街店好多了，我4，5号住的如家，6，7号住的7天，7天的还是210的房间还没有如家140的好，下次还住如家', '短评打分': 5}
{'短评内容': '还不错，房间还挺大，有窗户&hellip;&hellip;还有衣橱和沙发&hellip;&hellip;哈哈', '短评打分': 5}
{'短评内容': '酒店内设施齐全，很温馨，住的很舒服', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '多次入住', '短评打分': 5}
{'短评内容': '距离技师学院近，方便考试！', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '有个帅哥服务员不错，还送了水果。给个赞！', '短评打分': 4}
{'短评内容': '总的来说还是不错的酒店，不过因为我是去临沂参加马拉松比赛的，所以当天酒店全部爆满。酒店本身没啥好说的，有点奇怪为啥在山东房子里没有暖气？', '短评打分': 5}
{'短评内容': '酒店整体很好，房子大，干净整洁。暖气特别暖和。不过，位置确实有点偏，附近也没有大超市和吃饭的地方，不过打车还算方便。总体还是很满意，临近沂河，没事可以到沂河边兜风', '短评打分': 5}
{'短评内容': '酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  ', '短评打分': 5}
{'短评内容': '房间清洁安静，外观景观美，非常不错。唯一就是没有抽纸。', '短评打分': 3}
{'短评内容': '住过很多次了,环境挺好的。就是上网不方便，还得用账号。而且厕所有很大蚊子', '短评打分': 3}
{'短评内容': '房间还可以的，比我上次住得如家酒店好，好评！！！', '短评打分': 3}
{'短评内容': '还好，比其他如家价格高。', '短评打分': 3}
{'短评内容': '不错，环境很好，服务很好，下次还是首选，', '短评打分': 5}
{'短评内容': '房间很大 环境很幽静 很不错的地方 值得推荐', '短评打分': 5}
{'短评内容': '位置好，条件不错，卫生条件很好，值得推荐', '短评打分': 5}
{'短评内容': 'henhao de kuaijiejiudian', '短评打分': 5}
{'短评内容': '酒店在沂河边上，环境很好。早饭也不错。', '短评打分': 3}
{'短评内容': '不错，交通也比较方便，景色也好，还有篮球场', '短评打分': 5}
{'短评内容': '酒店很不错。下次。一定再住', '短评打分': 3}
{'短评内容': '817的发票开成187.。。坑人呀，拜托认真一下不行么？', '短评打分': 1}
{'短评内容': '第二次入住，还不错，就是靠近滨河大道边的房间晚上车声有点吵。', '短评打分': 5}
{'短评内容': '不错不错~价格便宜~就是遇到开会~停车位很紧张~', '短评打分': 5}
{'短评内容': '客房空间比较大.设施比较新.住着感觉非常舒服，而且性价比高，整体条件非常好.', '短评打分': 5}
{'短评内容': '位置还是挺好，酒店卫生设施不行酒店是之前招待所改的里面环境一点都不好，连大堂都没有。 价格还是偏高了。价格也不好。', '短评打分': 1}
{'短评内容': '位置好，房间安静，很喜欢。', '短评打分': 3}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': '房间装修的色调挺丰富，有好几种颜色，酒店距离汽车站不远，出行还可以挺方便，性价比蛮高的', '短评打分': 5}
{'短评内容': '酒店在十字路口附近，靠近中心广场，出行很方便，附近可以做小面去王羲之故居，服务员态度很好，硬件设施很新，卫生打扫的也很及时。', '短评打分': 5}
{'短评内容': '帮同事订的，同事没说有啥不好的。在外采购出差还是挺不错的，下次去还会再预订的', '短评打分': 5}
{'短评内容': '很安静，靠近临沂河畔，酒店提供的早餐不错，蛮丰盛的，还是很好的酒店', '短评打分': 5}
{'短评内容': '感觉酒店的位置选的不错，就在十字路口，很好找，离中心广场也比较近，出行还是挺方便的', '短评打分': 5}
{'短评内容': '酒店环境不错，靠近滨河风景区，出行挺方便的。', '短评打分': 5}
{'短评内容': '酒店是新装修的，房间挺大的，环境很好，很安静，服务挺好的，住着很舒适', '短评打分': 5}
{'短评内容': '酒店距离王羲之故居较近，服务员态度很好，周到热情，很豪爽，打扫卫生也很及时。', '短评打分': 5}
{'短评内容': '风景优美 安静 靠近河边 下次还住那', '短评打分': 3}
{'短评内容': '住了一晚，感觉不错，尽管设施稍显简单，但卫生很不错，有热水，很好！边上靠着沂河，蛮美的。美中不足，12元早餐的早餐感觉有点不值，品种比较少，而且补菜不及时。总的来说还是不错的，给90分。', '短评打分': 5}
{'短评内容': '位置好 干净 卫生', '短评打分': 5}
