{'短评内容': '旅馆最多算是。房间好小，破旧潮湿', '短评打分': 2}
{'短评内容': '快捷连锁酒店，在旅游城市性价比不错的', '短评打分': 3}
{'短评内容': '酒店环境真的很一般 这个价格 有点不值 旅游高峰也没办法 第一天住的是一楼 房间潮湿有味道 第二天换了二楼的 虽然不潮湿了 但条件跟50块的酒店一样一样的 酒店前台态度还可以 条件需要改善一下 真的不太对得起价格', '短评打分': 4}
{'短评内容': '酒店环境真的很一般 这个价格 有点不值 旅游高峰也没办法 第一天住的是一楼 房间潮湿有味道 第二天换了二楼的 虽然不潮湿了 但条件跟50块的酒店一样一样的 酒店前台态度还可以', '短评打分': 4}
{'短评内容': '和描述相差太远了，大失所望！', '短评打分': 2}
{'短评内容': '很好，离市区近，隔音也还好，非常方便！服务好', '短评打分': 3}
{'短评内容': '很好，离市区近，隔音也还好，非常方便！', '短评打分': 3}
{'短评内容': '酒店装修很陈旧。', '短评打分': 4}
{'短评内容': '真心不怎么样，反正下次不想来了', '短评打分': 3}
{'短评内容': '这家酒店的环境很不错哦 乘公交打车什么的也很方便 而且离海边很近哦 我们步行去太平角只需要十分钟 配套设施也很到位 房间有单独的热水器 随时可以烧水洗澡 不用担心时间太晚 水不热的情况 前台的服务也很好 提供电吹风 门口超市 烧烤 网吧一应俱全 总之 这次的住宿很满意 下次有机会还住这边 ', '短评打分': 5}
{'短评内容': '在旅游季节来青岛，这样的房价还可以接受。酒店门口就是小超市，买东西比较方便', '短评打分': 5}
{'短评内容': '也许在青岛还算实惠的了吧。。就是没有地方停车。商务大床房没有窗户有点尴尬了', '短评打分': 5}
{'短评内容': '经济型酒店，商务出差来说还是可以的，主要是方便', '短评打分': 5}
{'短评内容': '给来青岛客人定的房间，去看过，房间挺大的，内部装修也不错。洗手间稍微有点闷，不透风。整天还不错', '短评打分': 5}
