{'descr': '环境好不错，服务也好', 'star': 5}
{'descr': '环境不错，服务态度很好', 'star': 5}
{'descr': '有些老旧，希望床头增加插座方便充电', 'star': 4}
{'descr': '酒店位置很好，周围交通方便，距离大召很近，对面有大超市，方便买东西。酒店设施齐全，就是去的时候还没有打扫，酒店匆匆忙忙的打扫了。我住的房间不隔音，太吵了，就像睡在大街上一样，我问前台还没有房间可以更换，这一晚上基本就是没睡，太吵了。', 'star': 3}
{'descr': '卫生好服务好环境好', 'star': 5}
{'descr': '非常满意', 'star': 5}
{'descr': '酒店在交通要道上，很方便。价格在呼和浩特如家离算低的，但是性价比很高，周围超市吃饭的很全。前台服务也很不错。', 'star': 5}
{'descr': '不怎么样，不过价格也还能接受', 'star': 3}
{'descr': '不好，噪音太大，设备旧，这个价位有点不值', 'star': 2}
{'descr': '吃饭交通方便', 'star': 5}
{'descr': '吃饭坐车比较方便，就是外墙在装修，透气不好', 'star': 5}
{'descr': '环境卫生服务都是一流的、如家值得信赖的酒店', 'star': 5}
{'descr': '超级好，真有家的感觉，老公今天生日，酒店还准备了礼物，好激动哦！', 'star': 5}
{'descr': '好的', 'star': 5}
{'descr': '酒店位置很好，住宿条件是一如既往的棒！', 'star': 5}
{'descr': '如家值得信赖的品牌，服务态度相当好.', 'star': 5}
{'descr': '距离景点很近，还算方便，服务员素质高，总体感觉不错。', 'star': 5}
{'descr': '酒店前面在修路，服务态度很好，房间很干净就是数码大床房很小。', 'star': 3}
{'descr': '酒店很干净卫生，个人比较喜欢，推荐大家入住！', 'star': 5}
{'descr': '房间很不错很干净，感觉到很温馨！！！！！！！', 'star': 5}
{'descr': '比较干净，标准间比大床房要大些啊.下次要住大床房。', 'star': 5}
{'descr': ' 交通很便利。不错的选择。', 'star': 3}
{'descr': '房间不错，比较干净\n晚上道路施工就是有点吵', 'star': 5}
{'descr': '环境还不错，下次还来住', 'star': 3}
{'descr': '是个交通要到，去和林，去金川，回北京都方便。房间也在呼市如家里算整洁的，缺点是旁边迪厅，太乱。', 'star': 3}
{'descr': '主要还是便宜啊，现在外面在修路，路况差一点，不过确实性价比高', 'star': 3}
{'descr': '挺好的，很温馨，性价比很高，离五塔寺和大召都不远。', 'star': 5}
{'descr': '这次订了两间大床房，酒店位置还可以，就在南茶坊十字路口的东北角，服务也挺好，延续了如家的一贯风格。就是房间的面积有些小，总体来说还是推荐的。', 'star': 5}
{'descr': '房间还不错还有不错的早餐', 'star': 3}
{'descr': '交通还可以，对面有大超市，就是有点吵，临街', 'star': 5}
{'descr': '环境不错，但是就是离我去的地方远点，打车太费。希望各个店能通用。', 'star': 5}
{'descr': '价格很便宜。缺点是房间烟味太大。。。。。。', 'star': 5}
{'descr': '这家如家还不错，除了地板有点不平整外，卫生还是比较好的；稍微有点噪音，不知道是哪里在唱歌或跳舞的感觉。', 'star': 5}
{'descr': '还不错，交通方便，离大召寺也比较近。服务态度比较好，热水也比较给力，真正的24小时。就是早点东西太少了，品种不丰富。', 'star': 5}
{'descr': '还可以，就是床很不舒服，太硬 不止是硬啊 还硌人，下面垫了层被子睡的才算舒服，只是后给的一床被子太薄，想再想一床的时候米有了。。。不过总体来说还算不错。位置也比较方便。', 'star': 5}
{'descr': '性价比高，便宜。。。。。。\n性价比高，便宜。。。。。。', 'star': 5}
{'descr': '环境不错，服务也可以，交通比较方便，下次还会入住，就是没有吹风机', 'star': 5}
{'descr': '还不错，房间挺大，早餐也可以，大床房挺舒服', 'star': 5}
{'descr': '挺不错的，不过附近是旧城区有点稍乱，酒店还是很好的，大床房很温馨，有家的感觉', 'star': 5}
{'descr': '环境好，服务好，地方好，心里好，在这里我享受到了应有的服务和心里的快慰，我愿意以后经常光顾', 'star': 5}
{'descr': '整体很好的感觉,屋里设施很温馨,很干净哦,服务也好,很有家的温暖,很值得入住,性价比很高,希望以后有机会还来,赞一个!', 'star': 3}
{'descr': '房间 太不干净  `房间很小   希望有好的改变吧', 'star': 1}
{'descr': '前台的服务人员，服务态度有待提升，本来预定好荞麦枕，结果到店没有实现承诺。酒店卫生状况一般，床单特别是不够整洁，希望下次能把服务水平提高，全国来看，如家还是不错的，大昭寺店希望能尽快提升。', 'star': 5}
{'descr': '虽然赶上年底刷漆，但是房间很好住，很舒服，很干净，交通很方便，下次还会推荐朋友去住', 'star': 5}
{'descr': '，什么地方啊，屋里在刷墙，满屋的油漆味，这也不提示…', 'star': 3}
{'descr': '我成功入住 感觉如家一如既往的好', 'star': 3}
{'descr': '我已入住，房间宽敞，价格合理，是理想的酒店。', 'star': 3}
{'descr': '交通便利，各种设施也很齐全，服务热情，离大昭寺等景点很近，是性价比高的一个酒店。', 'star': 5}
{'descr': '非常不错的酒店，极力推荐，很温馨，暖气很热，在这里留下了深刻的印象，下次去内蒙一定还会入住的', 'star': 5}
{'descr': '交通方便，服务很好，网速很快。', 'star': 3}
{'descr': '有接送，离机场最近了，可惜网络实在太慢了', 'star': 5}
{'descr': '太差了,不推荐!278元标间价格高,房间很潮,不隔音,被吵醒数次。洗澡时,淋浴喷头不但漏水还会掉下,差点打到人。', 'star': 3}
{'descr': '干净，设施简单，离机场很近，就是没有电梯，行李需要自己搬上去。', 'star': 3}
{'descr': '晚上快12店到的还有接送的车，环境挺好，主要是离机场近，方便。', 'star': 5}
{'descr': '距离机场蛮近的。很方便，老板挺喜欢，第二次去了。', 'star': 5}
{'descr': '帮朋友预定的，据说还行吧。其他方面，没有调查就没有发言权。', 'star': 5}
{'descr': '一如既往的如家，前台服务很好，很舒心，而且我在酒店忘带走的东西也帮我寄回来了，在这里赞一个', 'star': 5}
{'descr': '还可以，适合赶早班飞机的朋友乘坐，住房能听到轻微的飞机起飞声音，但不影响居住', 'star': 5}
{'descr': '..............................................................................................行，不错', 'star': 5}
{'descr': '出宾馆往左走有很多面馆 还有可能会遇到一家卖麻辣串的 附近没有超市 是个遗憾', 'star': 5}
{'descr': '房间很小，并且不提供免费矿泉水，没有如家感觉舒服，但是考虑距离机场很近，还是可以接受的，对了，这里没有电梯。', 'star': 3}
{'descr': '酒店离机场很近很方便，但是酒店设施的话确实是比较一般！', 'star': 3}
{'descr': '就只有方便趕搭機使用  其他的實在不怎樣  床硬到不行', 'star': 5}
{'descr': '条件一般，距离大召比较近，卫生一般，早餐一般', 'star': 5}
{'descr': '酒店房间还算干净整洁，卫生间不大但还过得去，有往返机场的面免费接送服务，不错。住的是一楼，房间里有蚊子，点了蚊香，一夜安睡。下次做早班飞机还会住这里。\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '房间不错！', 'star': 3}
{'descr': '性价比不高,房间感觉比较老旧.胜在离机场近,赶早班机住宿一晚还是比较方便.', 'star': 1}
{'descr': '服务及硬件设施都很好.................................', 'star': 5}
{'descr': '订了一个大床房，房间虽然有一点小，但是感觉还可以，比较温馨，屋子也比较干净，服务态度也不错,如家值得再去。', 'star': 5}
{'descr': '离萧山机场很近，不过走路还是有些远的，有车的话非常方便。住宿当晚允许停车。住宿条件什么的都还一般，对于赶飞机的朋友是个好选择。附近没有其他宾馆，要住宿最好提前预定', 'star': 5}
{'descr': '很方便，房间也可以', 'star': 3}
{'descr': '环境一般', 'star': 3}
