{'短评内容': '还可以啊！不错', '短评打分': 5}
{'短评内容': '不含早餐，但是酒店出门左手边就有早茶，很方便。酒店交通也方便，酒店对面就有停车场，但是要提供房卡给保安看就可以免费停车了。', '短评打分': 4}
{'短评内容': '没早餐，没停车场要自己附近找，唯一就是离沙滩近，其他都一般', '短评打分': 4}
{'短评内容': '环境很好，海景房正对大角湾，看海很好，160多住这样的海景房，性价比还算高！', '短评打分': 4}
{'短评内容': '小，设施不全', '短评打分': 4}
{'短评内容': '京东一直是我最喜欢购物的平台，最喜欢京东自营的。速度那是一个快爽准。', '短评打分': 5}
{'短评内容': '酒店附近热闹，酒店需要升级了，位置比较好', '短评打分': 3}
{'短评内容': '感觉还可以，适合一家四口住，住的三楼海景看不到。', '短评打分': 4}
{'短评内容': '淡季的时候去的话会比较划算，卫生和服务都很不错', '短评打分': 4}
{'短评内容': '电梯坏的 6楼的我爬了几次 累死', '短评打分': 2}
{'短评内容': '还可以，主要离海边近', '短评打分': 3}
{'短评内容': '+环境不错，可以看到海景，但房间配套较老，节曰期间房价较高*', '短评打分': 3}
