{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '第三次去了很奇怪明明我是会员还要收押金，之前在别的七天都不收。而且押金还必须现金 又让我跑出去取钱', '短评打分': 5}
{'短评内容': '距地铁口近，临近商业区。', '短评打分': 5}
{'短评内容': '酒店位置很好   联通方便   而且周围美食比较多', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '没有水不说。屋子里没有电话。晕卫生间太埋汰了空调一晚上嗷嗷响。半夜入住的懒得换了。', '短评打分': 3}
{'短评内容': '酒店位置不错 性价比也高 不过就是提前定会好一点', '短评打分': 5}
{'短评内容': '不错！酒店位置还可以，很安静，环境都其他的七天酒店差不多，没有突出的地方，订的商务双床房，没感觉到有多商务！', '短评打分': 5}
{'短评内容': '挺不错挺好的', '短评打分': 5}
{'短评内容': '不错不错不错不错', '短评打分': 5}
{'短评内容': '空调内部不知道哪里出问题、叮叮当当响了一晚上不知道的2以为拆了一晚上房呢  浴室地漏下水极其慢   房间很冷要被子也没有 不会再住了 一向不差评真的太影响心情 ', '短评打分': 2}
{'短评内容': '离地铁口很近', '短评打分': 5}
{'短评内容': '很好的快捷酒店', '短评打分': 5}
{'短评内容': '还不错比较干净', '短评打分': 5}
{'短评内容': '不知道', '短评打分': 4}
{'短评内容': '房间算大。但是设备不齐全', '短评打分': 4}
{'短评内容': '还行吧。', '短评打分': 5}
{'短评内容': '挺干净的', '短评打分': 4}
{'短评内容': '交通便利，地铁站步行三四分钟就到了。', '短评打分': 5}
{'短评内容': '晚上没有热水，还停电了。还没有电话询问前台，挺差的', '短评打分': 3}
