{'短评内容': '早期酒店，设施一般，但卫生！', '短评打分': 5}
{'短评内容': '不错挺好的已经住了好几次了', '短评打分': 4}
{'短评内容': '很好很舒适', '短评打分': 5}
{'短评内容': '还行，有停车场和晚餐，店里有点气味', '短评打分': 5}
{'短评内容': '很好 房间很大', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位置极好，离市中心很近，距涂门街也很近，交通便利。服务人员态度很好，酒店的设施也比较好，还提供免费早餐。下次有机会还会选择这家酒店。', '短评打分': 4}
{'短评内容': '第二次入住了，在老城区，去哪都方便，和周边价位差不多，还提供早点，性价比还是不错的。', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '还行，挺大的', '短评打分': 5}
{'短评内容': '酒店床铺有点异味，不知是没洗干净还是没晒干。', '短评打分': 2}
{'短评内容': '房间的设施较旧，自费的物品未标价。', '短评打分': 4}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '在市中心，后面就是涂门街，酒店在胡同里不太好找，问了很多人都说不知道，在附近饶了好几圈才找到，后面有个小院能停几辆车。我们住的房间是里外间，挺宽敞的。', '短评打分': 3}
{'短评内容': '地点是挺好的，附近有两个长途汽车站，离开火车站有点远，打车&amp;#165;30。 地毯脏，下雨天，有一股发霉的气味。跟同事出差，被安排在一个浴室用玻璃和帘子分隔的房间，感觉特别暧昧。床头柜放着一筐售卖的神油和安全套，把整个酒店的档次完全拉下去了。早餐也有几样选择，但是就觉得碗筷有点脏，没洗干净。', '短评打分': 2}
{'短评内容': '房间宽敞，设备陈旧，服务良好，这样的价格，还有早餐什么的，已经很满足了。出差的伙伴可以考虑。综合性价比高。', '短评打分': 5}
{'短评内容': '交通方便，挺好的', '短评打分': 4}
{'短评内容': '出差泉州专用旅店。。。。。', '短评打分': 4}
{'短评内容': '没一次性拖鞋', '短评打分': 4}
{'短评内容': '挺好的，交通方便，市中心，服务挺好的', '短评打分': 3}
{'短评内容': '不错。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '服务不错，也挺干净', '短评打分': 3}
{'短评内容': '  交通便利，在泉州汽车站附近，房间设施齐全，价格合理，非常划算。每次过去都住这边', '短评打分': 5}
{'短评内容': '灰常方便，直接从高铁火车站坐3、33路到海关大楼下车，旁边的巷子里面就是；房挺大的，还是新装修的，该想到的都想到了，还有特价房哦，不错，下车来泉州出差还住，呵呵', '短评打分': 5}
{'短评内容': '位置不错 ，酒店也很干净整洁，特别是床很舒服，下次有需要还会入住的', '短评打分': 5}
{'短评内容': '酒店不错，已多次入住，房间比较宽敞，但服务不太好，明明自己愿意没给开发票，补票时还搞的极其麻烦！', '短评打分': 5}
{'短评内容': '酒店实惠干净，但安保需要加强', '短评打分': 3}
{'短评内容': '设施好齐全。。。房间环境好好的呢。。。下次有机会还来。。。不过会有人派小卡片（你懂的）。。。希望酒店方可以注意一下', '短评打分': 5}
{'短评内容': '房间还行就是早餐太差', '短评打分': 3}
{'短评内容': '这个酒店不错，性价比很高，下次还会住', '短评打分': 3}
{'短评内容': '不错！床很软！就是有点吵！预定了两天、中间调换房型，竟然没让我用到优惠券！很郁闷！！！！', '短评打分': 5}
{'短评内容': '酒店的位置很好,就在泉州汽車站附近,交通很方便,附近就有公車站了,\n環境十分的好,很乾淨,\n前台的服務人員很親切,', '短评打分': 5}
{'短评内容': '帮朋友订的房，反馈回来还是很不错的。\n以后还会继续。', '短评打分': 5}
{'短评内容': '酒店还不错，加钱也还合理，挺满意的！', '短评打分': 3}
{'短评内容': '还可以，就喜欢床大，就是热水有点慢，隔音效果不太好，总体来说是不错的酒店，经济实惠！', '短评打分': 5}
{'短评内容': '不错的酒店 设施也很好 就是热水温度有点低 ', '短评打分': 5}
{'短评内容': '新开的酒店，交通方便，设施较好，就是早餐实在简单，在泉州，这个价格可以了', '短评打分': 5}
{'短评内容': '酒店真的很不错哦，整洁安静配置齐全，这个价位真的值了！唯一的缺憾就是每个楼层里没有个当值的服务员，有时候需要服务的时候不方便。', '短评打分': 5}
{'短评内容': '设施完善，环境还好，就是白天热水温度不足，部分灯坏了。', '短评打分': 3}
{'短评内容': '整体环境还不错，新装修、简洁却不简陋，性价比相对较高。但是也有几点不好的：1、不能刷卡；2、灯光不够明亮。', '短评打分': 5}
