{'短评内容': '快捷方便，干净卫生。快捷方便，干净卫生。快捷方便，干净卫生。快捷方便，干净卫生。快捷方便，干净卫生。快捷方便，干净卫生。', '短评打分': 5}
{'短评内容': '酒店离江汉路步行街很近，购物美食很方便。不远处有公交站台和地铁出入也方便，价格也很合理', '短评打分': 5}
{'短评内容': '不错，房间整洁卫生，经常住这一家酒店。', '短评打分': 5}
{'短评内容': '有机会还会来入住至于怎么没有送京豆不了解', '短评打分': 5}
{'短评内容': '酒店位置好', '短评打分': 5}
{'短评内容': '真心一般，环境差，旁边有个中学，早晨很吵', '短评打分': 3}
{'短评内容': '位子很好，就是武汉中心，很方便', '短评打分': 5}
{'短评内容': '干净整洁卫生，性价比较高！干净整洁卫生，性价比较高！干净整洁卫生，性价比较高！干净整洁卫生，性价比较高！干净整洁卫生，性价比较高！', '短评打分': 5}
{'短评内容': '价格公道，设施齐全。价格公道，设施齐全。价格公道，设施齐全。价格公道，设施齐全。价格公道，设施齐全。价格公道，设施齐全。', '短评打分': 5}
{'短评内容': '一般化吧', '短评打分': 4}
{'短评内容': '卫生做的差了点，其他还好，很方便去哪都近。', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '比较方便，附近吃饭出行交通都不错。', '短评打分': 4}
{'短评内容': '地方好找，交通便利', '短评打分': 5}
{'短评内容': '再次入住，酒店环境可以，还会再来', '短评打分': 5}
{'短评内容': '还可以，就是家具有点旧了', '短评打分': 3}
{'短评内容': '不错，价格实惠，地段可以', '短评打分': 3}
