{'短评内容': '老旧，不行！天花板脱落，阳台门变形', '短评打分': 2}
{'短评内容': '卫生环境不如招待所，', '短评打分': 1}
{'短评内容': '应该不错吧，帮朋友开的', '短评打分': 4}
{'短评内容': '最初我们来到这个世界，是因为不得不来；最终我们离开这个世界，是因为不得不走。', '短评打分': 4}
{'短评内容': '非常差，又贵', '短评打分': 1}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '窗外绿茵看着挺养眼。位置还可以，离地铁比较远。房间硬件真的太旧了，听说酒店要装修，期待早日完成。床还是很干净的，我对这点比较满意。', '短评打分': 4}
{'短评内容': '比较旧的一家私人公寓式酒店，房间设备都很陈旧，交通不方便，但风景很好，可以看到高尔夫球全景，晚上有灯光更是漂亮。', '短评打分': 4}
{'短评内容': '位置较偏，酒店比较旧，打车不好打，景观很好，高尔夫求全景，价格还算较低，停车场也方便，其它就没什么优点了', '短评打分': 4}
{'短评内容': '环境太差，房间太差，服务太差！', '短评打分': 1}
{'短评内容': '不错和原来一样', '短评打分': 5}
{'短评内容': '帮人订的，在附近绕了很多圈，位置太难找，进院门口无标识', '短评打分': 3}
{'短评内容': '很多年前住过，再次入住，破灭了以前美好的印象……设施那么旧，卫生和服务也失望?', '短评打分': 4}
{'短评内容': '很多年前住过，再次入住，破灭了以前美好的印象……设施那么旧，卫生和服务也失望?', '短评打分': 4}
{'短评内容': '空间很大，周边环境很好，设施稍微有一点老旧', '短评打分': 5}
{'短评内容': '原来定的房间满房了，临时找的，如果不是没地方住的话，不是特别建议，楼层比较昏暗，没有灯光，房间内有一股味道，浴室的天花板装饰掉落，估计受到长期湿气影响。淋雨喷头漏水，热水器是每个房间一个，非集中供应。硬件老化，拖鞋不是免费，空间布局有些奇怪～', '短评打分': 3}
{'短评内容': '环境跟服务离所谓的私人店公寓级别还有距离。', '短评打分': 1}
{'短评内容': '酒店面对高尔夫球场，环境还是很不错的，但周边生活非常不方便，便利店也要走很远。', '短评打分': 5}
{'短评内容': '環境很好，但室內比賽殘舊與網上圖片不附！有点失望。', '短评打分': 3}
{'短评内容': '酒店非常不错，房间大，功能全，窗外高尔夫景色好。', '短评打分': 3}
{'短评内容': '环境不错，正对高尔夫。附近吃饭地方不多~', '短评打分': 5}
{'短评内容': '环境不错，正对高尔夫。但附近吃饭地方不较少。', '短评打分': 5}
{'短评内容': '每次入住都有新鲜感觉，深圳出差的首选,性价比高', '短评打分': 5}
{'短评内容': '整体环境还不错，视野和空气都很好，面积也挺大的，但是房间里卫生不太好。', '短评打分': 5}
{'短评内容': '幽静典雅，高尔夫全景，房间够大，价格适中，装潢相对简单。总体不错，还会再订。', '短评打分': 3}
{'短评内容': '，环境很好，就是硬件设施旧了点。早餐差些。', '短评打分': 3}
{'短评内容': '窗外绿色一片，高尔夫靓景，闹中取静的好地方，离会展近。', '短评打分': 3}
{'短评内容': '选择了海景房，房间大，非常好,早餐丰富，很满意', '短评打分': 5}
{'短评内容': ' 趣园酒店较好', '短评打分': 3}
{'短评内容': '酒店环境不错，空气清新。性价比不错，下次来深还会住。', '短评打分': 5}
{'短评内容': '挺好的，我喜欢！房间很大！就是不是打扫不是很干净！', '短评打分': 5}
{'短评内容': '非常垃圾', '短评打分': 3}
{'短评内容': '酒店房间较大，景观不错。不过装修较旧，感觉很脏，且价格稍贵。', '短评打分': 1}
{'短评内容': '酒店装修时间较久看上去很旧。', '短评打分': 3}
{'短评内容': '這是我第二次入住該酒店，本身充滿期待，心想這一次升高一級應該房間會不錯。沒想到，裝修破舊，很多地方已經壞掉，浴巾是我從來沒見過的臟舊，甚至是撕開好幾個大口子，以及浴巾的邊已經是破爛不堪，真是很懷疑他們是否沒有錢買浴巾。地上也特別臟，害得我大半夜要重新擦地，那個擦腳布擦完以後是一片黑。早上不知道發什麽神經，隔壁的服務員在使勁的砸門，砸了不知道多久，把我的孩子都嚇醒了，我出去叫他小點聲，他居然還回答我', '短评打分': 1}
{'短评内容': '环境不错，服务也不错，在香蜜湖高尔夫旁边，不错', '短评打分': 5}
{'短评内容': '好！非常值得推荐，安静、停车方便、服务好、房间里还有炊具和洗衣机（虽然没有用）', '短评打分': 5}
{'短评内容': '除了一眼就看得到的污渍和尘垢，房间的陈旧程度直逼故宫。 \n\n 浴室的灯绝大部份都不亮，床上天花看书的灯亦整排不亮。 \n找了人来修，弄了差不多半小时，床上的还是不行，\n他说那个天花里头的电路挂掉了，要弄的话要统统导翻开来，需要蛮久的时间。\n\n 那我说算了，我忍下来。 他说找人来收拾一下那些掉到床上的灰尘跟装修物料。 \n等了老半天，来的那个给我把灰尘都拍到床边就算了！ \n\n把我当瞎子吗？实在无名的火都', '短评打分': 1}
{'短评内容': '16J房间没有写字桌,请预定者注意.\n前台服务缺少善意,要注意.', '短评打分': 1}
{'短评内容': '没的说！交通方便，很好找！坐在阳台欣赏高尔夫球场的美景，那叫一个惬意！房间也挺大的，洗衣机、冰箱、灶具什么都有。就是房间看起来不太高档，对于我这样不讲究的人来说没所谓啦。', '短评打分': 5}
