{'短评内容': '住过几次，因去北苑处才订这里，这里还算方便，卫生情况一般，当然了连锁酒店也就是这标准。', '短评打分': 4}
{'短评内容': '不错，挺好的', '短评打分': 5}
{'短评内容': '很好，下次还来', '短评打分': 5}
{'短评内容': '不是所有速八都是那么好，和50块的小旅馆没啥差别，很差的一次预定', '短评打分': 1}
{'短评内容': '没什么说的', '短评打分': 1}
{'短评内容': '京东的价格比携程还要便宜,不错.', '短评打分': 5}
{'短评内容': '嘻嘻我哦明明嘻嘻嘻嘻', '短评打分': 5}
{'短评内容': '壮士一去兮嘻嘻民生证券嘻嘻嘻嘻早睡早起庸人自扰之', '短评打分': 5}
{'短评内容': '环境一般，交通上还算比较便利，床比较宅小。。。。。', '短评打分': 5}
{'短评内容': '干净  卫生   第二次来了   服务态度也很好(｡･㉨･｡)ﾉ♡ 爱你么么哒', '短评打分': 5}
{'短评内容': '干净 卫生  服务态度好(｡･㉨･｡)ﾉ♡ 爱你么么哒', '短评打分': 5}
{'短评内容': '来北京一直选择速8  放心?(｡･㉨･｡)ﾉ♡ 爱你么么哒', '短评打分': 5}
{'短评内容': '好。很好。非常好', '短评打分': 5}
{'短评内容': '房间和卫生间连个插头充电都没有，想吹头手机发还要拔掉电视', '短评打分': 3}
{'短评内容': '环境一般，没有充电的地方，如果手机没电了充电是个问题。', '短评打分': 5}
{'短评内容': '不错，环境好', '短评打分': 5}
{'短评内容': '很不错，很好非常不错的宾馆，推荐大家入住这家，方便快捷干净卫生，大小得体温馨如家，适合出游办公休息的好地方！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '快捷酒店，还可以，这个价也差不多', '短评打分': 4}
{'短评内容': '哦', '短评打分': 4}
{'短评内容': '太可怕了', '短评打分': 1}
{'短评内容': '还算方便，楼下有京客隆二楼就是不倒翁餐馆，就是房间太小，说19平方，只能放一张床再带个卫生间，应该不到19。早餐12元真是不敢恭维啊，呵呵', '短评打分': 4}
{'短评内容': '还不错！！！！！', '短评打分': 5}
{'短评内容': '还可以，', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错，', '短评打分': 5}
{'短评内容': '超值实惠实用方便，超值实惠实用方便', '短评打分': 5}
