{'短评内容': '房间长长的有点奇怪', '短评打分': 4}
{'短评内容': '不错，交通方便', '短评打分': 5}
{'短评内容': '房间比较小', '短评打分': 5}
{'短评内容': '交通方便，在市区的中心位置，去哪都容易。吃的，穿的，用的，附近都有，楼下就是便利店，周边好几间吃饭的店。', '短评打分': 4}
{'短评内容': '附近交通方便，四通八达，地铁站、公交车站，都在周边，方便出行。酒店所在的区域，是美食一条街，很多吃的选择。', '短评打分': 5}
{'短评内容': '太吵了。晚上ktv吵。一大早又装修吵', '短评打分': 1}
{'短评内容': '挺好性价比好高~', '短评打分': 5}
{'短评内容': '酒店位置方便，性价比不错', '短评打分': 3}
{'短评内容': '一般般喇，就是燈光太暗，然後電視台太少了，連廣東體育都看不了  房間也太小，但與香港的比起來好太多了', '短评打分': 3}
{'短评内容': '简陋，厕所不干净，浴帘也没有还原，被卷在一边很乱，被子也好薄……离地铁站也挺远的，要走10分钟………', '短评打分': 3}
{'短评内容': '交通方便，环境优美', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '很方便，酒店很好！', '短评打分': 5}
{'短评内容': '总体基本满意', '短评打分': 4}
{'短评内容': '酒店各方面都不错，值得一说的是，发现携程已经有点廉BO老矣已的感觉，美团和去哪网才一百23的房间携程居然要184。让我汗了一把。', '短评打分': 4}
{'短评内容': '电梯比较老旧，别的都挺好的。经济实惠', '短评打分': 5}
{'短评内容': '对于出差来说，住这里是经济实惠，卫生情况也总体不错。附近居民区还有好吃的早茶。', '短评打分': 5}
