{'短评内容': '还好。有点偏僻', '短评打分': 5}
{'短评内容': '环境特别好，空气清新，房间也不错，服务态度好！', '短评打分': 5}
{'短评内容': '不错 环境优美 安静 ', '短评打分': 4}
{'短评内容': '因高速公路雪天路滑临时预订的酒店，酒店在景区内，下雪的关系选择入住，房间也可以，不过吃早餐的地方很冷，味道还行！', '短评打分': 5}
{'短评内容': '宾馆整体环境一流，早餐比想象中的强太多了。不过可能因为是花园式酒店吧，矮楼没有电梯有点痛苦。整体不错，赞一个', '短评打分': 5}
{'短评内容': '挺好，挺安静的。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '环境好，价位低，性价比高，很好！', '短评打分': 4}
{'短评内容': '环境非常好，就是离市区远，不方便，不是自驾就不要考虑啦', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店设施不错', '短评打分': 3}
{'短评内容': '条件很好，园林风光，典雅别致，下次再住！', '短评打分': 3}
{'短评内容': '环境挺好，就是离市区有点偏。早餐劵是在1#号楼咖啡厅，标志不明显。', '短评打分': 5}
{'短评内容': '环境非常好,就是吃的不方便', '短评打分': 3}
{'短评内容': '服务满意。', '短评打分': 3}
{'短评内容': '环境优美，早餐蛮好吃，房间比较干净！好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '还会来住，这里简直是世外桃源，非常安静，环境好，服务好，属于山庄类型，但如果自己没车就很麻烦，所以要认真选择', '短评打分': 5}
{'短评内容': '五星级环境，三星级装修。环境还好，但早餐一般，怎么看都不是个五星酒店。但极安静。要是能重新装修就更好了！！！', '短评打分': 5}
{'短评内容': '突出特点就是环境好，安静，像是个世外桃源，不足是早餐略简单，是驾车出行的首先入住点，离高速很近。', '短评打分': 5}
{'短评内容': '真是个好地方，三号楼五号楼是三星的标准，价位很好的，早上起来走一下很不错的。', '短评打分': 5}
{'短评内容': '位置稍远了些.自驾过去可能更方便一些，室内条件还行，干净整洁住着放心.', '短评打分': 5}
{'短评内容': '在当地算是一家不错的酒店，值得推荐。', '短评打分': 5}
{'短评内容': '酒店挺好的，服务卫生挺到位的，基本设施也都有，住的挺舒适。', '短评打分': 5}
{'短评内容': '服务质量很好，房间格局挺好，卫生很到位，下次还会去住的。', '短评打分': 5}
{'短评内容': '周边风景挺美的，内部环境挺干净，硬件设施也不错，住的挺满意。', '短评打分': 5}
{'短评内容': '  我们这次住的是3号楼，周围环境很美，唯一遗憾的就是那个热水器，一次只能洗十几分钟，二个人洗澡，还要等1个小时以后，才能洗。没有中央空调，下次要住，就住一号楼，哪里的条件要好的多24小时热水，中央空调。早餐很好，喜欢！！', '短评打分': 5}
{'短评内容': '酒店感觉不错，要是员工能更熟悉来酒店的路，指点高效点就更好了', '短评打分': 5}
{'短评内容': '早餐种类很多，可以选择不同口味的，而且豆浆，牛奶都是现做的，很新鲜。', '短评打分': 5}
{'短评内容': '酒店靠山，周边景色不错，环境很好，适合度假。', '短评打分': 5}
{'短评内容': '服务很好，上次住的房间上不了网，主动给我换了其他房间。挺不错的。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
