{'短评内容': '性价比很高   停车方便   地理位置优越', '短评打分': 5}
{'短评内容': '没吹风机', '短评打分': 4}
{'短评内容': '很满意，下次再来', '短评打分': 5}
{'短评内容': '对我来说很满意', '短评打分': 5}
{'短评内容': '很安静，房间很大，没想到有这么大，很不错', '短评打分': 5}
{'短评内容': '666666666', '短评打分': 5}
{'短评内容': '东西不错东西不错', '短评打分': 5}
{'短评内容': '帮朋友定的   还不晓得怎么样', '短评打分': 5}
{'短评内容': '主题宾馆布置的不错，很温馨，很有气氛。前台也很有礼貌，', '短评打分': 5}
{'短评内容': '便宜实惠', '短评打分': 5}
{'短评内容': '其他都还好，主要是交通便利', '短评打分': 4}
{'短评内容': '设备陈旧，服务烂到爆', '短评打分': 1}
{'短评内容': '位置相当不错，离学校很近，床也比较大，整个房间面积也很好，非常满意，早上有早餐，虽然种类不多，但是还是不错了。', '短评打分': 5}
{'短评内容': '这个价格来说还可以把 就是灯才两个小灯 晚上看不了书。。。', '短评打分': 5}
{'短评内容': '非常好，来遂宁几次了都住在这里！', '短评打分': 5}
{'短评内容': '酒店非常干净整洁，服务员很好!下次再来!', '短评打分': 3}
{'短评内容': '酒店非常干净整洁，服务很好，下次再来!', '短评打分': 3}
{'短评内容': '很一般，', '短评打分': 4}
{'短评内容': '高性价比。续房，非常值得推荐。', '短评打分': 3}
{'短评内容': '多次入住了，值得推荐。', '短评打分': 3}
{'短评内容': '领房的时候那个小妹儿态度太恶劣了，跟我欠他钱一样，急着吃饭也就没跟他计较了，我订的商务大床房，当时就觉得房间很小跟图片不一致，现在才发现她给我的是迷你单人间，有这样的酒店吗？坑人嘛。', '短评打分': 1}
{'短评内容': '1、最大优势是地理位置好：向东过街走不远，就是河堤，各式餐馆、火锅、冷淡杯多多；出门顺街南走，就是步行街。两处都适合于天黑看景、看灯，热闹！\n2、不显宽敞豪华，但经济实用，卫生条件还行；服务态度也不错。\n3、停车场太小；记不清608还是607房，浴室蓬头坏了，离开时给服务员说了下。', '短评打分': 5}
{'短评内容': '位置优越,房间历史长了些.', '短评打分': 3}
{'短评内容': '酒店的性假比不错的!', '短评打分': 3}
{'短评内容': '总的来说很不错了，性价比很高，环境干净，安静、是亮点。带早餐！', '短评打分': 5}
{'短评内容': '环境不错，价格适中，还有早餐和宽带，推荐入住。', '短评打分': 5}
{'短评内容': '入住手续办理还较快，入住后感觉房间还可以，就是早餐简单。', '短评打分': 5}
{'短评内容': '酒店不错，性价比高，干净卫生，网速还不错，没去吃早餐，不知道咋样', '短评打分': 5}
{'短评内容': '在闹市区，条件一般', '短评打分': 3}
{'短评内容': '酒店模规较小，房间不错。还是比较大，价格适中。挨步行街较近。', '短评打分': 5}
{'短评内容': '还可以，本来是商务单间的，提前十多天网上定好……', '短评打分': 5}
{'短评内容': '很安静，很整洁，位置也不错，挺好的，呵呵', '短评打分': 5}
{'短评内容': '酒店不错，房间特大，还有沙发。也很明亮，网速快\n以后还会再住此酒店。\n酒店位置很好，在市中心地段。', '短评打分': 5}
{'短评内容': '还不错，就是周围吃的有点少。离步行街很近，买东西方便。', '短评打分': 1}
{'短评内容': '该酒店第一次入住，感觉房间空气新鲜无异味，早餐稀饭味好！如果把浴室破旧的长浴巾换了就更好了！', '短评打分': 3}
{'短评内容': '地处中心地带，交通便利，向东有沿湖的滨江路绿色长廊，向南为中心街区步行街，都近在咫尺，挺方便的！', '短评打分': 5}
{'短评内容': '环境还是不错，订的主题房的房间挺大的，在步行街附近，方便。', '短评打分': 5}
{'短评内容': '位于闹区，临近观音湖，宾江路，非常方便，早晚可到湖边散步，运动，但是停车场很小，出入较不易，早餐较简单。', '短评打分': 5}
{'短评内容': '性价比还算可以，可以选择入住，就是网线接口处的桌子放电脑很不方便，而且不好坐，坐床上那个桌子太矮，坐旁边的桌子，网线够不着，比较不方便', '短评打分': 5}
{'短评内容': '商务大床房的房间和卫生间都有点小,总体还不错吧,卫生可以,服务挺客气的!交通方便,火车站打的到次10元,夜里很安静.', '短评打分': 5}
{'短评内容': '服务一般，早餐用的是旁边别人家的，每天都是馒头，豆芽、包头菜，大米绿豆稀饭。味道还差，房间不是24、25平方，很小的，估计加上公摊面积也没有20平方。', '短评打分': 1}
{'短评内容': '前台服务很不错，交通很方便，就在步行街边上，房间也挺干净，不过大床房是迷你的可爱了。', '短评打分': 5}
{'短评内容': '己入住 地点很好', '短评打分': 3}
{'短评内容': '大床间还价有所值 房间大 设施较新', '短评打分': 3}
{'短评内容': '太久了电梯也坏了................................', '短评打分': 1}
{'短评内容': '还算可以', '短评打分': 3}
{'短评内容': '一百八十元的房间条件太一般。', '短评打分': 3}
{'短评内容': '还可以的哦  主要是看来较安全，性价比不错', '短评打分': 5}
{'短评内容': '酒店设施相对不全，我住的160的标间不含早餐卷\n但是确实对得住这个价格', '短评打分': 5}
{'短评内容': '比较清静，卫生一般了，前台速度还可以了，洗浴一般，下水道不是太通畅', '短评打分': 5}
