{'短评内容': '还可以，附近就是地铁和大商场，交通方便，吃得也多。', '短评打分': 5}
{'短评内容': '此用户未填写评价内容', '短评打分': 5}
{'短评内容': '一般一般一般一般一般一般', '短评打分': 5}
{'短评内容': '靠着马路，晚上太吵，预定的时候问清楚，是不是靠马路这块。不是还行，是的话就换家吧', '短评打分': 4}
{'短评内容': '无早餐，服务好，位置好', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '挺好的挺好的', '短评打分': 5}
{'短评内容': '房间很干净，环境也不错，周边出行也很方便，就是网上预定的房间离电梯口太近，晚上有点吵！', '短评打分': 5}
{'短评内容': '不错，好，干净。', '短评打分': 5}
{'短评内容': '很好环境很好好好好好好', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '只能说一般  和未更名前七天连锁差的很多 唯一满意的就是床够大', '短评打分': 4}
{'短评内容': '服务态度好，房间整洁，床很舒服，环境不错，交通特别方便，网速也比较快。工作人员特别认真。对进来出去的人都非常关注。很用心', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '其实就是七天，设备有点旧', '短评打分': 4}
{'短评内容': '总得来说还是挺不错的', '短评打分': 3}
{'短评内容': '太旧了 离地铁站近', '短评打分': 1}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '位置不错，对面就是家乐福，购物吃饭方便  不过要住安静一侧的房间。', '短评打分': 5}
{'短评内容': '全国7天差不多', '短评打分': 5}
{'短评内容': '全国7天都一样', '短评打分': 5}
{'短评内容': '马路边吵', '短评打分': 3}
