{'短评内容': '不错不错，值得一住！', '短评打分': 5}
{'短评内容': '不是第一次来住了，在海港城这，性价比还是不错的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的，很方便，成熟酒店。更喜欢半岛，一分价一分货，老道理', '短评打分': 4}
{'短评内容': '酒店很好，位置优越', '短评打分': 5}
{'短评内容': '还不错哈。', '短评打分': 5}
{'短评内容': '酒店位置在海港城对面。房间面积在香港算大，设施舒适。这样的价格，还是挺满意的。如果能带早餐就完美了。', '短评打分': 5}
{'短评内容': '还可以吧。', '短评打分': 4}
{'短评内容': '感觉还是相当不错的', '短评打分': 5}
{'短评内容': '！！！！！！！！！', '短评打分': 5}
{'短评内容': '比较不错，性价比高，卫生也好', '短评打分': 5}
{'短评内容': '很不错，服务和管理都不错，位置也好，下楼直接购物', '短评打分': 5}
{'短评内容': '不错，性价比高，主要是价格?', '短评打分': 5}
{'短评内容': '位置相当好.海港城街对面,DFS楼上。双床床还是太小，换了大床还可以，房间大小和国内5星没法比。服务还是可以的。', '短评打分': 5}
{'短评内容': '确认速度很快，酒店性价比高，不错，住得很舒服，下次还来！！', '短评打分': 5}
{'短评内容': '空间很小，去海港城很方便，虽然服务不错，但性价比不高，看不到好景色，相比较之下，港威或者马克贝罗酒店更好，周边也有靠近维多利亚港的sheraton之类的可选', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '酒店地理位置优越，出门口正对海港城，左边是channel，右边是LV，酒店房间虽然不大，但是卫生和设施都很棒，住着很舒服。', '短评打分': 5}
{'短评内容': '很好，干净整洁，早餐也很丰富', '短评打分': 5}
{'短评内容': '位置好，满意', '短评打分': 4}
{'短评内容': '地理位置方便 环境好', '短评打分': 5}
{'短评内容': ' 酒店还是不错的就是老酒店，购物很方便', '短评打分': 4}
{'短评内容': '环境很赞，适合出差，前台很好，很热情，也适合亲子游，附近逛街很方便，都是大商场，酒店很好找！！！！！', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店很好，浓浓的英式风格', '短评打分': 5}
{'短评内容': '不错啊！之前一直住马可波罗，换换口味', '短评打分': 5}
{'短评内容': '不错啊！之前一直住马可波罗，换换口味', '短评打分': 4}
{'短评内容': '前台的服务非常热情，房间非常干净，温馨，舒适。楼下就是海港城，吃饭也非常方便，下次还会入住。', '短评打分': 3}
{'短评内容': '酒店不错，干净，服务周到，还有巧克力送', '短评打分': 3}
{'短评内容': '位于九龙尖沙嘴，毗邻大型购物商场，地理位置很好，房间很大，性价比很高，服务很好，早餐比较丰富', '短评打分': 5}
{'短评内容': '非常优雅的酒店，古典英式风格，客房虽然比较小，但是细节完美。浴室里放了可爱的小塑料鸭子玩具。是间很classic的酒店', '短评打分': 5}
{'短评内容': '环境和地理位置都很好，去香港经常入住的酒店。下次还会光顾的。', '短评打分': 5}
{'短评内容': '地理位置好，周围购物、酒吧、夜景、美食都有；大厅有点小，房间也不大，但布置挺精致的；订了酒店的车用，也很好。', '短评打分': 5}
{'短评内容': '在香港来说，这家酒店的房间还算比较宽敞的，定的是新装修的房间，设计比较新潮。楼下的cafe东西很不错，自助餐非常不错，推荐！另外，这家酒店的地理位置还是比较理想的，如果是来购物旅游的朋友比较方便，距离海港城等商场都比较近。附近也有地铁口，可以去到中环，金钟，铜锣湾，还是比较不错的', '短评打分': 5}
{'短评内容': '我去香港比叫喜欢这个酒店，逛街方便，周边什么牌子也有，就是价格有点略高，', '短评打分': 5}
{'短评内容': '服务人员态度都很好，床非常舒适，就是晚上外面稍微有点吵，酒店离维港和海港城都很近，只需步行五分钟左右，非常方便。', '短评打分': 5}
{'短评内容': '交通方便，出门转弯就是海港城，就在海港城旁边，周围购物非常方便，服务也很好，朗廷的菜叶做的不错，很地道', '短评打分': 5}
{'短评内容': '每次来都入住这个酒店，地理位置非常不错，对面就是Miumiu和fendi，旁边就是海港城，房间也特别好，但是一定要11楼以上的房间，11楼一下的房间感觉就没有那么好了', '短评打分': 5}
