{'短评内容': '酒店位置很好，就是房间有点小!，不过自己一个人住还行。', '短评打分': 5}
{'短评内容': '靠近步行街可以去逛街，晚上不算吵', '短评打分': 5}
{'短评内容': '很不错！', '短评打分': 5}
{'短评内容': '还行，中心位置', '短评打分': 4}
{'短评内容': '还可以，就是想试试京东的这个体验怎么样的，好的话以后用京东的', '短评打分': 5}
{'短评内容': '好好好好好好好好', '短评打分': 5}
{'短评内容': '高中时候是网站，也是打架经常出没地方，现在改了，赞', '短评打分': 5}
{'短评内容': '环境很好，设施很齐全，前台的服务员态度超好，还送了早餐券，很满意的一次入住体验。好评。下次有需要还会来光顾。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '很好不错酒店服务热情周到卫生干净整洁很不错', '短评打分': 5}
{'短评内容': '环境很好，方便', '短评打分': 5}
{'短评内容': '酒店位置比错，周围吃饭地方很多。宾馆干净卫生，就是房间有点小', '短评打分': 5}
{'短评内容': '非常不错！！', '短评打分': 5}
{'短评内容': 'Dou hai bu cuo ji Ben man yi', '短评打分': 4}
{'短评内容': '很好很满意，继续住', '短评打分': 5}
{'短评内容': '感觉还是不错的', '短评打分': 4}
{'短评内容': '酒店很好找，在夜市街口，交通方便，都不用打车就可以玩得尽兴了，前台的妞服务都很热情，房间很干净，给人感觉很温馨，入住送了我早餐券，餐厅在八楼，环境很好，可以看外面的风景，早餐品种很多，好看又好吃！下次还来这家', '短评打分': 3}
{'短评内容': '每次来都住这个酒店，服务好，卫生干净，房间宽敞，早餐丰富又好吃，出行也很方便，停车场好大，值得推荐！', '短评打分': 3}
{'短评内容': '环境非常好。出门口就是步行街，和公园，楼下有东西吃，停车还免费', '短评打分': 5}
{'短评内容': '酒店地理位置优越，去步行街十分近，服务也很好，床也很舒服的，就是有点吵，晚上会时不时听到喇叭的声音', '短评打分': 5}
{'短评内容': '酒店房间有点小，不过服务还是一样的好，城市便捷这个品牌，只要保持这样的风格，应该会超过其它的连锁酒店', '短评打分': 5}
{'短评内容': '这个酒店隔音效果不好，最主要一点是房间太小了，感觉不舒服！', '短评打分': 1}
{'短评内容': '干净，整洁，只是早餐希望更丰富一些就好了', '短评打分': 5}
{'短评内容': '环境还可以，就是入住了要抓紧望洋洗澡，不然晚点没热水。', '短评打分': 5}
{'短评内容': '地理位置优势，服务态度的确不错的。。。基础设备基本完善了，', '短评打分': 5}
{'短评内容': '整体感觉还不错,就是房间小了点,自助早餐的种类也不是太多~~~~~~~~', '短评打分': 5}
{'短评内容': '还不错，但是标大有点小了，才15平，其他都还好', '短评打分': 5}
{'短评内容': '干净..隔音有点儿差..............', '短评打分': 5}
{'短评内容': '房间很超值，就在市中心，下楼就是步行街。但是不能刷信用卡', '短评打分': 5}
{'短评内容': '最近老停电，昨天居然停电被困电梯里了，周边在修路，夜市摆了好多小摊，吃东西方便。', '短评打分': 5}
{'短评内容': '新，干净，服务态度很好，在市中心，办事方便，吃东西更方便，旁边就是夜市食街', '短评打分': 5}
