{'短评内容': '位置非常好，早餐也很不错，房间干净，很好。', '短评打分': 5}
{'短评内容': '早餐还可以', '短评打分': 4}
{'短评内容': '酒店就在金华国贸酒店对面，一切硬件设施与国贸不相上下，就是早餐品种略显单薄，如果能够再丰富一些，那就更好了。下次有机会去金华，我应该还是会继续入住的。值得推荐！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '早餐还可以的', '短评打分': 4}
{'短评内容': '多次入住了，前台接待热情周到！', '短评打分': 5}
{'短评内容': '酒店地点中心，前台接待热情，房间整洁干净，但设施旧了点，隔音效果太差。', '短评打分': 5}
{'短评内容': '老牌酒店，算中规中矩，', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '环境不错，早餐也可', '短评打分': 5}
{'短评内容': '第一次住，挺不错，下次还会再考虑', '短评打分': 3}
{'短评内容': '自助餐有点贵啊，有没有很多菜品。服务人员自顾自打情骂俏。', '短评打分': 3}
{'短评内容': '酒店里面比较安静，就是里面看起来稍微有点老旧', '短评打分': 5}
{'短评内容': '酒店服务差到极点，打扫很不及时，开车出酒店每次都需要被询问很久，各项服务都不到位，以后出游不会选择这个酒店！', '短评打分': 1}
{'短评内容': '早餐性价比高。', '短评打分': 4}
